Time	BodyY	BodyZ	BodyX	
0.465	0.05690736	-0.1172618	6.568865E-08	
0.466	0.05691313	-0.117273	6.63324E-08	
0.467	0.05691871	-0.1172842	6.694577E-08	
0.468	0.05692411	-0.1172951	6.750582E-08	
0.469	0.05692934	-0.117306	6.801042E-08	
0.47	0.05693439	-0.1173167	6.846505E-08	
0.471	0.05693926	-0.1173272	6.887585E-08	
0.472	0.05694397	-0.1173375	6.924929E-08	
0.473	0.05694851	-0.1173477	6.9591E-08	
0.474	0.05695289	-0.1173576	6.990558E-08	
0.475	0.0569571	-0.1173674	7.019676E-08	
0.476	0.05696116	-0.117377	7.046797E-08	
0.477	0.05696506	-0.1173864	7.072216E-08	
0.478	0.0569688	-0.1173955	7.096146E-08	
0.479	0.0569724	-0.1174044	7.118779E-08	
0.48	0.05697584	-0.1174131	7.140299E-08	
0.481	0.05697914	-0.1174216	7.160877E-08	
0.482	0.05698229	-0.1174298	7.180641E-08	
0.483	0.0569853	-0.1174378	7.199693E-08	
0.484	0.05698818	-0.1174456	7.218121E-08	
0.485	0.05699091	-0.1174531	7.236007E-08	
0.486	0.05699351	-0.1174604	7.253407E-08	
0.487	0.05699599	-0.1174674	7.270427E-08	
0.488	0.05699833	-0.1174742	7.28458E-08	
0.489	0.05700055	-0.1174807	7.295477E-08	
0.49	0.05700264	-0.117487	7.303449E-08	
0.491	0.05700461	-0.1174931	7.308952E-08	
0.492	0.05700647	-0.1174989	7.312469E-08	
0.493	0.05700821	-0.1175044	7.314421E-08	
0.494	0.05700983	-0.1175098	7.315082E-08	
0.495	0.05701135	-0.1175148	7.314713E-08	
0.496	0.05701276	-0.1175197	7.313191E-08	
0.497	0.05701406	-0.1175243	7.310401E-08	
0.498	0.05701526	-0.1175287	7.306677E-08	
0.499	0.05701636	-0.1175328	7.302E-08	
0.5	0.05701737	-0.1175367	7.296653E-08	
0.501	0.05701828	-0.1175404	7.290917E-08	
0.502	0.0570191	-0.1175439	7.284626E-08	
0.503	0.05701984	-0.1175471	7.277996E-08	
0.504	0.05702049	-0.1175501	7.271279E-08	
0.505	0.05702105	-0.117553	7.264205E-08	
0.506	0.05702154	-0.1175556	7.256951E-08	
0.507	0.05702194	-0.117558	7.249678E-08	
0.508	0.05702227	-0.1175602	7.242514E-08	
0.509	0.05702254	-0.1175623	7.237742E-08	
0.5100001	0.05702273	-0.1175641	7.233321E-08	
0.511	0.05702285	-0.1175658	7.228751E-08	
0.512	0.05702291	-0.1175672	7.223951E-08	
0.513	0.05702291	-0.1175685	7.221161E-08	
0.514	0.05702285	-0.1175697	7.218437E-08	
0.515	0.05702274	-0.1175706	7.21526E-08	
0.516	0.05702257	-0.1175715	7.211303E-08	
0.517	0.05702235	-0.1175721	7.206759E-08	
0.518	0.05702208	-0.1175726	7.201866E-08	
0.5190001	0.05702177	-0.117573	7.196804E-08	
0.52	0.05702142	-0.1175732	7.191331E-08	
0.521	0.05702102	-0.1175733	7.188122E-08	
0.522	0.05702058	-0.1175733	7.185243E-08	
0.523	0.05702011	-0.1175732	7.182185E-08	
0.524	0.0570196	-0.1175729	7.178844E-08	
0.525	0.05701907	-0.1175725	7.17494E-08	
0.526	0.0570185	-0.1175721	7.170642E-08	
0.527	0.0570179	-0.1175715	7.166128E-08	
0.528	0.05701729	-0.1175708	7.161186E-08	
0.529	0.05701664	-0.1175701	7.158501E-08	
0.53	0.05701598	-0.1175692	7.156127E-08	
0.531	0.0570153	-0.1175683	7.15353E-08	
0.532	0.0570146	-0.1175673	7.150633E-08	
0.5330001	0.05701389	-0.1175663	7.147173E-08	
0.534	0.05701316	-0.1175652	7.14331E-08	
0.535	0.05701242	-0.117564	7.139233E-08	
0.536	0.05701167	-0.1175627	7.135089E-08	
0.537	0.05701092	-0.1175615	7.130653E-08	
