Time	Fy	Fx	Fz	Vz	Vx	Vy	Pz	Px	Py	
0.214	-0.6928188	0	0	0	0	-0.1703889	0	0	1.480636	
0.215	-0.6906766	0	0	0	0	-0.1710168	0	0	1.480465	
0.216	-0.6885329	0	0	0	0	-0.1716427	0	0	1.480293	
0.217	-0.6863875	0	0	0	0	-0.1722667	0	0	1.480121	
0.218	-0.6842414	0	0	0	0	-0.1728888	0	0	1.479948	
0.219	-0.6820946	0	0	0	0	-0.1735089	0	0	1.479774	
0.22	-0.679947	0	0	0	0	-0.174127	0	0	1.4796	
0.221	-0.6777977	0	0	0	0	-0.1747432	0	0	1.479426	
0.222	-0.6756485	0	0	0	0	-0.1753574	0	0	1.47925	
0.223	-0.6734977	0	0	0	0	-0.1759697	0	0	1.479074	
0.224	-0.6713469	0	0	0	0	-0.17658	0	0	1.478898	
0.225	-0.6691954	0	0	0	0	-0.1771884	0	0	1.47872	
0.226	-0.667043	0	0	0	0	-0.1777948	0	0	1.478543	
0.227	-0.6648906	0	0	0	0	-0.1783992	0	0	1.478364	
0.228	-0.6627375	0	0	0	0	-0.1790017	0	0	1.478185	
0.229	-0.6605837	0	0	0	0	-0.1796022	0	0	1.478006	
0.23	-0.6584305	0	0	0	0	-0.1802008	0	0	1.477825	
0.231	-0.6562766	0	0	0	0	-0.1807974	0	0	1.477645	
0.232	-0.6541227	0	0	0	0	-0.1813921	0	0	1.477463	
0.233	-0.6519696	0	0	0	0	-0.1819848	0	0	1.477281	
0.234	-0.6498156	0	0	0	0	-0.1825755	0	0	1.477099	
0.235	-0.6476617	0	0	0	0	-0.1831643	0	0	1.476915	
0.236	-0.6455086	0	0	0	0	-0.1837512	0	0	1.476732	
0.237	-0.6433555	0	0	0	0	-0.184336	0	0	1.476547	
0.238	-0.6412024	0	0	0	0	-0.1849189	0	0	1.476362	
0.239	-0.63905	0	0	0	0	-0.1854999	0	0	1.476177	
0.24	-0.6368977	0	0	0	0	-0.1860789	0	0	1.475991	
0.241	-0.6347469	0	0	0	0	-0.1866559	0	0	1.475804	
0.242	-0.6325954	0	0	0	0	-0.187231	0	0	1.475617	
0.243	-0.6304454	0	0	0	0	-0.1878041	0	0	1.475429	
0.244	-0.6282961	0	0	0	0	-0.1883753	0	0	1.475241	
0.245	-0.6261477	0	0	0	0	-0.1889445	0	0	1.475052	
0.246	-0.624	0	0	0	0	-0.1895118	0	0	1.474862	
0.247	-0.6218524	0	0	0	0	-0.1900771	0	0	1.474672	
0.248	-0.619707	0	0	0	0	-0.1906405	0	0	1.474482	
0.249	-0.6175618	0	0	0	0	-0.1912019	0	0	1.474291	
0.25	-0.615418	0	0	0	0	-0.1917614	0	0	1.474099	
0.251	-0.6132758	0	0	0	0	-0.1923189	0	0	1.473906	
0.252	-0.6111344	0	0	0	0	-0.1928745	0	0	1.473714	
