Time	CylinderSensor	BoxSensor	BoxSensorX	CylinderSensorX	CylinderSensorY	BoxSensorY	BoxContact	CylinderContact	
0.1108	1	0	0.03179758	0.1306885	-0.3439611	-0.3544759	-0.07	0.02980656	
0.1112	1	0	0.03237843	0.1312537	-0.3438197	-0.3544079	-0.07	0.02980656	
0.1116	1	0	0.03296111	0.1318205	-0.3436778	-0.3543398	-0.07	0.02984525	
0.112	1	0	0.03354561	0.132389	-0.3435356	-0.3542715	-0.07	0.02984525	
0.1124	1	0	0.03413197	0.1329592	-0.343393	-0.3542031	-0.07	0.02984525	
0.1128	1	0	0.03472015	0.1335311	-0.3432502	-0.3541347	-0.07	0.02984525	
0.1132	1	0	0.03531015	0.1341046	-0.343107	-0.3540661	-0.07	0.02984525	
0.1136	1	0	0.03590199	0.1346797	-0.3429634	-0.3539974	-0.07	0.0298762	
0.114	1	0	0.03649564	0.1352566	-0.3428196	-0.3539287	-0.07	0.0298762	
0.1144	1	0	0.0370911	0.1358351	-0.3426755	-0.3538599	-0.07	0.0298762	
0.1148	1	0	0.03768839	0.1364152	-0.3425311	-0.353791	-0.07	0.0298762	
0.1152	1	0	0.03828749	0.136997	-0.3423863	-0.353722	-0.07	0.0298762	
0.1156	1	0	0.03888838	0.1375803	-0.3422414	-0.353653	-0.07	0.02990096	
0.116	1	0	0.03949109	0.1381654	-0.3420961	-0.3535839	-0.07	0.02990096	
