Time	Tension	Length	Ia	II	
2.332	31.51303	0.334333	65.04704	26.92859	
2.333	31.53038	0.3343329	65.0644	26.92685	
2.334	31.5572	0.3343329	65.09122	26.92417	
2.335	31.58515	0.3343329	65.11918	26.92137	
2.336	31.6084	0.3343328	65.14243	26.91904	
2.337	31.62304	0.3343328	65.15706	26.91757	
2.338	31.62665	0.3343328	65.16067	26.91721	
2.339	31.61776	0.3343327	65.15178	26.91809	
2.34	31.59587	0.3343327	65.12989	26.92028	
2.341	31.56072	0.3343327	65.09474	26.92379	
2.342	31.52373	0.3343327	65.05775	26.92749	
2.343	31.52069	0.3343327	65.05471	26.9278	
2.344	31.53804	0.3343326	65.07206	26.92606	
2.345	31.56484	0.3343326	65.09887	26.92338	
2.346	31.59279	0.3343326	65.12682	26.92058	
2.347	31.61604	0.3343326	65.15005	26.91826	
2.348	31.63066	0.3343326	65.16469	26.9168	
2.349	31.63423	0.3343326	65.16824	26.91644	
2.35	31.62536	0.3343326	65.15938	26.91733	
2.351	31.60343	0.3343326	65.13744	26.91952	
2.352	31.5683	0.3343326	65.10233	26.92303	
2.353	31.53127	0.3343326	65.06529	26.92673	
2.354	31.52818	0.3343326	65.0622	26.92705	
2.355	31.54556	0.3343327	65.07957	26.92531	
2.356	31.57232	0.3343327	65.10635	26.92263	
2.357	31.60027	0.3343327	65.13428	26.91984	
2.358	31.6235	0.3343327	65.15752	26.91752	
2.359	31.63809	0.3343327	65.1721	26.91606	
2.36	31.64168	0.3343328	65.1757	26.91571	
2.361	31.63277	0.3343328	65.16679	26.9166	
2.362	31.61079	0.3343328	65.14481	26.9188	
2.363	31.57565	0.3343328	65.10967	26.92232	
2.364	31.53857	0.3343328	65.07259	26.92602	
2.365	31.5355	0.3343329	65.06952	26.92634	
2.366	31.55283	0.3343329	65.08685	26.9246	
2.367	31.57959	0.3343329	65.11361	26.92193	
2.368	31.6075	0.334333	65.14152	26.91914	
2.369	31.63072	0.334333	65.16474	26.91683	
2.37	31.64527	0.334333	65.17929	26.91537	
2.371	31.64879	0.3343331	65.18281	26.91503	
2.372	31.6399	0.3343331	65.17392	26.91592	
2.373	31.6179	0.3343332	65.15193	26.91812	
2.374	31.58272	0.3343332	65.11673	26.92164	
2.375	31.54566	0.3343332	65.07967	26.92536	
2.376	31.54251	0.3343333	65.07653	26.92567	
2.377	31.55984	0.3343333	65.09386	26.92395	
2.378	31.58659	0.3343334	65.12061	26.92128	
2.379	31.61448	0.3343334	65.14851	26.9185	
