Time	Contact	Eat	Energy	Hungry	LeftOdor	OS	RightOdor	
0.346	0	0	582.6542	1	293.1761	0	285.4574	
0.347	0	0	582.6042	1	293.2632	0	285.2314	
0.348	0	0	582.5543	1	293.3485	0	285.0069	
0.349	0	0	582.5043	1	293.433	0	284.7824	
0.35	0	0	582.4543	1	293.5159	0	284.5598	
0.351	0	0	582.4043	1	293.5979	0	284.3371	
0.352	0	0	582.3543	1	293.6782	0	284.1161	
0.353	0	0	582.3043	1	293.7577	0	283.8952	
0.354	0	0	582.2543	1	293.8353	0	283.676	
0.355	0	0	582.2043	1	293.9122	0	283.4569	
0.356	0	0	582.1544	1	293.9872	0	283.2396	
0.357	0	0	582.1044	1	294.0615	0	283.0223	
0.358	0	0	582.0544	1	294.1337	0	282.8069	
0.359	0	0	582.0044	1	294.2054	0	282.5916	
0.36	0	0	581.9544	1	294.2748	0	282.3781	
0.361	0	0	581.9044	1	294.3437	0	282.1647	
0.362	0	0	581.8544	1	294.4105	0	281.9532	
0.363	0	0	581.8044	1	294.4766	0	281.7418	
0.364	0	0	581.7545	1	294.5405	0	281.5323	
0.365	0	0	581.7045	1	294.6039	0	281.3229	
0.366	0	0	581.6545	1	294.6649	0	281.1155	
0.367	0	0	581.6045	1	294.7254	0	280.9082	
0.368	0	0	581.5545	1	294.7835	0	280.7028	
0.369	0	0	581.5045	1	294.8412	0	280.4977	
0.37	0	0	581.4545	1	294.8964	0	280.2944	
0.371	0	0	581.4045	1	294.9511	0	280.0913	
0.372	0	0	581.3546	1	295.0034	0	279.8904	
0.373	0	0	581.3046	1	295.0551	0	279.6895	
0.374	0	0	581.2546	1	295.1044	0	279.4907	
0.375	0	0	581.2046	1	295.1531	0	279.292	
0.376	0	0	581.1546	1	295.1995	0	279.0955	
0.377	0	0	581.1046	1	295.2452	0	278.899	
0.378	0	0	581.0546	1	295.2884	0	278.7047	
0.379	0	0	581.0046	1	295.3311	0	278.5105	
0.38	0	0	580.9547	1	295.3712	0	278.3186	
0.381	0	0	580.9047	1	295.4108	0	278.1267	
0.382	0	0	580.8547	1	295.4478	0	277.9372	
0.383	0	0	580.8047	1	295.4842	0	277.7476	
0.384	0	0	580.7547	1	295.5182	0	277.5604	
0.385	0	0	580.7047	1	295.5514	0	277.3731	
0.386	0	0	580.6547	1	295.5822	0	277.1884	
0.387	0	0	580.6047	1	295.6123	0	277.0036	
0.388	0	0	580.5547	1	295.6399	0	276.8212	
0.389	0	0	580.5048	1	295.6668	0	276.6389	
0.39	0	0	580.4548	1	295.6911	0	276.459	
0.391	0	0	580.4048	1	295.7149	0	276.279	
0.392	0	0	580.3548	1	295.7359	0	276.1016	
0.393	0	0	580.3048	1	295.7565	0	275.9241	
0.394	0	0	580.2548	1	295.7742	0	275.7492	
0.395	0	0	580.2048	1	295.7914	0	275.5743	
0.396	0	0	580.1548	1	295.8059	0	275.4019	
0.397	0	0	580.1049	1	295.8199	0	275.2294	
0.398	0	0	580.0549	1	295.8311	0	275.0596	
0.399	0	0	580.0049	1	295.8417	0	274.8897	
0.4	0	0	579.9549	1	295.8496	0	274.7225	
0.401	0	0	579.9049	1	295.8569	0	274.5551	
0.402	0	0	579.8549	1	295.8614	0	274.3905	
