Time	Y	
0.8610001	-0.8308234	
0.862	-0.8322176	
0.863	-0.8336118	
0.864	-0.8350061	
0.8650001	-0.8364003	
0.8660001	-0.8377947	
0.867	-0.8391891	
0.868	-0.8405834	
0.869	-0.8419779	
0.8700001	-0.8433723	
0.8710001	-0.8447669	
0.872	-0.8461615	
0.873	-0.8475561	
0.874	-0.8489508	
0.8750001	-0.8503456	
0.876	-0.8517403	
0.877	-0.8531351	
0.878	-0.85453	
0.8790001	-0.8559248	
0.8800001	-0.8573198	
0.881	-0.8587147	
0.882	-0.8601097	
0.883	-0.8615047	
0.8840001	-0.8628999	
0.8850001	-0.864295	
0.886	-0.8656902	
0.887	-0.8670854	
0.8880001	-0.8684806	
0.8890001	-0.8698759	
0.89	-0.8712713	
0.891	-0.8726665	
0.892	-0.874062	
0.8930001	-0.8754574	
0.8940001	-0.8768529	
0.895	-0.8782484	
0.896	-0.8796439	
0.897	-0.8810396	
0.8980001	-0.8824351	
0.899	-0.8838307	
0.9	-0.8852264	
0.901	-0.8866221	
0.9020001	-0.888018	
0.9030001	-0.8894138	
0.904	-0.8908095	
0.905	-0.8922054	
0.906	-0.8936014	
0.9070001	-0.8949972	
0.9080001	-0.8963932	
0.909	-0.8977892	
0.91	-0.8991852	
0.9110001	-0.9005813	
0.9120001	-0.9019774	
0.913	-0.9033734	
0.914	-0.9047696	
0.915	-0.9061658	
0.9160001	-0.907562	
0.9170001	-0.9089583	
0.918	-0.9103546	
0.919	-0.9117508	
0.92	-0.9131472	
0.9210001	-0.9145436	
0.9220001	-0.9159399	
0.923	-0.9173364	
0.924	-0.9187328	
0.9250001	-0.9201293	
0.9260001	-0.9215259	
0.927	-0.9229224	
0.928	-0.924319	
0.929	-0.9257156	
0.9300001	-0.9271122	
0.9310001	-0.9285089	
0.932	-0.9299055	
0.933	-0.9313022	
0.934	-0.932699	
0.9350001	-0.9340958	
0.936	-0.9354926	
0.937	-0.9368895	
0.938	-0.9382863	
0.9390001	-0.9396831	
0.9400001	-0.9410801	
0.941	-0.942477	
0.942	-0.943874	
0.943	-0.945271	
0.9440001	-0.9466681	
0.9450001	-0.9480651	
0.946	-0.9494621	
0.947	-0.9508592	
0.9480001	-0.951831	
0.9490001	-0.9524914	
0.95	-0.9529241	
0.951	-0.9531907	
