Time	A1	A2	A3	A4	A5	A6	
38.744	0	0	0	0	0.04390335	7.145427E-06	
38.746	0	0	0	0	0.04384488	7.135892E-06	
38.748	0	0	0	0	0.04378647	7.126389E-06	
38.75	0	0	0	0	0.04372811	7.116887E-06	
38.752	0	0	0	0	0.04366988	7.107399E-06	
38.754	0	0	0	0	0.04361171	7.097926E-06	
38.756	0	0	0	0	0.04355353	7.088467E-06	
38.758	0	0	0	0	0.04349554	7.079023E-06	
38.76	0	0	0	0	0.04343754	7.069593E-06	
38.762	0	0	0	0	0.04337966	7.060178E-06	
38.764	0	0	0	0	0.04332185	7.050745E-06	
38.766	0	0	0	0	0.04326409	7.041359E-06	
38.768	0	0	0	0	0.04320645	7.031973E-06	
38.77	0	0	0	0	0.04314882	7.022583E-06	
38.772	0	0	0	0	0.04309136	7.013226E-06	
38.774	0	0	0	0	0.0430339	7.003884E-06	
38.776	0	0	0	0	0.0429765	6.994538E-06	
38.778	0	0	0	0	0.04291922	6.98521E-06	
38.78	0	0	0	0	0.042862	6.975912E-06	
38.782	0	0	0	0	0.04280484	6.966595E-06	
38.784	0	0	0	0	0.0427478	6.957292E-06	
38.786	0	0	0	0	0.04269081	6.948041E-06	
38.788	0	0	0	0	0.04263395	6.938768E-06	
38.79	0	0	0	0	0.04257715	6.929513E-06	
38.792	0	0	0	0	0.04252046	6.920287E-06	
38.794	0	0	0	0	0.04246384	6.911043E-06	
38.796	0	0	0	0	0.04240727	6.901832E-06	
38.798	0	0	0	0	0.04235083	6.892635E-06	
38.8	0	0	0	0	0.04229444	6.883434E-06	
38.802	0	0	0	0	0.04223806	6.874285E-06	
38.804	0	0	0	0	0.04218185	6.865135E-06	
38.806	0	0	0	0	0.04212564	6.855982E-06	
38.808	0	0	0	0	0.04206955	6.846858E-06	
38.81	0	0	0	0	0.04201353	6.837752E-06	
38.812	0	0	0	0	0.04195756	6.828643E-06	
38.814	0	0	0	0	0.04190171	6.819548E-06	
38.816	0	0	0	0	0.04184586	6.810471E-06	
38.818	0	0	0	0	0.04179019	6.801405E-06	
38.82	0	0	0	0	0.04173452	6.792339E-06	
38.822	0	0	0	0	0.04167891	6.783288E-06	
38.824	0	0	0	0	0.04162341	6.774269E-06	
38.826	0	0	0	0	0.04156798	6.765247E-06	
38.828	0	0	0	0	0.04151261	6.75624E-06	
38.83	0	0	0	0	0.04145736	6.747232E-06	
38.832	0	0	0	0	0.04140216	6.738239E-06	
38.834	0	0	0	0	0.04134697	6.729242E-06	
38.836	0	0	0	0	0.04129195	6.720278E-06	
38.838	0	0	0	0	0.04123694	6.711314E-06	
38.84	0	0	0	0	0.04118204	6.702379E-06	
38.842	0	0	0	0	0.0411272	6.693444E-06	
38.844	0	0	0	0	0.04107237	6.684524E-06	
38.846	0	0	0	0	0.04101759	6.675618E-06	
38.848	0	0	0	0	0.04096293	6.666727E-06	
38.85	0	0	0	0	0.04090828	6.657836E-06	
38.852	0	0	0	0	0.0408538	6.648974E-06	
38.854	0	0	0	0	0.04079932	6.640112E-06	
38.856	0	0	0	0	0.0407449	6.631246E-06	
38.858	0	0	0	0	0.0406906	6.622398E-06	
38.86	0	0	0	0	0.04063636	6.61358E-06	
38.862	0	0	0	0	0.04058218	6.604758E-06	
38.864	0	0	0	0	0.04052812	6.595939E-06	
38.866	0	0	0	0	0.04047412	6.587165E-06	
38.868	0	0	0	0	0.04042011	6.57839E-06	
