Time	Angle	
1.783	0.938478	
1.784	0.9380621	
1.785	0.9376445	
1.786	0.9372253	
1.787	0.9368046	
1.788	0.9363824	
1.789	0.9359584	
1.79	0.9355329	
1.791	0.9351058	
1.792	0.9346773	
1.793	0.9342471	
1.794	0.9338152	
1.795	0.9333819	
1.796	0.932947	
1.797	0.9325105	
1.798	0.9320725	
1.799	0.9316328	
1.8	0.9311916	
1.801	0.9307487	
1.802	0.9303042	
1.803	0.9298584	
1.804	0.9294109	
1.805	0.9289619	
1.806	0.9285111	
1.807	0.928059	
1.808	0.9276053	
1.809	0.9271499	
1.81	0.926693	
1.811	0.9262345	
1.812	0.9257746	
1.813	0.9253128	
1.814	0.9248497	
1.815	0.924385	
1.816	0.9239188	
1.817	0.9234509	
1.818	0.9229816	
1.819	0.9225107	
1.82	0.9220381	
1.821	0.921564	
1.822	0.9210885	
1.823	0.9206111	
1.824	0.9201323	
1.825	0.9196519	
1.826	0.9191701	
1.827	0.9186866	
1.828	0.9182016	
1.829	0.9177151	
1.83	0.917227	
1.831	0.9167373	
1.832	0.9162461	
1.833	0.9157533	
1.834	0.9152591	
1.835	0.9147631	
1.836	0.9142657	
1.837	0.9137667	
1.838	0.9132661	
1.839	0.9127639	
1.84	0.9122603	
1.841	0.9117551	
1.842	0.9112486	
1.843	0.9107402	
1.844	0.9102302	
1.845	0.9097188	
1.846	0.9092059	
1.847	0.9086915	
1.848	0.9081754	
1.849	0.9076579	
1.85	0.9071387	
1.851	0.9066179	
1.852	0.9060957	
1.853	0.905572	
1.854	0.9050467	
1.855	0.9045199	
1.856	0.9039916	
1.857	0.9034616	
1.858	0.9029301	
1.859	0.9023972	
1.86	0.9018627	
1.861	0.9013265	
1.862	0.9007888	
1.863	0.9002498	
1.864	0.8997092	
1.865	0.8991669	
1.866	0.8986232	
1.867	0.8980778	
1.868	0.8975311	
1.869	0.8969827	
1.87	0.8964329	
1.871	0.8958814	
1.872	0.8953283	
1.873	0.8947739	
1.874	0.8942178	
1.875	0.8936603	
1.876	0.8931013	
1.877	0.8925406	
1.878	0.8919785	
1.879	0.8914149	
1.88	0.8908496	
1.881	0.890283	
1.882	0.8897148	
1.883	0.889145	
1.884	0.8885737	
1.885	0.8880008	
1.886	0.8874267	
1.887	0.8868509	
1.888	0.8862736	
1.889	0.8856947	
1.89	0.8851144	
1.891	0.8845323	
1.892	0.8839488	
1.893	0.8833639	
1.894	0.8827775	
1.895	0.8821896	
1.896	0.8816001	
1.897	0.8810092	
1.898	0.8804167	
1.899	0.8798226	
1.9	0.8792271	
1.901	0.87863	
1.902	0.8780314	
1.903	0.8774314	
1.904	0.8768299	
1.905	0.8762268	
1.906	0.8756223	
1.907	0.8750162	
1.908	0.8744085	
1.909	0.8737995	
1.91	0.8731889	
1.911	0.8725768	
1.912	0.8719631	
1.913	0.8713481	
1.914	0.8707315	
1.915	0.8701134	
1.916	0.8694938	
1.917	0.8688727	
1.918	0.8682502	
1.919	0.8676261	
1.92	0.8670006	
1.921	0.8663734	
1.922	0.8657448	
1.923	0.8651148	
1.924	0.8644832	
1.925	0.8638502	
1.926	0.8632156	
1.927	0.8625795	
1.928	0.861942	
1.929	0.8613031	
1.93	0.8606626	
1.931	0.8600205	
1.932	0.8593771	
1.933	0.8587322	
1.934	0.8580859	
1.935	0.8574378	
1.936	0.8567884	
1.937	0.8561375	
1.938	0.8554851	
1.939	0.8548313	
1.94	0.854176	
1.941	0.8535191	
1.942	0.8528609	
1.943	0.852201	
1.944	0.8515399	
1.945	0.8508772	
1.946	0.8502129	
1.947	0.8495473	
1.948	0.8488802	
1.949	0.8482115	
1.95	0.8475415	
1.951	0.8468698	
1.952	0.8461968	
1.953	0.8455224	
1.954	0.8448464	
1.955	0.8441689	
1.956	0.8434901	
1.957	0.8428097	
1.958	0.8421278	
1.959	0.8414446	
1.96	0.8407598	
1.961	0.8400736	
1.962	0.839386	
1.963	0.8386969	
1.964	0.8380063	
1.965	0.8373142	
1.966	0.8366206	
1.967	0.8359256	
1.968	0.8352292	
1.969	0.8345314	
1.97	0.833832	
1.971	0.8331311	
1.972	0.8324289	
1.973	0.8317251	
1.974	0.8310199	
1.975	0.8303133	
1.976	0.8296052	
1.977	0.8288957	
1.978	0.8281847	
1.979	0.8274723	
1.98	0.8267586	
1.981	0.8260433	
1.982	0.8253266	
1.983	0.8246085	
1.984	0.8238889	
1.985	0.8231677	
1.986	0.8224451	
1.987	0.8217213	
1.988	0.820996	
1.989	0.8202692	
1.99	0.819541	
1.991	0.8188113	
1.992	0.8180803	
1.993	0.8173478	
1.994	0.8166138	
1.995	0.8158784	
1.996	0.8151416	
1.997	0.8144033	
1.998	0.8136637	
1.999	0.8129225	
2	0.8121801	
2.001	0.8114361	
2.002	0.8106908	
2.003	0.809944	
2.004	0.8091958	
2.005	0.8084463	
2.006	0.8076951	
2.007	0.8069426	
2.008	0.8061887	
2.009	0.8054334	
2.01	0.8046767	
2.011	0.8039187	
2.012	0.803159	
2.013	0.802398	
2.014	0.8016356	
2.015	0.8008718	
2.016	0.8001066	
2.017	0.79934	
2.018	0.7985719	
2.019	0.7978026	
2.02	0.7970318	
2.021	0.7962598	
2.022	0.7954862	
2.023	0.7947112	
2.024	0.7939346	
2.025	0.7931568	
2.026	0.7923776	
2.027	0.7915969	
2.028	0.7908149	
2.029	0.7900315	
2.03	0.7892467	
2.031	0.7884604	
2.032	0.7876728	
2.033	0.7868838	
2.034	0.7860935	
2.035	0.7853016	
2.036	0.7845086	
2.037	0.7837139	
2.038	0.7829179	
2.039	0.7821206	
2.04	0.7813219	
2.041	0.7805217	
2.042	0.7797201	
2.043	0.7789172	
2.044	0.7781131	
2.045	0.7773075	
2.046	0.7765005	
2.047	0.7756922	
2.048	0.7748824	
2.049	0.7740714	
2.05	0.7732589	
2.051	0.7724451	
2.052	0.7716299	
2.053	0.7708131	
2.054	0.7699952	
2.055	0.7691759	
2.056	0.7683552	
2.057	0.767533	
2.058	0.7667096	
2.059	0.7658848	
2.06	0.7650585	
2.061	0.764231	
2.062	0.763402	
2.063	0.7625718	
2.064	0.7617402	
2.065	0.7609072	
2.066	0.760073	
2.067	0.7592375	
2.068	0.7584004	
2.069	0.757562	
2.07	0.7567224	
2.071	0.7558812	
2.072	0.7550389	
2.073	0.7541951	
2.074	0.75335	
2.075	0.7525036	
2.076	0.7516559	
2.077	0.7508068	
2.078	0.7499563	
2.079	0.7491045	
2.08	0.7482514	
2.081	0.7473969	
2.082	0.7465411	
2.083	0.745684	
2.084	0.7448257	
2.085	0.7439657	
2.086	0.7431046	
2.087	0.7422422	
2.088	0.7413784	
2.089	0.7405133	
2.09	0.7396469	
