Time	Angle	
1.783	1.228436	
1.784	1.228006	
1.785	1.227575	
1.786	1.227141	
1.787	1.226706	
1.788	1.226269	
1.789	1.22583	
1.79	1.225389	
1.791	1.224947	
1.792	1.224502	
1.793	1.224056	
1.794	1.223608	
1.795	1.223158	
1.796	1.222706	
1.797	1.222252	
1.798	1.221796	
1.799	1.221339	
1.8	1.22088	
1.801	1.220419	
1.802	1.219956	
1.803	1.219491	
1.804	1.219024	
1.805	1.218556	
1.806	1.218085	
1.807	1.217613	
1.808	1.217139	
1.809	1.216663	
1.81	1.216186	
1.811	1.215706	
1.812	1.215225	
1.813	1.214742	
1.814	1.214257	
1.815	1.21377	
1.816	1.213281	
1.817	1.212791	
1.818	1.212298	
1.819	1.211804	
1.82	1.211308	
1.821	1.21081	
1.822	1.21031	
1.823	1.209809	
1.824	1.209305	
1.825	1.2088	
1.826	1.208293	
1.827	1.207784	
1.828	1.207273	
1.829	1.206761	
1.83	1.206246	
1.831	1.20573	
1.832	1.205212	
1.833	1.204692	
1.834	1.204171	
1.835	1.203647	
1.836	1.203122	
1.837	1.202594	
1.838	1.202065	
1.839	1.201535	
1.84	1.201002	
1.841	1.200467	
1.842	1.199931	
1.843	1.199393	
1.844	1.198853	
1.845	1.198311	
1.846	1.197767	
1.847	1.197222	
1.848	1.196674	
1.849	1.196125	
1.85	1.195574	
1.851	1.195022	
1.852	1.194467	
1.853	1.193911	
1.854	1.193352	
1.855	1.192792	
1.856	1.19223	
1.857	1.191667	
1.858	1.191101	
1.859	1.190534	
1.86	1.189965	
1.861	1.189394	
1.862	1.188821	
1.863	1.188246	
1.864	1.18767	
1.865	1.187092	
1.866	1.186512	
1.867	1.18593	
1.868	1.185346	
1.869	1.18476	
1.87	1.184173	
1.871	1.183584	
1.872	1.182993	
1.873	1.1824	
1.874	1.181805	
1.875	1.181209	
1.876	1.180611	
1.877	1.180011	
1.878	1.179409	
1.879	1.178805	
1.88	1.1782	
1.881	1.177592	
1.882	1.176983	
1.883	1.176372	
1.884	1.175759	
1.885	1.175145	
1.886	1.174528	
1.887	1.17391	
1.888	1.17329	
1.889	1.172668	
1.89	1.172045	
1.891	1.17142	
1.892	1.170792	
1.893	1.170163	
1.894	1.169533	
1.895	1.1689	
1.896	1.168265	
1.897	1.167629	
1.898	1.166991	
1.899	1.166351	
1.9	1.16571	
1.901	1.165066	
1.902	1.164421	
1.903	1.163774	
1.904	1.163125	
1.905	1.162475	
1.906	1.161822	
1.907	1.161168	
1.908	1.160512	
1.909	1.159854	
1.91	1.159194	
1.911	1.158533	
1.912	1.15787	
1.913	1.157205	
1.914	1.156538	
1.915	1.155869	
1.916	1.155199	
1.917	1.154526	
1.918	1.153852	
1.919	1.153177	
1.92	1.152499	
1.921	1.15182	
1.922	1.151139	
1.923	1.150456	
1.924	1.149771	
1.925	1.149084	
1.926	1.148396	
1.927	1.147706	
1.928	1.147014	
1.929	1.14632	
1.93	1.145625	
1.931	1.144928	
1.932	1.144229	
1.933	1.143528	
1.934	1.142825	
1.935	1.142121	
1.936	1.141414	
1.937	1.140707	
1.938	1.139997	
1.939	1.139285	
1.94	1.138572	
1.941	1.137857	
1.942	1.13714	
1.943	1.136421	
1.944	1.135701	
1.945	1.134979	
1.946	1.134255	
1.947	1.133529	
1.948	1.132801	
1.949	1.132072	
1.95	1.131341	
1.951	1.130608	
1.952	1.129873	
1.953	1.129137	
1.954	1.128399	
1.955	1.127659	
1.956	1.126917	
1.957	1.126173	
1.958	1.125428	
1.959	1.124681	
1.96	1.123932	
1.961	1.123182	
1.962	1.122429	
1.963	1.121675	
1.964	1.120919	
1.965	1.120162	
1.966	1.119402	
1.967	1.118641	
1.968	1.117878	
1.969	1.117114	
1.97	1.116347	
1.971	1.115579	
1.972	1.114809	
1.973	1.114037	
1.974	1.113264	
1.975	1.112488	
1.976	1.111711	
1.977	1.110933	
1.978	1.110152	
1.979	1.10937	
1.98	1.108586	
1.981	1.1078	
1.982	1.107012	
1.983	1.106223	
1.984	1.105432	
1.985	1.104639	
1.986	1.103845	
1.987	1.103048	
1.988	1.10225	
1.989	1.10145	
1.99	1.100649	
1.991	1.099845	
1.992	1.09904	
1.993	1.098234	
1.994	1.097425	
1.995	1.096615	
1.996	1.095803	
1.997	1.094989	
1.998	1.094173	
1.999	1.093356	
2	1.092537	
2.001	1.091716	
2.002	1.090894	
2.003	1.090069	
2.004	1.089243	
2.005	1.088416	
2.006	1.087586	
2.007	1.086755	
2.008	1.085922	
2.009	1.085088	
2.01	1.084251	
2.011	1.083413	
2.012	1.082574	
2.013	1.081732	
2.014	1.080889	
2.015	1.080044	
2.016	1.079197	
2.017	1.078349	
2.018	1.077498	
2.019	1.076646	
2.02	1.075793	
2.021	1.074937	
2.022	1.07408	
2.023	1.073222	
2.024	1.072361	
2.025	1.071499	
2.026	1.070635	
2.027	1.069769	
2.028	1.068901	
2.029	1.068032	
2.03	1.067161	
2.031	1.066288	
2.032	1.065414	
2.033	1.064538	
2.034	1.06366	
2.035	1.062781	
2.036	1.0619	
2.037	1.061017	
2.038	1.060132	
2.039	1.059246	
2.04	1.058358	
2.041	1.057468	
2.042	1.056576	
2.043	1.055683	
2.044	1.054788	
2.045	1.053892	
2.046	1.052994	
2.047	1.052094	
2.048	1.051192	
2.049	1.050289	
2.05	1.049384	
2.051	1.048477	
2.052	1.047568	
2.053	1.046658	
2.054	1.045746	
2.055	1.044833	
2.056	1.043917	
2.057	1.043	
2.058	1.042082	
2.059	1.041161	
2.06	1.040239	
2.061	1.039316	
2.062	1.03839	
2.063	1.037463	
2.064	1.036534	
2.065	1.035604	
2.066	1.034672	
2.067	1.033738	
2.068	1.032802	
2.069	1.031865	
2.07	1.030926	
2.071	1.029985	
2.072	1.029043	
2.073	1.028099	
2.074	1.027153	
2.075	1.026206	
2.076	1.025257	
2.077	1.024306	
2.078	1.023354	
2.079	1.0224	
2.08	1.021444	
2.081	1.020487	
2.082	1.019528	
2.083	1.018567	
2.084	1.017605	
2.085	1.016641	
2.086	1.015675	
2.087	1.014708	
2.088	1.013739	
2.089	1.012768	
2.09	1.011795	
2.091	1.010821	
2.092	1.009846	
2.093	1.008868	
2.094	1.007889	
2.095	1.006909	
2.096	1.005926	
2.097	1.004942	
2.098	1.003957	
2.099	1.002969	
2.1	1.00198	
2.101	1.00099	
2.102	0.9999974	
2.103	0.9990036	
2.104	0.998008	
2.105	0.9970108	
2.106	0.9960119	
2.107	0.9950114	
2.108	0.9940093	
2.109	0.9930055	
2.11	0.992	
2.111	0.990993	
2.112	0.9899843	
2.113	0.988974	
2.114	0.9879619	
2.115	0.9869483	
2.116	0.985933	
