Time	FF	Vm	Ie	
1.074	0	-0.0639638	0	
1.076	0	-0.06436621	0	
1.078	0	-0.0647418	0	
1.08	0	-0.06509235	0	
1.082	0	-0.06541952	0	
1.084	0	-0.06572489	0	
1.086	0	-0.06600989	0	
1.088	0	-0.0662759	0	
1.09	0	-0.06652418	0	
1.092	0	-0.0667559	0	
1.094	0	-0.06697217	0	
1.096	0	-0.06717402	0	
1.098	0	-0.06736243	0	
1.1	0	-0.06753826	0	
1.102	0	-0.06770238	0	
1.104	0	-0.06785555	0	
1.106	0	-0.06799851	0	
1.108	0	-0.06813195	0	
1.11	0	-0.06825648	0	
1.112	0	-0.06837272	0	
1.114	0	-0.06848121	0	
1.116	0	-0.06858246	0	
1.118	0	-0.06867696	0	
1.12	0	-0.06876516	0	
1.122	0	-0.06884748	0	
1.124	0	-0.06892432	0	
1.126	0	-0.06899603	0	
1.128	0	-0.06906296	0	
1.13	0	-0.06912544	0	
1.132	0	-0.06918374	0	
1.134	0	-0.06923816	0	
1.136	0	-0.06928895	0	
1.138	0	-0.06933635	0	
1.14	0	-0.06938059	0	
1.142	0	-0.06942189	0	
1.144	0	-0.06946043	0	
1.146	0	-0.0694964	0	
1.148	0	-0.06952997	0	
1.15	0	-0.06956131	0	
1.152	0	-0.06959055	0	
1.154	0	-0.06961785	0	
1.156	0	-0.06964333	0	
1.158	0	-0.06966711	0	
1.16	0	-0.0696893	0	
1.162	0	-0.06971001	0	
1.164	0	-0.06972934	0	
1.166	0	-0.06974739	0	
1.168	0	-0.06976423	0	
1.17	0	-0.06977995	0	
1.172	0	-0.06979462	0	
1.174	0	-0.06980831	0	
1.176	0	-0.06982109	0	
1.178	0	-0.06983302	0	
1.18	0	-0.06984415	0	
1.182	0	-0.06985454	0	
1.184	0	-0.06986424	0	
1.186	0	-0.06987329	0	
1.188	0	-0.06988174	0	
1.19	0	-0.06988962	0	
1.192	0	-0.06989698	0	
1.194	0	-0.06990384	0	
1.196	0	-0.06991026	0	
1.198	0	-0.06991624	0	
1.2	0	-0.06992182	0	
