Time	A2	A3	A4	A5	A1	
0.56	0.002014644	1.114272E-06	1.121449E-06	0.002027623	0.02454338	
0.562	0.002012146	1.11289E-06	1.120058E-06	0.002025109	0.02451295	
0.564	0.002009647	1.111509E-06	1.118668E-06	0.002022594	0.02448251	
0.566	0.002007149	1.110127E-06	1.117277E-06	0.00202008	0.02445207	
0.568	0.00200465	1.108744E-06	1.115886E-06	0.002017565	0.02442163	
0.5700001	0.002002151	1.107362E-06	1.114495E-06	0.00201505	0.02439119	
0.572	0.001999651	1.10598E-06	1.113104E-06	0.002012534	0.02436074	
0.574	0.001997152	1.104598E-06	1.111712E-06	0.002010019	0.02433029	
0.576	0.001994653	1.103215E-06	1.110321E-06	0.002007504	0.02429985	
0.578	0.001992154	1.101833E-06	1.10893E-06	0.002004988	0.0242694	
0.58	0.001989655	1.100451E-06	1.107539E-06	0.002002473	0.02423896	
0.582	0.001987156	1.099069E-06	1.106148E-06	0.001999958	0.02420851	
0.5840001	0.001984657	1.097687E-06	1.104757E-06	0.001997444	0.02417808	
0.586	0.001982159	1.096305E-06	1.103367E-06	0.00199493	0.02414764	
0.588	0.001979661	1.094924E-06	1.101976E-06	0.001992416	0.02411721	
0.59	0.001977164	1.093543E-06	1.100586E-06	0.001989903	0.02408679	
0.592	0.001974667	1.092162E-06	1.099196E-06	0.00198739	0.02405638	
0.594	0.001972171	1.090781E-06	1.097806E-06	0.001984878	0.02402596	
0.596	0.001969675	1.089401E-06	1.096417E-06	0.001982366	0.02399556	
0.598	0.00196718	1.088021E-06	1.095029E-06	0.001979855	0.02396517	
0.6	0.001964686	1.086642E-06	1.09364E-06	0.001977345	0.02393478	
0.6020001	0.001962193	1.085262E-06	1.092252E-06	0.001974835	0.02390441	
0.604	0.0019597	1.083884E-06	1.090865E-06	0.001972327	0.02387404	
0.606	0.001957208	1.082506E-06	1.089478E-06	0.001969818	0.02384369	
0.608	0.001954718	1.081128E-06	1.088091E-06	0.001967312	0.02381334	
0.61	0.001952228	1.079751E-06	1.086705E-06	0.001964806	0.02378301	
0.612	0.001949739	1.078375E-06	1.08532E-06	0.001962302	0.02375269	
0.614	0.001947251	1.076999E-06	1.083935E-06	0.001959798	0.02372239	
0.6160001	0.001944765	1.075623E-06	1.082551E-06	0.001957295	0.02369209	
0.618	0.001942279	1.074249E-06	1.081168E-06	0.001954794	0.02366181	
0.62	0.001939795	1.072875E-06	1.079785E-06	0.001952293	0.02363155	
0.622	0.001937312	1.071501E-06	1.078403E-06	0.001949794	0.0236013	
0.624	0.00193483	1.070129E-06	1.077021E-06	0.001947297	0.02357107	
0.626	0.00193235	1.068757E-06	1.075641E-06	0.0019448	0.02354085	
0.628	0.001929871	1.067386E-06	1.074261E-06	0.001942305	0.02351065	
0.6300001	0.001927393	1.066015E-06	1.072881E-06	0.001939812	0.02348047	
0.632	0.001924917	1.064646E-06	1.071503E-06	0.00193732	0.0234503	
0.634	0.001922442	1.063277E-06	1.070125E-06	0.001934829	0.02342016	
0.636	0.001919969	1.061909E-06	1.068749E-06	0.00193234	0.02339002	
0.638	0.001917497	1.060542E-06	1.067373E-06	0.001929852	0.02335991	
0.64	0.001915027	1.059176E-06	1.065998E-06	0.001927366	0.02332982	
0.642	0.001912558	1.05781E-06	1.064624E-06	0.001924882	0.02329974	
0.6440001	0.001910091	1.056446E-06	1.06325E-06	0.001922399	0.02326969	
0.646	0.001907626	1.055082E-06	1.061878E-06	0.001919917	0.02323966	
0.648	0.001905163	1.05372E-06	1.060507E-06	0.001917438	0.02320964	
0.65	0.001902701	1.052358E-06	1.059136E-06	0.00191496	0.02317965	
0.652	0.00190024	1.050998E-06	1.057767E-06	0.001912484	0.02314968	
0.654	0.001897782	1.049638E-06	1.056399E-06	0.00191001	0.02311973	
0.656	0.001895325	1.048279E-06	1.055031E-06	0.001907538	0.02308981	
0.6580001	0.00189287	1.046922E-06	1.053665E-06	0.001905067	0.0230599	
0.66	0.001890417	1.045565E-06	1.052299E-06	0.001902598	0.02303002	
0.6620001	0.001887966	1.044209E-06	1.050935E-06	0.001900132	0.02300016	
0.664	0.001885518	1.042855E-06	1.049572E-06	0.001897666	0.02297033	
0.666	0.00188307	1.041501E-06	1.048209E-06	0.001895204	0.02294051	
0.668	0.001880625	1.040149E-06	1.046849E-06	0.001892743	0.02291073	
0.67	0.001878182	1.038798E-06	1.045488E-06	0.001890284	0.02288096	
0.6720001	0.00187574	1.037447E-06	1.04413E-06	0.001887827	0.02285122	
0.674	0.001873301	1.036098E-06	1.042772E-06	0.001885372	0.0228215	
0.6760001	0.001870864	1.03475E-06	1.041415E-06	0.001882919	0.02279181	
0.678	0.001868429	1.033403E-06	1.04006E-06	0.001880468	0.02276215	
0.68	0.001865996	1.032058E-06	1.038705E-06	0.001878019	0.02273251	
0.682	0.001863565	1.030713E-06	1.037352E-06	0.001875573	0.0227029	
0.684	0.001861136	1.02937E-06	1.036E-06	0.001873128	0.02267331	
0.686	0.00185871	1.028028E-06	1.03465E-06	0.001870686	0.02264375	
0.688	0.001856285	1.026687E-06	1.0333E-06	0.001868246	0.02261421	
0.6900001	0.001853863	1.025347E-06	1.031952E-06	0.001865808	0.0225847	
0.692	0.001851443	1.024008E-06	1.030605E-06	0.001863373	0.02255522	
0.694	0.001849025	1.022671E-06	1.029259E-06	0.001860939	0.02252577	
0.696	0.00184661	1.021335E-06	1.027914E-06	0.001858508	0.02249634	
0.698	0.001844197	1.02E-06	1.026571E-06	0.001856079	0.02246694	
0.7	0.001841785	1.018667E-06	1.025229E-06	0.001853652	0.02243756	
0.702	0.001839377	1.017335E-06	1.023888E-06	0.001851228	0.02240822	
0.7040001	0.00183697	1.016004E-06	1.022548E-06	0.001848806	0.0223789	
0.706	0.001834566	1.014674E-06	1.02121E-06	0.001846387	0.02234961	
0.708	0.001832164	1.013345E-06	1.019873E-06	0.00184397	0.02232036	
0.71	0.001829765	1.012018E-06	1.018537E-06	0.001841555	0.02229112	
0.712	0.001827368	1.010693E-06	1.017203E-06	0.001839142	0.02226192	
0.714	0.001824973	1.009368E-06	1.01587E-06	0.001836732	0.02223274	
0.716	0.001822581	1.008045E-06	1.014538E-06	0.001834324	0.0222036	
0.7180001	0.001820191	1.006723E-06	1.013208E-06	0.001831919	0.02217448	
0.72	0.001817803	1.005403E-06	1.011879E-06	0.001829516	0.0221454	
0.7220001	0.001815418	1.004083E-06	1.010551E-06	0.001827115	0.02211634	
0.724	0.001813035	1.002765E-06	1.009225E-06	0.001824718	0.02208731	
0.726	0.001810655	1.001449E-06	1.0079E-06	0.001822322	0.02205832	
0.728	0.001808277	1.000134E-06	1.006576E-06	0.001819929	0.02202935	
0.73	0.001805902	0	1.005254E-06	0.001817538	0.02200041	
0.7320001	0.001803529	0	1.003933E-06	0.00181515	0.02197151	
0.734	0.001801159	0	1.002614E-06	0.001812765	0.02194263	
0.7360001	0.001798791	0	1.001296E-06	0.001810381	0.02191378	
0.738	0.001796426	0	0	0.001808001	0.02188496	
0.74	0.001794063	0	0	0.001805623	0.02185618	
0.742	0.001791703	0	0	0.001803247	0.02182743	
0.744	0.001789345	0	0	0.001800875	0.0217987	
