Time	Length	Position	2	
0.656	3.77278	1.227235	0	
0.657	3.770741	1.229275	0	
0.6580001	3.768706	1.23131	0	
0.659	3.766675	1.23334	0	
0.66	3.764649	1.235367	0	
0.661	3.762628	1.237388	0	
0.6620001	3.76061	1.239406	0	
0.663	3.758597	1.241419	0	
0.664	3.756588	1.243428	0	
0.665	3.754584	1.245432	0	
0.666	3.752585	1.247431	0	
0.6670001	3.75059	1.249427	0	
0.668	3.748599	1.251417	0	
0.669	3.746613	1.253403	0	
0.67	3.744631	1.255385	0	
0.671	3.742654	1.257362	0	
0.6720001	3.740682	1.259335	0	
0.673	3.738714	1.261303	0	
0.674	3.73675	1.263266	0	
0.675	3.734792	1.265225	0	
0.6760001	3.732838	1.267179	0	
0.677	3.730888	1.269128	0	
0.678	3.728944	1.271073	0	
0.679	3.727004	1.273013	0	
0.68	3.725068	1.274949	0	
0.6810001	3.723137	1.276879	0	
0.682	3.721211	1.278805	0	
0.683	3.71929	1.280727	0	
0.684	3.717373	1.282643	0	
0.6850001	3.715462	1.284555	0	
0.686	3.713555	1.286462	0	
0.687	3.711653	1.288364	0	
0.688	3.709755	1.290262	0	
0.689	3.707863	1.292154	0	
0.6900001	3.705975	1.294042	0	
0.691	3.704092	1.295925	0	
0.692	3.702214	1.297803	0	
0.693	3.700341	1.299676	0	
0.694	3.698472	1.301545	0	
0.6950001	3.696609	1.303408	0	
0.696	3.69475	1.305267	0	
0.697	3.692897	1.30712	0	
0.698	3.691048	1.308969	0	
0.6990001	3.689204	1.310813	0	
0.7	3.687366	1.312652	0	
0.701	3.685532	1.314485	0	
0.702	3.683703	1.316314	0	
0.703	3.681879	1.318138	0	
0.7040001	3.68006	1.319957	0	
0.705	3.678246	1.321771	0	
0.706	3.676438	1.323579	0	
0.707	3.674634	1.325383	0	
0.708	3.672836	1.327182	0	
0.7090001	3.671042	1.328975	0	
0.71	3.669254	1.330763	0	
0.711	3.66747	1.332547	0	
0.712	3.665692	1.334325	0	
0.7130001	3.663919	1.336098	0	
0.714	3.662152	1.337866	0	
0.715	3.66039	1.339628	0	
0.716	3.658632	1.341386	0	
0.717	3.65688	1.343138	0	
0.7180001	3.655133	1.344885	0	
0.719	3.653391	1.346627	0	
0.72	3.651654	1.348364	0	
0.721	3.649922	1.350096	0	
0.7220001	3.648196	1.351822	0	
0.723	3.646475	1.353543	0	
0.724	3.644759	1.355259	0	
0.725	3.643049	1.356969	0	
0.726	3.641344	1.358674	0	
0.7270001	3.639644	1.360374	0	
0.728	3.637949	1.362069	0	
0.729	3.63626	1.363758	0	
0.73	3.634576	1.365442	0	
0.731	3.632897	1.367121	0	
0.7320001	3.631224	1.368794	0	
0.733	3.629556	1.370462	0	
0.734	3.627894	1.372124	0	
0.735	3.626237	1.373781	0	
0.7360001	3.624585	1.375433	0	
0.737	3.622939	1.377079	0	
0.738	3.621298	1.37872	0	
0.739	3.619663	1.380355	0	
0.74	3.618033	1.381985	0	
0.7410001	3.616409	1.38361	0	
0.742	3.614789	1.385229	0	
0.743	3.613176	1.386842	0	
0.744	3.611568	1.38845	0	
0.7450001	3.609966	1.390053	0	
0.7460001	3.608369	1.391649	0	
0.747	3.606777	1.393241	0	
0.748	3.605192	1.394827	0	
0.749	3.603611	1.396407	0	
0.7500001	3.602036	1.397982	0	
0.751	3.600467	1.399551	0	
0.752	3.598904	1.401115	0	
0.753	3.597345	1.402673	0	
0.754	3.595793	1.404226	0	
0.7550001	3.594246	1.405772	0	
0.756	3.592705	1.407314	0	
0.757	3.591169	1.408849	0	
0.758	3.589639	1.410379	0	
0.7590001	3.588115	1.411904	0	
0.7600001	3.586596	1.413423	0	
0.761	3.585083	1.414936	0	
0.762	3.583575	1.416443	0	
0.763	3.582074	1.417945	0	
0.7640001	3.580578	1.419441	0	
