Time	Length	Position	Length2	2	
0.663	0	2.22098	2.779048	0	
0.664	0	2.225623	2.774404	0	
0.665	0	2.230257	2.76977	0	
0.666	0	2.234882	2.765146	0	
0.6670001	0	2.239496	2.760532	0	
0.668	0	2.244101	2.755928	0	
0.669	0	2.248696	2.751333	0	
0.67	0	2.253281	2.746747	0	
0.671	0	2.257857	2.742172	0	
0.6720001	0	2.262422	2.737607	0	
0.673	0	2.266978	2.733051	0	
0.674	0	2.271523	2.728506	0	
0.675	0	2.276058	2.72397	0	
0.6760001	0	2.280584	2.719445	0	
0.677	0	2.285099	2.71493	0	
0.678	0	2.289604	2.710425	0	
0.679	0	2.294099	2.70593	0	
0.68	0	2.298584	2.701446	0	
0.6810001	0	2.303058	2.696971	0	
0.682	0	2.307523	2.692507	0	
0.683	0	2.311976	2.688053	0	
0.684	0	2.31642	2.68361	0	
0.6850001	0	2.320853	2.679177	0	
0.686	0	2.325275	2.674755	0	
0.687	0	2.329687	2.670343	0	
0.688	0	2.334089	2.665941	0	
0.689	0	2.33848	2.66155	0	
0.6900001	0	2.34286	2.65717	0	
0.691	0	2.34723	2.6528	0	
0.692	0	2.351589	2.648442	0	
0.693	0	2.355937	2.644094	0	
0.694	0	2.360275	2.639756	0	
