Time	Rotation	
1.2048	0.09667357	
1.2052	0.09759448	
1.2056	0.09853528	
1.206	0.09949588	
1.2064	0.1004762	
1.2068	0.1014762	
1.2072	0.1024958	
1.2076	0.1035349	
1.208	0.1045935	
1.2084	0.1056714	
1.2088	0.1067686	
1.2092	0.1078851	
1.2096	0.1090206	
1.21	0.1101753	
1.2104	0.1113488	
1.2108	0.1125412	
1.2112	0.1137524	
1.2116	0.1149823	
1.212	0.1162307	
1.2124	0.1174977	
1.2128	0.118783	
1.2132	0.1200865	
1.2136	0.1214082	
1.214	0.122748	
1.2144	0.1241057	
1.2148	0.1254813	
1.2152	0.1268745	
1.2156	0.1282852	
1.216	0.1297135	
1.2164	0.131159	
1.2168	0.1326217	
1.2172	0.1341015	
1.2176	0.1355982	
1.218	0.1371116	
1.2184	0.1386416	
1.2188	0.1401881	
1.2192	0.141751	
1.2196	0.14333	
1.22	0.144925	
1.2204	0.1465358	
1.2208	0.1481623	
1.2212	0.1498042	
1.2216	0.1514615	
1.222	0.153134	
1.2224	0.1548213	
1.2228	0.1565235	
1.2232	0.1582402	
1.2236	0.1599712	
1.224	0.1617165	
1.2244	0.1634757	
1.2248	0.1652486	
1.2252	0.1670351	
1.2256	0.1688349	
1.226	0.1706478	
1.2264	0.1724736	
1.2268	0.174312	
1.2272	0.1761628	
1.2276	0.1780258	
1.228	0.1799006	
1.2284	0.1817871	
1.2288	0.183685	
1.2292	0.185594	
1.2296	0.1875139	
1.23	0.1894443	
1.2304	0.1913851	
1.2308	0.1933359	
1.2312	0.1952963	
1.2316	0.1972663	
1.232	0.1992453	
1.2324	0.2012332	
1.2328	0.2032296	
1.2332	0.2052342	
1.2336	0.2072466	
1.234	0.2092666	
1.2344	0.2112938	
1.2348	0.2133279	
1.2352	0.2153685	
1.2356	0.2174153	
1.236	0.2194679	
1.2364	0.221526	
1.2368	0.2235892	
1.2372	0.2256571	
1.2376	0.2277294	
1.238	0.2298056	
1.2384	0.2318854	
1.2388	0.2339683	
1.2392	0.2360542	
1.2396	0.2381423	
1.24	0.2402324	
1.2404	0.2423241	
1.2408	0.2444169	
1.2412	0.2465104	
1.2416	0.2486042	
1.242	0.2506979	
1.2424	0.2527909	
1.2428	0.254883	
1.2432	0.2569735	
1.2436	0.2590621	
1.244	0.2611483	
1.2444	0.2632317	
1.2448	0.2653117	
1.2452	0.267388	
1.2456	0.26946	
1.246	0.2715272	
1.2464	0.2735892	
1.2468	0.2756455	
1.2472	0.2776956	
1.2476	0.279739	
1.248	0.2817752	
1.2484	0.2838038	
1.2488	0.2858242	
1.2492	0.2878359	
1.2496	0.2898384	
1.25	0.2918313	
1.2504	0.2938139	
1.2508	0.2957858	
1.2512	0.2977465	
1.2516	0.2996954	
1.252	0.3016321	
1.2524	0.3035561	
1.2528	0.3054668	
1.2532	0.3073638	
