Time	Bottom_A	Bottom_FF	Bottom_Length	Bottom_Tension	Top_A	Top_Length	Top_MN	Top_Tension	
1.2124	0	0	0	0	0.4239978	0.05068463	0.4239978	0.9941513	
1.2128	0	0	0	0	0.4239978	0.05069956	0.4239978	1.002495	
1.2132	0	0	0	0	0.4239978	0.05071488	0.4239978	1.011013	
1.2136	0	0	0	0	0.4239978	0.05073057	0.4239978	1.019698	
1.214	0	0	0	0	0.4239978	0.05074664	0.4239978	1.028557	
1.2144	0	0	0	0	0.4239978	0.0507631	0.4239978	1.037594	
1.2148	0	0	0	0	0.4239978	0.05077995	0.4239978	1.046806	
1.2152	0	0	0	0	0.4239978	0.05079721	0.4239978	1.056206	
1.2156	0	0	0	0	0.4239978	0.05081487	0.4239979	1.065786	
1.216	0	0	0	0	0.4239979	0.05083294	0.4239979	1.075549	
1.2164	0	0	0	0	0.4239979	0.05085142	0.4239979	1.085501	
1.2168	0	0	0	0	0.4239979	0.05087033	0.4239979	1.095644	
1.2172	0	0	0	0	0.4239979	0.05088966	0.4239979	1.105979	
1.2176	0	0	0	0	0.4239979	0.05090943	0.4239979	1.116511	
1.218	0	0	0	0	0.4239979	0.05092962	0.4239979	1.127234	
1.2184	0	0	0	0	0.4239979	0.05095026	0.4239979	1.138161	
1.2188	0	0	0	0	0.4239979	0.05097134	0.4239979	1.149284	
1.2192	0	0	0	0	0.4239979	0.05099287	0.4239979	1.160609	
1.2196	0	0	0	0	0.4239979	0.05101485	0.4239979	1.172139	
1.22	0	0	0	0	0.4239979	0.05103729	0.4239979	1.183875	
1.2204	0	0	0	0	0.4239979	0.0510602	0.4239979	1.19582	
1.2208	0	0	0	0	0.4239979	0.05108356	0.4239979	1.207972	
1.2212	0	0	0	0	0.4239979	0.05110741	0.4239979	1.220337	
1.2216	0	0	0	0	0.4239979	0.05113173	0.423998	1.232914	
1.222	0	0	0	0	0.423998	0.05115652	0.423998	1.245703	
1.2224	0	0	0	0	0.423998	0.0511818	0.423998	1.258714	
1.2228	0	0	0	0	0.423998	0.05120757	0.423998	1.27194	
1.2232	0	0	0	0	0.423998	0.05123384	0.423998	1.285386	
1.2236	0	0	0	0	0.423998	0.05126059	0.423998	1.29905	
1.224	0	0	0	0	0.423998	0.05128784	0.423998	1.312938	
1.2244	0	0	0	0	0.423998	0.05131559	0.423998	1.327047	
1.2248	0	0	0	0	0.423998	0.05134384	0.423998	1.341374	
1.2252	0	0	0	0	0.423998	0.0513726	0.423998	1.355928	
1.2256	0	0	0	0	0.423998	0.05140186	0.4239981	1.370708	
1.226	0	0	0	0	0.4239981	0.05143164	0.4239981	1.385713	
1.2264	0	0	0	0	0.4239981	0.05146193	0.4239981	1.400948	
1.2268	0	0	0	0	0.4239981	0.05149273	0.4239981	1.416405	
1.2272	0	0	0	0	0.4239981	0.05152405	0.4239981	1.432091	
1.2276	0	0	0	0	0.4239981	0.05155588	0.4239981	1.448002	
1.228	0	0	0	0	0.4239981	0.05158824	0.4239981	1.464142	
1.2284	0	0	0	0	0.4239981	0.05162111	0.4239981	1.480508	
1.2288	0	0	0	0	0.4239981	0.0516545	0.4239981	1.497101	
1.2292	0	0	0	0	0.4239981	0.0516884	0.4239981	1.51392	
1.2296	0	0	0	0	0.4239981	0.05172283	0.4239981	1.530967	
1.23	0	0	0	0	0.4239981	0.05175778	0.4239981	1.548239	
1.2304	0	0	0	0	0.4239981	0.05179324	0.4239981	1.565735	
1.2308	0	0	0	0	0.4239981	0.05182923	0.4239981	1.583457	
1.2312	0	0	0	0	0.4239981	0.05186573	0.4239981	1.601403	
1.2316	0	0	0	0	0.4239981	0.05190275	0.4239982	1.619569	
1.232	0	0	0	0	0.4239982	0.05194028	0.4239982	1.637957	
1.2324	0	0	0	0	0.4239982	0.05197833	0.4239982	1.656566	
1.2328	0	0	0	0	0.4239982	0.05201688	0.4239982	1.675394	
1.2332	0	0	0	0	0.4239982	0.05205594	0.4239982	1.694435	
1.2336	0	0	0	0	0.4239982	0.05209551	0.4239982	1.713692	
1.234	0	0	0	0	0.4239982	0.05213558	0.4239982	1.73316	
1.2344	0	0	0	0	0.4239982	0.05217614	0.4239982	1.752838	
1.2348	0	0	0	0	0.4239982	0.05221719	0.4239982	1.772725	
1.2352	0	0	0	0	0.4239982	0.05225873	0.4239982	1.792812	
1.2356	0	0	0	0	0.4239982	0.05230076	0.4239982	1.813105	
1.236	0	0	0	0	0.4239982	0.05234326	0.4239982	1.833595	
1.2364	0	0	0	0	0.4239982	0.05238624	0.4239982	1.854285	
1.2368	0	0	0	0	0.4239982	0.05242969	0.4239982	1.875165	
1.2372	0	0	0	0	0.4239982	0.05247359	0.4239982	1.896235	
1.2376	0	0	0	0	0.4239982	0.05251795	0.4239983	1.917488	
1.238	0	0	0	0	0.4239983	0.05256275	0.4239983	1.938923	
1.2384	0	0	0	0	0.4239983	0.052608	0.4239983	1.960537	
1.2388	0	0	0	0	0.4239983	0.05265367	0.4239983	1.982319	
1.2392	0	0	0	0	0.4239983	0.05269977	0.4239983	2.004274	
1.2396	0	0	0	0	0.4239983	0.05274628	0.4239983	2.026393	
1.24	0	0	0	0	0.4239983	0.0527932	0.4239983	2.048671	
1.2404	0	0	0	0	0.4239983	0.05284052	0.4239983	2.071103	
1.2408	0	0	0	0	0.4239983	0.05288821	0.4239983	2.093678	
1.2412	0	0	0	0	0.4239983	0.05293629	0.4239983	2.116405	
1.2416	0	0	0	0	0.4239983	0.05298473	0.4239984	2.139262	
1.242	0	0	0	0	0.4239984	0.05303352	0.4239984	2.162255	
1.2424	0	0	0	0	0.4239984	0.05308266	0.4239984	2.185374	
1.2428	0	0	0	0	0.4239984	0.05313211	0.4239984	2.208608	
1.2432	0	0	0	0	0.4239984	0.05318189	0.4239984	2.231958	
1.2436	0	0	0	0	0.4239984	0.05323197	0.4239984	2.255411	
1.244	0	0	0	0	0.4239984	0.05328235	0.4239984	2.278967	
1.2444	0	0	0	0	0.4239984	0.053333	0.4239984	2.302611	
1.2448	0	0	0	0	0.4239984	0.05338392	0.4239984	2.326347	
1.2452	0	0	0	0	0.4239984	0.05343507	0.4239984	2.350151	
1.2456	0	0	0	0	0.4239984	0.05348647	0.4239984	2.374032	
1.246	0	0	0	0	0.4239984	0.05353808	0.4239984	2.397976	
1.2464	0	0	0	0	0.4239984	0.05358991	0.4239984	2.421975	
1.2468	0	0	0	0	0.4239984	0.0536419	0.4239984	2.446015	
1.2472	0	0	0	0	0.4239984	0.05369408	0.4239984	2.470095	
1.2476	0	0	0	0	0.4239984	0.0537464	0.4239985	2.494204	
1.248	0	0	0	0	0.4239985	0.05379887	0.4239985	2.518339	
1.2484	0	0	0	0	0.4239985	0.05385146	0.4239985	2.542483	
1.2488	0	0	0	0	0.4239985	0.05390414	0.4239985	2.566631	
1.2492	0	0	0	0	0.4239985	0.05395691	0.4239985	2.590775	
1.2496	0	0	0	0	0.4239985	0.05400974	0.4239985	2.6149	
1.25	0	0	0	0	0.4239985	0.05406262	0.4239985	2.639004	
1.2504	0	0	0	0	0.4239985	0.05411553	0.4239985	2.663074	
1.2508	0	0	0	0	0.4239985	0.05416844	0.4239985	2.6871	
1.2512	0	0	0	0	0.4239985	0.05422134	0.4239985	2.711072	
1.2516	0	0	0	0	0.4239985	0.05427421	0.4239985	2.734983	
1.252	0	0	0	0	0.4239985	0.05432704	0.4239985	2.758825	
1.2524	0	0	0	0	0.4239985	0.05437979	0.4239985	2.782583	
1.2528	0	0	0	0	0.4239985	0.05443244	0.4239985	2.806246	
1.2532	0	0	0	0	0.4239985	0.05448498	0.4239985	2.829807	
1.2536	0	0	0	0	0.4239985	0.05453738	0.4239986	2.853251	
1.254	0	0	0	0	0.4239986	0.05458963	0.4239986	2.876574	
1.2544	0	0	0	0	0.4239986	0.0546417	0.4239986	2.899764	
1.2548	0	0	0	0	0.4239986	0.05469358	0.4239986	2.92281	
1.2552	0	0	0	0	0.4239986	0.05474522	0.4239986	2.945698	
1.2556	0	0	0	0	0.4239986	0.05479664	0.4239986	2.968423	
