Time	Top_MN	Bottom_FF	Top_A	Bottom_A	Top_Tension	Bottom_Tension	Top_Length	
1.736	0.3899991	0	0.3899991	0	0.9990861	0	0.05001376	
1.7364	0.3899991	0	0.3899991	0	0.9991209	0	0.05001382	
1.7368	0.3899991	0	0.3899991	0	0.9991612	0	0.0500139	
1.7372	0.3899991	0	0.3899991	0	0.9991996	0	0.05001397	
1.7376	0.3899991	0	0.3899991	0	0.9992378	0	0.05001404	
1.738	0.3899991	0	0.3899991	0	0.999276	0	0.05001411	
1.7384	0.3899991	0	0.3899991	0	0.9993142	0	0.05001418	
1.7388	0.3899991	0	0.3899991	0	0.9993541	0	0.05001425	
1.7392	0.3899991	0	0.3899991	0	0.9993939	0	0.05001433	
1.7396	0.3899991	0	0.3899991	0	0.9994337	0	0.0500144	
1.74	0.3899991	0	0.3899991	0	0.9994734	0	0.05001448	
1.7404	0.3899991	0	0.3899991	0	0.9995148	0	0.05001456	
1.7408	0.3899991	0	0.3899991	0	0.9995525	0	0.05001463	
1.7412	0.3899991	0	0.3899991	0	0.9995938	0	0.0500147	
1.7416	0.3899991	0	0.3899991	0	0.9996387	0	0.05001479	
1.742	0.3899991	0	0.3899991	0	0.999678	0	0.05001486	
1.7424	0.3899991	0	0.3899991	0	0.999719	0	0.05001494	
1.7428	0.3899991	0	0.3899991	0	0.99976	0	0.05001502	
1.7432	0.3899991	0	0.3899991	0	0.9998009	0	0.0500151	
1.7436	0.3899991	0	0.3899991	0	0.9998435	0	0.05001518	
1.744	0.3899991	0	0.3899991	0	0.9998842	0	0.05001526	
1.7444	0.3899991	0	0.3899991	0	0.9999267	0	0.05001534	
1.7448	0.3899991	0	0.3899991	0	0.9999673	0	0.05001542	
1.7452	0.3899991	0	0.3899991	0	1.000008	0	0.0500155	
1.7456	0.3899991	0	0.3899991	0	1.00005	0	0.05001558	
1.746	0.3899991	0	0.3899991	0	1.00009	0	0.05001566	
1.7464	0.3899991	0	0.3899991	0	1.000134	0	0.05001574	
1.7468	0.3899991	0	0.3899991	0	1.000172	0	0.05001582	
1.7472	0.3899991	0	0.3899991	0	1.000213	0	0.0500159	
1.7476	0.3899991	0	0.3899991	0	1.000256	0	0.05001598	
1.748	0.3899991	0	0.3899991	0	1.000294	0	0.05001606	
1.7484	0.3899991	0	0.3899991	0	1.000334	0	0.05001613	
1.7488	0.3899991	0	0.3899991	0	1.000374	0	0.05001621	
1.7492	0.3899991	0	0.3899991	0	1.000413	0	0.05001629	
1.7496	0.3899991	0	0.3899991	0	1.000453	0	0.05001637	
1.75	0.3899991	0	0.3899991	0	1.000491	0	0.05001644	
1.7504	0.3899991	0	0.3899991	0	1.00053	0	0.05001652	
1.7508	0.3899991	0	0.3899991	0	1.000566	0	0.05001659	
1.7512	0.3899991	0	0.3899991	0	1.000605	0	0.05001667	
1.7516	0.3899991	0	0.3899991	0	1.00064	0	0.05001674	
1.752	0.3899991	0	0.3899991	0	1.000677	0	0.05001682	
1.7524	0.3899991	0	0.3899991	0	1.000715	0	0.05001689	
1.7528	0.3899991	0	0.3899991	0	1.000752	0	0.05001697	
1.7532	0.3899991	0	0.3899991	0	1.000783	0	0.05001703	
1.7536	0.3899991	0	0.3899991	0	1.000818	0	0.0500171	
1.754	0.3899991	0	0.3899991	0	1.000855	0	0.05001717	
1.7544	0.3899991	0	0.3899991	0	1.000886	0	0.05001724	
1.7548	0.3899991	0	0.3899991	0	1.000919	0	0.0500173	
1.7552	0.3899991	0	0.3899991	0	1.00095	0	0.05001737	
1.7556	0.3899991	0	0.3899991	0	1.000983	0	0.05001744	
1.756	0.3899991	0	0.3899991	0	1.001016	0	0.0500175	
1.7564	0.3899991	0	0.3899991	0	1.001045	0	0.05001756	
1.7568	0.3899991	0	0.3899991	0	1.001074	0	0.05001762	
1.7572	0.3899991	0	0.3899991	0	1.001103	0	0.05001768	
1.7576	0.3899991	0	0.3899991	0	1.001132	0	0.05001774	
1.758	0.3899991	0	0.3899991	0	1.001157	0	0.05001779	
1.7584	0.3899991	0	0.3899991	0	1.001186	0	0.05001785	
1.7588	0.3899991	0	0.3899991	0	1.001211	0	0.0500179	
1.7592	0.3899991	0	0.3899991	0	1.001238	0	0.05001796	
1.7596	0.3899991	0	0.3899991	0	1.001261	0	0.05001801	
1.76	0.3899991	0	0.3899991	0	1.001282	0	0.05001805	
1.7604	0.3899991	0	0.3899991	0	1.001305	0	0.0500181	
1.7608	0.3899991	0	0.3899991	0	1.001327	0	0.05001815	
1.7612	0.3899991	0	0.3899991	0	1.00135	0	0.0500182	
1.7616	0.3899991	0	0.3899991	0	1.001369	0	0.05001824	
1.762	0.3899991	0	0.3899991	0	1.001388	0	0.05001828	
1.7624	0.3899991	0	0.3899991	0	1.001407	0	0.05001832	
1.7628	0.3899991	0	0.3899991	0	1.001424	0	0.05001836	
1.7632	0.3899991	0	0.3899991	0	1.001441	0	0.0500184	
1.7636	0.3899991	0	0.3899991	0	1.001456	0	0.05001843	
1.764	0.3899991	0	0.3899991	0	1.001473	0	0.05001847	
1.7644	0.3899991	0	0.3899991	0	1.001487	0	0.0500185	
1.7648	0.3899991	0	0.3899991	0	1.0015	0	0.05001853	
1.7652	0.3899991	0	0.3899991	0	1.001513	0	0.05001856	
1.7656	0.3899991	0	0.3899991	0	1.001522	0	0.05001858	
1.766	0.3899991	0	0.3899991	0	1.001534	0	0.0500186	
1.7664	0.3899991	0	0.3899991	0	1.001543	0	0.05001863	
1.7668	0.3899991	0	0.3899991	0	1.001551	0	0.05001865	
1.7672	0.3899991	0	0.3899991	0	1.001558	0	0.05001866	
1.7676	0.3899991	0	0.3899991	0	1.001564	0	0.05001868	
1.768	0.3899991	0	0.3899991	0	1.001571	0	0.0500187	
1.7684	0.3899991	0	0.3899991	0	1.001575	0	0.05001871	
