Time	A	D	ElbowActualVel	ElbowPos	ElbowSetVel	FB	P	PhysicsStep	RealVsSim	
0.042	-0.06	0	1.000166	0.04099147	1	0.26965	0	0.000237	0.048263	
0.04225	-0.06	0	1.000166	0.04149155	1	0.2833961	0	0.000237	0.048263	
0.0425	-0.06	0	1.000166	0.04149155	1	0.2833961	0	0.00024	0.048767	
0.04275	-0.06	0	1.000166	0.04199164	1	0.2833961	0	0.00024	0.048767	
0.043	-0.06	0	1.000166	0.04199164	1	0.2833961	0	0.000238	0.04927	
0.04325	-0.06	0	1.000166	0.04249172	1	0.2833961	0	0.000238	0.04927	
0.0435	-0.06	0	1.000166	0.04249172	1	0.2833961	0	0.00024	0.049774	
0.04375	-0.06	0	1.000173	0.04299181	1	0.2833961	0	0.00024	0.049774	
0.044	-0.06	0	1.000173	0.04299181	1	0.2833961	0	0.000238	0.050277	
0.04425	-0.06	0	1.000166	0.04349189	1	0.2833961	0	0.000238	0.050277	
0.0445	-0.06	0	1.000166	0.04349189	1	0.2833961	0	0.000241	0.050781	
0.04475	-0.06	0	1.000166	0.04399197	1	0.2968299	0	0.000241	0.050781	
0.045	-0.06	0	1.000166	0.04399197	1	0.2968299	0	0.000237	0.051285	
0.04525	-0.06	0	1.000166	0.04449205	1	0.2968299	0	0.000237	0.051285	
0.0455	-0.06	0	1.000166	0.04449205	1	0.2968299	0	0.00024	0.051789	
0.04575	-0.06	0	1.000166	0.04499214	1	0.2968299	0	0.00024	0.051789	
0.046	-0.06	0	1.000166	0.04499214	1	0.2968299	0	0.000258	0.052293	
0.04625	-0.06	0	1.000166	0.04549222	1	0.2968299	0	0.000258	0.052293	
0.0465	-0.06	0	1.000166	0.04549222	1	0.2968299	0	0.000241	0.052797	
0.04675	-0.06	0	1.000166	0.0459923	1	0.2968299	0	0.000241	0.052797	
0.047	-0.06	0	1.000166	0.0459923	1	0.2968299	0	0.000238	0.0533	
0.04725	-0.06	0	1.000173	0.04649239	1	0.309959	0	0.000238	0.0533	
0.0475	-0.06	0	1.000173	0.04649239	1	0.309959	0	0.000255	0.053805	
0.04775	-0.06	0	1.000166	0.04699247	1	0.309959	0	0.000255	0.053805	
0.048	-0.06	0	1.000166	0.04699247	1	0.309959	0	0.000284	0.054309	
0.04825	-0.06	0	1.000166	0.04749256	1	0.309959	0	0.000284	0.054309	
