Time	X Force	Tension	Length	Velocity	Acceleration	Potential Energy	Damping Force	Spring Tension	
0.219	0.4978675	-0.4896221	4.873414	-0.8244514	0	3.814256	8.244514	-8.734136	
0.22	0.489623	-0.4766045	4.872589	-0.8249282	-0.4768371	3.807055	8.249282	-8.725886	
0.221	0.4766053	-0.4588089	4.871763	-0.8258819	-0.9536743	3.799851	8.258819	-8.717628	
0.222	0.4588098	-0.4505501	4.870937	-0.8258819	0	3.792655	8.258819	-8.709369	
0.223	0.4505509	-0.4375181	4.870111	-0.8263587	-0.4768371	3.785461	8.263587	-8.701105	
0.224	0.437519	-0.4244814	4.869284	-0.8268356	-0.4768371	3.77827	8.268355	-8.692837	
0.225	0.4244823	-0.4114399	4.868456	-0.8273124	-0.4768371	3.771082	8.273124	-8.684564	
0.226	0.4114408	-0.3983936	4.867629	-0.8277892	-0.4768371	3.763897	8.277892	-8.676286	
0.227	0.3983945	-0.3853426	4.8668	-0.8282661	-0.4768371	3.756714	8.28266	-8.668003	
0.228	0.3853435	-0.3722868	4.865972	-0.8287429	-0.4768371	3.749534	8.287429	-8.659716	
0.229	0.3722877	-0.3639994	4.865143	-0.8287429	0	3.742361	8.287429	-8.651428	
0.23	0.3640002	-0.3557119	4.864314	-0.8287429	0	3.735194	8.287429	-8.643141	
0.231	0.3557128	-0.3378782	4.863484	-0.8296966	-0.9536743	3.728026	8.296966	-8.634844	
0.232	0.3378791	-0.3248081	4.862654	-0.8301734	-0.4768371	3.720861	8.301734	-8.626542	
0.233	0.324809	-0.3165064	4.861824	-0.8301734	0	3.713703	8.301734	-8.61824	
0.234	0.3165073	-0.3034315	4.860993	-0.8306503	-0.4768371	3.706548	8.306502	-8.609934	
0.235	0.3034324	-0.295125	4.860163	-0.8306503	0	3.6994	8.306502	-8.601627	
0.236	0.2951259	-0.2772722	4.859331	-0.8316039	-0.9536743	3.69225	8.316039	-8.593311	
0.237	0.2772731	-0.2737293	4.8585	-0.8311271	0.4768371	3.685111	8.311271	-8.585	
0.238	0.2737302	-0.2558718	4.857668	-0.8320808	-0.9536743	3.677971	8.320807	-8.576679	
0.239	0.2558726	-0.2523241	4.856836	-0.8316039	0.4768371	3.670842	8.316039	-8.568363	
0.24	0.252325	-0.2344618	4.856004	-0.8325576	-0.9536743	3.663712	8.325576	-8.560038	
0.241	0.2344626	-0.2261362	4.855171	-0.8325576	0	3.656589	8.325576	-8.551712	
0.242	0.2261371	-0.2178106	4.854339	-0.8325576	0	3.649473	8.325576	-8.543386	
0.243	0.2178115	-0.2047119	4.853506	-0.8330345	-0.4768371	3.642359	8.330344	-8.535056	
0.244	0.2047128	-0.1963816	4.852673	-0.8330345	0	3.635253	8.330344	-8.526726	
0.245	0.1963824	-0.1832781	4.851839	-0.8335113	-0.4768371	3.628149	8.335113	-8.518391	
0.246	0.1832789	-0.174943	4.851006	-0.8335113	0	3.621052	8.335113	-8.510056	
0.247	0.1749438	-0.1666079	4.850172	-0.8335113	0	3.613962	8.335113	-8.50172	
0.248	0.1666087	-0.1534996	4.849338	-0.8339881	-0.4768371	3.606876	8.339881	-8.493381	
0.249	0.1535005	-0.1451597	4.848504	-0.8339881	0	3.599796	8.339881	-8.485041	
