Time	Length	Velocity	Acceleration	Damping	Tension	2	
0.268	4.660977	2.367315	6.609778	4.660977	4.660977	0	
0.269	4.658604	2.373901	6.586038	4.658604	4.658604	0	
0.27	4.656223	2.380463	6.562235	4.656223	4.656223	0	
0.271	4.653836	2.387001	6.538366	4.653836	4.653836	0	
0.272	4.651443	2.393516	6.514431	4.651443	4.651443	0	
0.273	4.649043	2.400006	6.490429	4.649043	4.649043	0	
0.274	4.646636	2.406473	6.466364	4.646636	4.646636	0	
0.275	4.644223	2.412915	6.442234	4.644223	4.644223	0	
0.276	4.641804	2.419333	6.418042	4.641804	4.641804	0	
0.277	4.639378	2.425727	6.393784	4.639378	4.639378	0	
0.278	4.636946	2.432096	6.369463	4.636946	4.636946	0	
0.279	4.634508	2.438441	6.34508	4.634508	4.634508	0	
0.28	4.632063	2.444762	6.320632	4.632063	4.632063	0	
0.281	4.629612	2.451058	6.296122	4.629612	4.629612	0	
0.282	4.627154	2.45733	6.27155	4.627154	4.627154	0	
0.283	4.624691	2.463576	6.246911	4.624691	4.624691	0	
0.284	4.622221	2.469799	6.222215	4.622221	4.622221	0	
0.285	4.619745	2.475996	6.197453	4.619745	4.619745	0	
0.286	4.617263	2.482169	6.172635	4.617263	4.617263	0	
0.287	4.614775	2.488317	6.147748	4.614775	4.614775	0	
0.288	4.61228	2.494439	6.122807	4.61228	4.61228	0	
0.289	4.60978	2.500537	6.097797	4.60978	4.60978	0	
0.29	4.607274	2.50661	6.07274	4.607274	4.607274	0	
0.291	4.604761	2.512658	6.047612	4.604761	4.604761	0	
0.292	4.602242	2.51868	6.022423	4.602242	4.602242	0	
0.293	4.599718	2.524677	5.997177	4.599718	4.599718	0	
0.294	4.597187	2.530649	5.971873	4.597187	4.597187	0	
0.295	4.59465	2.536596	5.946507	4.59465	4.59465	0	
0.296	4.592108	2.542517	5.92108	4.592108	4.592108	0	
0.297	4.589559	2.548412	5.895597	4.589559	4.589559	0	
0.298	4.587005	2.554282	5.870051	4.587005	4.587005	0	
0.299	4.584445	2.560127	5.844453	4.584445	4.584445	0	
0.3	4.581879	2.565946	5.818793	4.581879	4.581879	0	
0.301	4.579308	2.571739	5.793073	4.579308	4.579308	0	
0.302	4.57673	2.577506	5.767304	4.57673	4.57673	0	
0.303	4.574147	2.583247	5.741474	4.574147	4.574147	0	
0.304	4.571558	2.588963	5.715581	4.571558	4.571558	0	
0.305	4.568963	2.594653	5.689637	4.568963	4.568963	0	
0.306	4.566363	2.600316	5.663631	4.566363	4.566363	0	
0.307	4.563757	2.605954	5.637578	4.563757	4.563757	0	
0.308	4.561146	2.611565	5.611462	4.561146	4.561146	0	
0.309	4.558529	2.617151	5.585289	4.558529	4.558529	0	
0.31	4.555906	2.62271	5.559065	4.555906	4.555906	0	
0.311	4.553278	2.628242	5.532779	4.553278	4.553278	0	
0.312	4.550644	2.633749	5.506445	4.550644	4.550644	0	
0.313	4.548005	2.639229	5.480051	4.548005	4.548005	0	
0.314	4.54536	2.644682	5.453603	4.54536	4.54536	0	
0.315	4.54271	2.65011	5.427104	4.54271	4.54271	0	
0.316	4.540055	2.65551	5.400546	4.540055	4.540055	0	
0.317	4.537394	2.660884	5.373943	4.537394	4.537394	0	
0.318	4.534728	2.666231	5.347282	4.534728	4.534728	0	
0.319	4.532056	2.671552	5.320568	4.532056	4.532056	0	
0.32	4.529379	2.676846	5.293798	4.529379	4.529379	0	
0.321	4.526697	2.682113	5.266976	4.526697	4.526697	0	
0.322	4.52401	2.687353	5.240101	4.52401	4.52401	0	
0.323	4.521318	2.692566	5.21318	4.521318	4.521318	0	
0.324	4.51862	2.697752	5.186205	4.51862	4.51862	0	
0.325	4.515917	2.702912	5.159174	4.515917	4.515917	0	
0.326	4.513209	2.708044	5.132096	4.513209	4.513209	0	
0.327	4.510496	2.713149	5.104966	4.510496	4.510496	0	
0.328	4.507778	2.718227	5.077783	4.507778	4.507778	0	
0.329	4.505054	2.723277	5.050548	4.505054	4.505054	0	
0.33	4.502326	2.728301	5.023265	4.502326	4.502326	0	
0.331	4.499593	2.733296	4.99593	4.499593	4.499593	0	
0.332	4.496855	2.738265	4.968554	4.496855	4.496855	0	
0.333	4.494112	2.743206	4.941124	4.494112	4.494112	0	
0.334	4.491364	2.74812	4.913642	4.491364	4.491364	0	
0.335	4.488611	2.753006	4.886113	4.488611	4.488611	0	
0.336	4.485853	2.757864	4.858532	4.485853	4.485853	0	
0.337	4.48309	2.762695	4.830908	4.48309	4.48309	0	
0.338	4.480323	2.767498	4.803233	4.480323	4.480323	0	
0.339	4.477551	2.772274	4.775509	4.477551	4.477551	0	
0.34	4.474774	2.777022	4.747738	4.474774	4.474774	0	
0.341	4.471992	2.781742	4.719924	4.471992	4.471992	0	
0.342	4.469206	2.786434	4.692059	4.469206	4.469206	0	
0.343	4.466414	2.791098	4.664151	4.466414	4.466414	0	
0.344	4.463619	2.795734	4.63619	4.463619	4.463619	0	
0.345	4.460819	2.800342	4.608188	4.460819	4.460819	0	
0.346	4.458014	2.804923	4.580146	4.458014	4.458014	0	
0.347	4.455204	2.809475	4.552049	4.455204	4.455204	0	
0.348	4.452391	2.813999	4.523908	4.452391	4.452391	0	
0.349	4.449572	2.818494	4.495725	4.449572	4.449572	0	
0.35	4.446749	2.822962	4.467495	4.446749	4.446749	0	
0.351	4.443922	2.827401	4.439222	4.443922	4.443922	0	
0.352	4.44109	2.831812	4.410906	4.44109	4.44109	0	
0.353	4.438254	2.836195	4.382543	4.438254	4.438254	0	
0.354	4.435413	2.840549	4.354136	4.435413	4.435413	0	
0.355	4.432569	2.844874	4.325688	4.432569	4.432569	0	
0.356	4.42972	2.849172	4.297197	4.42972	4.42972	0	
0.357	4.426866	2.85344	4.268669	4.426866	4.426866	0	
0.358	4.424008	2.85768	4.240087	4.424008	4.424008	0	
0.359	4.421147	2.861892	4.211468	4.421147	4.421147	0	
0.36	4.418281	2.866075	4.182816	4.418281	4.418281	0	
0.361	4.415411	2.870229	4.154112	4.415411	4.415411	0	
0.362	4.412537	2.874354	4.12537	4.412537	4.412537	0	
0.363	4.409658	2.878451	4.096585	4.409658	4.409658	0	
0.364	4.406775	2.882518	4.067758	4.406775	4.406775	0	
0.365	4.403889	2.886557	4.038892	4.403889	4.403889	0	
0.366	4.400998	2.890567	4.009984	4.400998	4.400998	0	
0.367	4.398104	2.894548	3.981039	4.398104	4.398104	0	
0.368	4.395205	2.8985	3.952055	4.395205	4.395205	0	
0.369	4.392303	2.902423	3.923034	4.392303	4.392303	0	
0.37	4.389397	2.906317	3.89397	4.389397	4.389397	0	
0.371	4.386487	2.910182	3.864868	4.386487	4.386487	0	
0.372	4.383573	2.914017	3.835728	4.383573	4.383573	0	
0.373	4.380655	2.917824	3.806551	4.380655	4.380655	0	
0.374	4.377734	2.921601	3.77734	4.377734	4.377734	0	
0.375	4.374808	2.925349	3.748087	4.374808	4.374808	0	
0.376	4.37188	2.929068	3.718796	4.37188	4.37188	0	
0.377	4.368947	2.932758	3.689472	4.368947	4.368947	0	
0.378	4.36601	2.936418	3.660105	4.36601	4.36601	0	
0.379	4.36307	2.940049	3.630705	4.36307	4.36307	0	
0.38	4.360126	2.94365	3.601267	4.360126	4.360126	0	
0.381	4.357179	2.947222	3.571796	4.357179	4.357179	0	
0.382	4.354228	2.950764	3.542287	4.354228	4.354228	0	
0.383	4.351274	2.954277	3.512745	4.351274	4.351274	0	
0.384	4.348317	2.95776	3.48317	4.348317	4.348317	0	
0.385	4.345355	2.961213	3.453558	4.345355	4.345355	0	
0.386	4.342391	2.964637	3.423907	4.342391	4.342391	0	
0.387	4.339423	2.968031	3.394229	4.339423	4.339423	0	
0.388	4.336452	2.971396	3.364521	4.336452	4.336452	0	
0.389	4.333477	2.974731	3.334776	4.333477	4.333477	0	
0.39	4.3305	2.978036	3.304998	4.3305	4.3305	0	
0.391	4.327518	2.981311	3.275187	4.327518	4.327518	0	
0.392	4.324533	2.984556	3.245338	4.324533	4.324533	0	
0.393	4.321546	2.987772	3.21546	4.321546	4.321546	0	
0.394	4.318555	2.990957	3.18555	4.318555	4.318555	0	
0.395	4.315561	2.994113	3.155611	4.315561	4.315561	0	
0.396	4.312563	2.997239	3.125639	4.312563	4.312563	0	
0.397	4.309563	3.000334	3.095634	4.309563	4.309563	0	
0.398	4.30656	3.0034	3.065601	4.30656	4.30656	0	
0.399	4.303553	3.006435	3.035534	4.303553	4.303553	0	
0.4	4.300544	3.009441	3.00544	4.300544	4.300544	0	
0.401	4.297532	3.012416	2.975322	4.297532	4.297532	0	
0.402	4.294517	3.015361	2.945171	4.294517	4.294517	0	
0.403	4.291499	3.018276	2.914986	4.291499	4.291499	0	
0.404	4.288477	3.021161	2.884778	4.288477	4.288477	0	
0.405	4.285454	3.024016	2.854537	4.285454	4.285454	0	
0.406	4.282427	3.02684	2.824273	4.282427	4.282427	0	
0.407	4.279397	3.029634	2.793975	4.279397	4.279397	0	
0.408	4.276365	3.032398	2.763649	4.276365	4.276365	0	
0.409	4.27333	3.035131	2.7333	4.27333	4.27333	0	
0.41	4.270292	3.037834	2.702922	4.270292	4.270292	0	
0.411	4.267251	3.040506	2.672516	4.267251	4.267251	0	
0.412	4.264208	3.043149	2.642082	4.264208	4.264208	0	
0.413	4.261163	3.04576	2.611624	4.261163	4.261163	0	
0.414	4.258114	3.048341	2.581147	4.258114	4.258114	0	
0.415	4.255064	3.050892	2.550638	4.255064	4.255064	0	
0.416	4.25201	3.053412	2.520105	4.25201	4.25201	0	
0.417	4.248954	3.055902	2.489548	4.248954	4.248954	0	
0.418	4.245896	3.058361	2.458963	4.245896	4.245896	0	
0.419	4.242836	3.060789	2.428354	4.242836	4.242836	0	
0.42	4.239772	3.063187	2.397727	4.239772	4.239772	0	
0.421	4.236707	3.065554	2.367071	4.236707	4.236707	0	
0.422	4.233639	3.06789	2.336392	4.233639	4.233639	0	
0.423	4.230569	3.070196	2.305689	4.230569	4.230569	0	
0.424	4.227496	3.072471	2.274967	4.227496	4.227496	0	
0.425	4.224422	3.074715	2.244218	4.224422	4.224422	0	
0.426	4.221345	3.076929	2.213449	4.221345	4.221345	0	
0.427	4.218266	3.079111	2.182662	4.218266	4.218266	0	
0.428	4.215185	3.081263	2.151851	4.215185	4.215185	0	
