Time	A	B	
1.6822	0.3465196	0.1201226	
1.6848	0.3509266	0.1146831	
1.6874	0.3481049	0.1152357	
1.69	0.3517927	0.1180639	
1.6926	0.3509721	0.1218067	
1.6952	0.3508913	0.1223882	
1.6978	0.3492471	0.1236905	
1.7004	0.3510979	0.1260325	
1.703	0.3505385	0.1266283	
1.7056	0.34986	0.1212299	
1.7082	0.3485216	0.1175379	
1.7108	0.3459334	0.1189591	
1.7134	0.3487125	0.1228556	
1.716	0.3461703	0.125784	
1.7186	0.3442264	0.1223618	
1.7212	0.3465645	0.1238817	
1.7238	0.3477313	0.1212201	
1.7264	0.3463911	0.1215799	
1.729	0.3454671	0.1175224	
1.7316	0.3453116	0.1207536	
1.7342	0.3486802	0.1160959	
1.7368	0.3497818	0.1173384	
1.7394	0.3518467	0.1127492	
1.742	0.350242	0.1158914	
1.7446	0.3450525	0.1200767	
1.7472	0.345427	0.1163805	
1.7498	0.3454168	0.1197695	
1.7524	0.3417875	0.1202529	
1.755	0.3403789	0.123138	
1.7576	0.3424693	0.1190738	
1.7602	0.3383413	0.1187119	
1.7628	0.3428725	0.1207058	
1.7654	0.3387429	0.1152009	
1.768	0.3378421	0.1131755	
1.7706	0.3330901	0.1171976	
1.7732	0.3290825	0.1146738	
1.7758	0.3252819	0.1161671	
1.7784	0.329582	0.1139866	
1.781	0.3286721	0.1105187	
1.7836	0.3270957	0.1101013	
1.7862	0.3269896	0.1147501	
1.7888	0.3281367	0.1119576	
1.7914	0.3321341	0.1123263	
1.794	0.3271484	0.1077754	
1.7966	0.327267	0.1095227	
1.7992	0.3308744	0.1098884	
1.8018	0.3307858	0.1073436	
1.8044	0.3260445	0.1098765	
1.807	0.3249145	0.1093312	
1.8096	0.3272054	0.1119876	
1.8122	0.3269261	0.1130146	
1.8148	0.3247958	0.117665	
1.8174	0.3284901	0.1204984	
1.82	0.3292663	0.1167838	
1.8226	0.3292616	0.1199945	
1.8252	0.326829	0.1240728	
1.8278	0.321374	0.1241328	
1.8304	0.3197771	0.1259479	
1.833	0.314401	0.1298121	
1.8356	0.3127946	0.1312165	
1.8382	0.308073	0.1348862	
1.8408	0.306638	0.1319905	
1.8434	0.3097134	0.1350642	
1.846	0.3076074	0.1370432	
1.8486	0.3094468	0.1359986	
1.8512	0.3127813	0.1342103	
1.8538	0.3120332	0.1307146	
1.8564	0.3146775	0.1272141	
1.859	0.3132361	0.1245145	
1.8616	0.3170646	0.1266896	
1.8642	0.320708	0.1305287	
