Time	MV	Muscle2	Len	
0.07979999	-0.07427122	4.734462	-0.04831363	
0.08	-0.07434463	4.734462	-0.04831364	
0.0802	-0.07441781	4.734462	-0.04831365	
0.0804	-0.0744908	4.734462	-0.04831366	
0.0806	-0.07456358	4.734462	-0.04831367	
0.0808	-0.07463615	4.73377	-0.04831368	
0.081	-0.07470851	4.73377	-0.04831369	
0.0812	-0.07478067	4.73377	-0.0483137	
0.0814	-0.07485262	4.73377	-0.04831371	
0.0816	-0.07492437	4.73377	-0.04831371	
0.0818	-0.07499591	4.73152	-0.04831372	
0.08199999	-0.07506724	4.73152	-0.04831373	
0.0822	-0.07513838	4.73152	-0.04831374	
0.0824	-0.07520931	4.73152	-0.04831374	
0.0826	-0.07528005	4.73152	-0.04831375	
0.0828	-0.07535057	4.727765	-0.04831376	
0.083	-0.0754209	4.727765	-0.04831376	
0.0832	-0.07549102	4.727765	-0.04831377	
0.0834	-0.07556094	4.727765	-0.04831377	
0.0836	-0.07563067	4.727765	-0.04831377	
0.0838	-0.07570019	4.722668	-0.04831378	
0.084	-0.07576952	4.722668	-0.04831378	
0.08419999	-0.07583866	4.722668	-0.04831379	
0.0844	-0.07590759	4.722668	-0.04831379	
0.0846	-0.07597632	4.722668	-0.04831379	
0.0848	-0.07604486	4.716386	-0.0483138	
0.085	-0.0761132	4.716386	-0.0483138	
0.0852	-0.07618136	4.716386	-0.0483138	
0.0854	-0.07624932	4.716386	-0.0483138	
0.0856	-0.07631708	4.716386	-0.0483138	
0.0858	-0.07638464	4.708949	-0.0483138	
0.086	-0.07645202	4.708949	-0.0483138	
0.0862	-0.07651921	4.708949	-0.0483138	
0.08639999	-0.07658619	4.708949	-0.0483138	
0.0866	-0.076653	4.708949	-0.0483138	
0.08679999	-0.07671961	4.700379	-0.0483138	
0.087	-0.07678603	4.700379	-0.0483138	
0.0872	-0.07685226	4.700379	-0.0483138	
0.0874	-0.0769183	4.700379	-0.0483138	
0.0876	-0.07698416	4.700379	-0.0483138	
0.0878	-0.07704983	4.690813	-0.0483138	
0.088	-0.07711531	4.690813	-0.0483138	
0.0882	-0.0771806	4.690813	-0.0483138	
0.0884	-0.07724571	4.690813	-0.0483138	
0.08859999	-0.07731063	4.690813	-0.0483138	
0.0888	-0.07737537	4.680382	-0.0483138	
0.08899999	-0.07743992	4.680382	-0.04831379	
0.0892	-0.07750428	4.680382	-0.04831379	
0.0894	-0.07756846	4.680382	-0.04831379	
0.0896	-0.07763246	4.680382	-0.04831378	
0.0898	-0.07769627	4.669093	-0.04831378	
0.09	-0.07775991	4.669093	-0.04831377	
0.0902	-0.07782336	4.669093	-0.04831377	
0.0904	-0.07788663	4.669093	-0.04831377	
0.0906	-0.07794973	4.669093	-0.04831376	
0.09079999	-0.07801264	4.656946	-0.04831376	
0.091	-0.07807536	4.656946	-0.04831376	
0.09119999	-0.07813792	4.656946	-0.04831375	
0.0914	-0.07820029	4.656946	-0.04831375	
0.0916	-0.07826248	4.656946	-0.04831374	
0.0918	-0.0783245	4.644059	-0.04831374	
