Time	A	Length	MV	Tension	
6.4332	0.6242387	0.4627594	-0.08709315	0.1722403	
6.4334	0.6242387	0.4627594	-0.08709326	0.1722403	
6.4336	0.6242387	0.4627594	-0.08709336	0.1722403	
6.4338	0.6245128	0.4628212	-0.08709347	0.1819546	
6.434	0.6245128	0.4628212	-0.08709357	0.1819546	
6.4342	0.6245128	0.4628212	-0.08709367	0.1819546	
6.4344	0.6245128	0.4628212	-0.08709378	0.1819546	
6.4346	0.6245128	0.4628212	-0.08709388	0.1819546	
6.4348	0.6247876	0.4628831	-0.08709398	0.1917079	
6.435	0.6247876	0.4628831	-0.08709408	0.1917079	
6.4352	0.6247876	0.4628831	-0.08709419	0.1917079	
6.4354	0.6247876	0.4628831	-0.08709429	0.1917079	
6.4356	0.6247876	0.4628831	-0.08709439	0.1917079	
6.4358	0.6250615	0.4629448	-0.08709449	0.2013209	
6.436	0.6250615	0.4629448	-0.0870946	0.2013209	
6.4362	0.6250615	0.4629448	-0.08709469	0.2013209	
6.4364	0.6250615	0.4629448	-0.0870948	0.2013209	
