Time	Hinge	Srt	Mrt	Mlt	Slt	Srl	Mrl	Mll	Sll	Left	Right	
0.188	-0.08624694	0	2.661324	0.759802	0	0	1.868786	3.529569	0	0.85029	0.85029	
0.189	-0.0875928	0	2.657788	0.7544729	0	0	1.866759	3.528343	0	0.8532841	0.8532841	
0.19	-0.08894984	0	2.65403	0.7490756	0	0	1.864716	3.527107	0	0.8532841	0.8532841	
0.191	-0.09031802	0	2.650059	0.7436131	0	0	1.862656	3.525858	0	0.8562185	0.8562185	
0.192	-0.09169733	0	2.645866	0.7380742	0	0	1.86058	3.524598	0	0.8562185	0.8562185	
0.193	-0.09308773	0	2.641462	0.7324714	0	0	1.858488	3.523326	0	0.8590941	0.8590941	
0.194	-0.09448921	0	2.63684	0.7268053	0	0	1.856379	3.522043	0	0.8590941	0.8590941	
0.195	-0.09590173	0	2.632008	0.7210695	0	0	1.854255	3.520748	0	0.8619123	0.8619123	
0.196	-0.09732524	0	2.626959	0.7152715	0	0	1.852114	3.519442	0	0.8619123	0.8619123	
0.197	-0.09875976	0	2.621699	0.7094002	0	0	1.849958	3.518124	0	0.864674	0.864674	
0.198	-0.1002052	0	2.616225	0.7034681	0	0	1.847785	3.516794	0	0.864674	0.864674	
0.199	-0.1016616	0	2.610543	0.6974759	0	0	1.845597	3.515453	0	0.8673805	0.8673805	
0.2	-0.1031289	0	2.604649	0.691412	0	0	1.843392	3.5141	0	0.8673805	0.8673805	
0.201	-0.104607	0	2.598548	0.6852891	0	0	1.841173	3.512736	0	0.8700329	0.8700329	
0.202	-0.106096	0	2.592235	0.6791006	0	0	1.838937	3.511359	0	0.8700329	0.8700329	
0.203	-0.1075958	0	2.585716	0.6728519	0	0	1.836686	3.509971	0	0.8726323	0.8726323	
0.204	-0.1091063	0	2.578988	0.6665387	0	0	1.834419	3.508572	0	0.8726323	0.8726323	
0.205	-0.1106275	0	2.572054	0.6601663	0	0	1.832137	3.50716	0	0.8751796	0.8751796	
0.206	-0.1121594	0	2.564911	0.6537355	0	0	1.829839	3.505738	0	0.8751796	0.8751796	
0.207	-0.1137019	0	2.557566	0.6472418	0	0	1.827526	3.504303	0	0.877676	0.877676	
0.208	-0.1152551	0	2.550013	0.6406906	0	0	1.825198	3.502857	0	0.877676	0.877676	
0.209	-0.1168188	0	2.542259	0.6340777	0	0	1.822854	3.501399	0	0.8801225	0.8801225	
0.21	-0.118393	0	2.534297	0.6274061	0	0	1.820496	3.49993	0	0.8801225	0.8801225	
0.211	-0.1199777	0	2.526136	0.6206809	0	0	1.818122	3.498449	0	0.88252	0.88252	
0.212	-0.1215728	0	2.517768	0.6138932	0	0	1.815734	3.496956	0	0.88252	0.88252	
0.213	-0.1231783	0	2.509202	0.6070507	0	0	1.813331	3.495451	0	0.8848696	0.8848696	
0.214	-0.1247941	0	2.500432	0.6001515	0	0	1.810913	3.493935	0	0.8848696	0.8848696	
0.215	-0.1264203	0	2.491462	0.593196	0	0	1.80848	3.492408	0	0.8871722	0.8871722	
0.216	-0.1280567	0	2.482292	0.5861872	0	0	1.806033	3.490868	0	0.8871722	0.8871722	
0.217	-0.1297033	0	2.47292	0.5791184	0	0	1.803571	3.489317	0	0.8894288	0.8894288	
0.218	-0.1313601	0	2.463349	0.5719997	0	0	1.801095	3.487754	0	0.8894288	0.8894288	
0.219	-0.1330269	0	2.45358	0.5648291	0	0	1.798605	3.48618	0	0.8916402	0.8916402	
0.22	-0.1347038	0	2.443611	0.5576023	0	0	1.7961	3.484594	0	0.8916402	0.8916402	
0.221	-0.1363907	0	2.433447	0.5503246	0	0	1.793582	3.482997	0	0.8938074	0.8938074	
0.222	-0.1380876	0	2.423082	0.5429965	0	0	1.791049	3.481388	0	0.8938074	0.8938074	
0.223	-0.1397944	0	2.412521	0.5356159	0	0	1.788503	3.479768	0	0.8959312	0.8959312	
0.224	-0.1415109	0	2.401762	0.5281809	0	0	1.785943	3.478135	0	0.8959312	0.8959312	
0.225	-0.1432374	0	2.390808	0.5207016	0	0	1.783369	3.476492	0	0.8980126	0.8980126	
0.226	-0.1449735	0	2.379657	0.5131713	0	0	1.780782	3.474837	0	0.8980126	0.8980126	
0.227	-0.1467193	0	2.368311	0.505595	0	0	1.778181	3.47317	0	0.9000524	0.9000524	
0.228	-0.1484747	0	2.35677	0.4979637	0	0	1.775567	3.471492	0	0.9000524	0.9000524	
0.229	-0.1502396	0	2.345036	0.4902922	0	0	1.772939	3.469803	0	0.9020513	0.9020513	
0.23	-0.1520141	0	2.333106	0.4825712	0	0	1.770299	3.468102	0	0.9020513	0.9020513	
0.231	-0.153798	0	2.320981	0.4748012	0	0	1.767645	3.466389	0	0.9040103	0.9040103	
0.232	-0.1555913	0	2.308664	0.4669874	0	0	1.764979	3.464665	0	0.9040103	0.9040103	
0.233	-0.1573938	0	2.296153	0.4591253	0	0	1.7623	3.46293	0	0.9059301	0.9059301	
0.234	-0.1592057	0	2.283449	0.451225	0	0	1.759609	3.461184	0	0.9059301	0.9059301	
0.235	-0.1610267	0	2.270552	0.4432772	0	0	1.756904	3.459426	0	0.9078115	0.9078115	
0.236	-0.1628569	0	2.257464	0.4352846	0	0	1.754188	3.457657	0	0.9078115	0.9078115	
0.237	-0.1646961	0	2.244185	0.4272526	0	0	1.751459	3.455876	0	0.9096553	0.9096553	
0.238	-0.1665443	0	2.230712	0.4191789	0	0	1.748718	3.454085	0	0.9096553	0.9096553	
0.239	-0.1684014	0	2.21705	0.4110639	0	0	1.745965	3.452282	0	0.9114622	0.9114622	
0.24	-0.1702673	0	2.203194	0.402908	0	0	1.7432	3.450468	0	0.9114622	0.9114622	
0.241	-0.1721421	0	2.189151	0.3947091	0	0	1.740424	3.448643	0	0.913233	0.913233	
0.242	-0.1740256	0	2.174917	0.3864748	0	0	1.737636	3.446807	0	0.913233	0.913233	
0.243	-0.1759177	0	2.160492	0.3782005	0	0	1.734836	3.44496	0	0.9149683	0.9149683	
0.244	-0.1778184	0	2.145879	0.3698865	0	0	1.732025	3.443101	0	0.9149683	0.9149683	
0.245	-0.1797276	0	2.131075	0.3615357	0	0	1.729203	3.441232	0	0.916669	0.916669	
0.246	-0.1816453	0	2.116083	0.3531483	0	0	1.72637	3.439351	0	0.916669	0.916669	
0.247	-0.1835713	0	2.100904	0.3447269	0	0	1.723526	3.43746	0	0.9183356	0.9183356	
0.248	-0.1855056	0	2.085534	0.3362694	0	0	1.720671	3.435558	0	0.9183356	0.9183356	
0.249	-0.1874481	0	2.069977	0.3277786	0	0	1.717806	3.433645	0	0.919969	0.919969	
0.25	-0.1893987	0	2.054231	0.3192522	0	0	1.71493	3.431721	0	0.919969	0.919969	
0.251	-0.1913574	0	2.038301	0.3106906	0	0	1.712044	3.429787	0	0.9215695	0.9215695	
0.252	-0.193324	0	2.022182	0.3021013	0	0	1.709148	3.427842	0	0.9215695	0.9215695	
0.253	-0.1952986	0	2.005878	0.2934748	0	0	1.706242	3.425885	0	0.9231382	0.9231382	
0.254	-0.197281	0	1.989383	0.284821	0	0	1.703326	3.423919	0	0.9231382	0.9231382	
0.255	-0.1992711	0	1.972705	0.2761377	0	0	1.7004	3.421942	0	0.9246754	0.9246754	
0.256	-0.2012689	0	1.955842	0.2674204	0	0	1.697464	3.419954	0	0.9246754	0.9246754	
0.257	-0.2032743	0	1.938793	0.2586765	0	0	1.69452	3.417956	0	0.9261819	0.9261819	
