Time	Hinge	Fy	Tz	
0.628	-0.00779027	-1.937151E-06	0.3999881	
0.629	-0.007912952	-1.844019E-06	0.3999878	
0.6300001	-0.008036592	-1.758337E-06	0.3999874	
0.631	-0.008161191	-1.676381E-06	0.399987	
0.632	-0.008286747	-1.590699E-06	0.3999866	
0.633	-0.008413264	-1.516193E-06	0.3999862	
0.634	-0.008540737	-1.445413E-06	0.3999858	
0.6350001	-0.00866917	-1.378357E-06	0.3999853	
0.636	-0.008798561	-1.307577E-06	0.3999849	
0.637	-0.00892891	-1.247972E-06	0.3999844	
0.638	-0.009060217	-1.192093E-06	0.3999839	
0.6390001	-0.009192483	-1.132488E-06	0.3999835	
0.64	-0.009325707	-1.076609E-06	0.399983	
0.641	-0.009459889	-1.02818E-06	0.3999825	
0.642	-0.009595031	-9.760261E-07	0.399982	
0.643	-0.009731132	-9.313226E-07	0.3999815	
0.6440001	-0.00986819	-8.866191E-07	0.3999809	
0.645	-0.01000621	-8.456409E-07	0.3999804	
0.646	-0.01014518	-8.046627E-07	0.3999798	
0.647	-0.01028512	-7.636845E-07	0.3999792	
0.648	-0.01042601	-7.301569E-07	0.3999786	
0.649	-0.01056786	-6.92904E-07	0.3999781	
0.65	-0.01071067	-6.631017E-07	0.3999775	
0.651	-0.01085444	-6.332994E-07	0.3999769	
0.652	-0.01099916	-6.03497E-07	0.3999762	
0.6530001	-0.01114485	-5.699694E-07	0.3999756	
0.654	-0.01129149	-5.438924E-07	0.3999749	
0.655	-0.01143909	-5.140901E-07	0.3999742	
0.656	-0.01158765	-4.954636E-07	0.3999736	
0.657	-0.01173717	-4.693866E-07	0.3999729	
0.6580001	-0.01188764	-4.507601E-07	0.3999722	
0.659	-0.01203908	-4.209578E-07	0.3999715	
0.66	-0.01219147	-4.097819E-07	0.3999707	
0.661	-0.01234482	-3.874302E-07	0.3999699	
0.6620001	-0.01249913	-3.650784E-07	0.3999692	
0.663	-0.0126544	-3.539026E-07	0.3999684	
0.664	-0.01281063	-3.315508E-07	0.3999676	
0.665	-0.01296781	-3.20375E-07	0.3999668	
0.666	-0.01312596	-3.017485E-07	0.399966	
0.6670001	-0.01328506	-2.905726E-07	0.3999651	
0.668	-0.01344512	-2.756715E-07	0.3999643	
0.669	-0.01360614	-2.607703E-07	0.3999634	
0.67	-0.01376811	-2.495944E-07	0.3999625	
0.671	-0.01393105	-2.384186E-07	0.3999617	
0.6720001	-0.01409494	-2.272427E-07	0.3999607	
0.673	-0.01425979	-2.123415E-07	0.3999598	
0.674	-0.0144256	-2.04891E-07	0.3999588	
0.675	-0.01459237	-1.974404E-07	0.3999579	
0.6760001	-0.0147601	-1.825392E-07	0.3999569	
0.677	-0.01492879	-1.788139E-07	0.3999559	
0.678	-0.01509843	-1.713634E-07	0.3999549	
0.679	-0.01526903	-1.564622E-07	0.3999538	
