Time	1Vm	2Vm	
0.0906	-0.06175352	-0.0595357	
0.09079999	-0.06168822	-0.05935988	
0.091	-0.06168353	-0.05916577	
0.09119999	-0.06180064	-0.05906672	
0.0914	-0.06168342	-0.0590414	
0.0916	-0.0618056	-0.05913223	
0.0918	-0.06199716	-0.05920101	
0.092	-0.06220088	-0.05929797	
0.0922	-0.06253743	-0.05946564	
0.0924	-0.06277738	-0.05954809	
0.0926	-0.06306247	-0.05944854	
0.0928	-0.0630908	-0.05923128	
0.09299999	-0.06323715	-0.05936834	
0.0932	-0.06339872	-0.05949701	
0.09339999	-0.06359492	-0.05958466	
0.0936	-0.06370001	-0.05941059	
0.0938	-0.06353053	-0.05944265	
0.094	-0.06372504	-0.05943133	
0.0942	-0.06372587	-0.05952127	
0.0944	-0.06378604	-0.05943655	
0.0946	-0.0638101	-0.0593835	
0.0948	-0.06368617	-0.05942193	
0.095	-0.06368266	-0.05922705	
0.09519999	-0.06376965	-0.05927362	
0.0954	-0.06382398	-0.05940868	
0.09559999	-0.06392888	-0.05921989	
0.0958	-0.06398622	-0.05937426	
0.096	-0.06413548	-0.05913168	
0.0962	-0.06408129	-0.05900539	
0.0964	-0.06411736	-0.05888201	
0.0966	-0.06385696	-0.05890738	
0.0968	-0.06381107	-0.05887453	
0.097	-0.06365091	-0.05901	
0.0972	-0.06370891	-0.05891563	
0.09739999	-0.06384742	-0.05881941	
0.0976	-0.06365792	-0.0587518	
0.09779999	-0.0635168	-0.0588624	
0.098	-0.06352778	-0.05871512	
0.0982	-0.06341575	-0.05849799	
0.0984	-0.06323855	-0.05832264	
0.0986	-0.06332906	-0.05819577	
0.0988	-0.06340044	-0.05825903	
0.099	-0.06352624	-0.05838867	
0.0992	-0.06365345	-0.05857198	
0.0994	-0.06364875	-0.05834991	
0.09959999	-0.06343082	-0.05843425	
0.0998	-0.06333746	-0.05830362	
0.09999999	-0.06341258	-0.05820185	
0.1002	-0.06352188	-0.05828995	
0.1004	-0.06343861	-0.05808511	
0.1006	-0.06324258	-0.05823271	
0.1008	-0.06316313	-0.0582961	
0.101	-0.06323738	-0.05844578	
0.1012	-0.06323458	-0.05835186	
0.1014	-0.06300582	-0.05846294	
0.1016	-0.06286553	-0.05837848	
0.1018	-0.06268997	-0.05829689	
0.102	-0.06270648	-0.05844809	
0.1022	-0.06287942	-0.05835854	
0.1024	-0.06291614	-0.05835023	
0.1026	-0.06272154	-0.0581502	
0.1028	-0.06291234	-0.05828607	
0.103	-0.06281707	-0.05836405	
0.1032	-0.06291146	-0.05818409	
0.1034	-0.06279042	-0.05825662	
0.1036	-0.06287667	-0.05839577	
0.1038	-0.06269812	-0.05843196	
0.104	-0.06269598	-0.05849764	
0.1042	-0.06277032	-0.05831154	
0.1044	-0.06275702	-0.05826354	
0.1046	-0.06291653	-0.05808931	
0.1048	-0.0629707	-0.05804817	
0.105	-0.06278476	-0.05815286	
0.1052	-0.06315141	-0.05826284	
0.1054	-0.06346793	-0.0581365	
0.1056	-0.06377015	-0.05814384	
0.1058	-0.06400313	-0.05821211	
0.106	-0.06413162	-0.05804179	
0.1062	-0.06435753	-0.05813188	
0.1064	-0.06453198	-0.05795226	
0.1066	-0.06441179	-0.05773927	
0.1068	-0.06426977	-0.05787117	
0.107	-0.0643058	-0.05773372	
0.1072	-0.06447195	-0.05754796	
0.1074	-0.0645043	-0.05755635	
0.1076	-0.06469037	-0.05738815	
0.1078	-0.06448106	-0.05731164	
0.108	-0.06444523	-0.05749203	
0.1082	-0.06436345	-0.05730769	
0.1084	-0.06455429	-0.05726155	
0.1086	-0.06435983	-0.05744017	
0.1088	-0.06419915	-0.05731669	
0.109	-0.06422358	-0.05744315	
0.1092	-0.06412214	-0.05760217	
0.1094	-0.06394183	-0.05765395	
0.1096	-0.06383752	-0.05747212	
0.1098	-0.06406946	-0.057298	
0.11	-0.06413927	-0.05747611	
0.1102	-0.06429478	-0.05726962	
0.1104	-0.06435245	-0.05708629	
0.1106	-0.06440332	-0.05702604	
0.1108	-0.06440761	-0.05686422	
0.111	-0.06416266	-0.05685487	
0.1112	-0.06421358	-0.05681493	
0.1114	-0.06434779	-0.0567254	
0.1116	-0.06443751	-0.0566496	
0.1118	-0.06437384	-0.05660698	
0.112	-0.06432061	-0.05662158	
0.1122	-0.06434354	-0.05647239	
0.1124	-0.06409208	-0.05660794	
0.1126	-0.06386768	-0.05651436	
0.1128	-0.06373334	-0.05638432	
0.113	-0.06389508	-0.05636903	
0.1132	-0.06395333	-0.05628714	
0.1134	-0.06387779	-0.05635019	
0.1136	-0.06367695	-0.05633777	
0.1138	-0.06370118	-0.05649593	
0.114	-0.06388056	-0.05639595	
0.1142	-0.06398345	-0.05631904	
0.1144	-0.06382845	-0.05634338	
0.1146	-0.06378001	-0.05622886	
0.1148	-0.06388709	-0.05608483	
0.115	-0.06367838	-0.05617481	
0.1152	-0.06358637	-0.05632878	
0.1154	-0.06342483	-0.05643695	
0.1156	-0.06339872	-0.05655813	
0.1158	-0.06336104	-0.05655959	
0.116	-0.06346305	-0.05655948	
0.1162	-0.06345792	-0.05669298	
0.1164	-0.06338117	-0.0567345	
0.1166	-0.06349606	-0.0566454	
0.1168	-0.06356906	-0.05661851	
0.117	-0.06369598	-0.05659126	
0.1172	-0.06358629	-0.05659696	
0.1174	-0.0635518	-0.05661346	
0.1176	-0.06334634	-0.0564521	
0.1178	-0.06313553	-0.05661631	
0.118	-0.06322389	-0.05676724	
0.1182	-0.06320595	-0.05673978	
0.1184	-0.06323148	-0.05674509	
0.1186	-0.06305085	-0.05685838	
0.1188	-0.06311996	-0.0566507	
0.119	-0.06350941	-0.05677205	
0.1192	-0.06366725	-0.05655099	
0.1194	-0.06382487	-0.05665587	
0.1196	-0.06399064	-0.05675963	
0.1198	-0.06427104	-0.05691954	
0.12	-0.06433364	-0.05686379	
0.1202	-0.06428408	-0.05690442	
0.1204	-0.06448913	-0.05693868	
0.1206	-0.06439228	-0.05679324	
0.1208	-0.0643116	-0.05685545	
0.121	-0.0642538	-0.05673024	
0.1212	-0.06423766	-0.05666426	
0.1214	-0.06444957	-0.05657494	
0.1216	-0.06443442	-0.0564629	
0.1218	-0.06460778	-0.05642771	
0.122	-0.06443515	-0.05656005	
0.1222	-0.06459593	-0.05638952	
0.1224	-0.06441561	-0.05630245	
0.1226	-0.06430553	-0.0563845	
0.1228	-0.06433977	-0.05650119	
0.123	-0.06421667	-0.056511	
0.1232	-0.06409863	-0.05665198	
0.1234	-0.06412787	-0.05650134	
0.1236	-0.06417338	-0.05663988	
