Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.269	-3.208793	-6.221971	0.0006534809	0.476188	
0.27	-3.22112	-6.215602	0.0006559911	0.4781703	
0.271	-3.233433	-6.20921	0.0006584987	0.4801526	
0.272	-3.245733	-6.202794	0.0006610037	0.4821347	
0.273	-3.258019	-6.196353	0.0006635059	0.4841168	
0.274	-3.270293	-6.189889	0.0006660054	0.4860989	
0.275	-3.282553	-6.1834	0.0006685023	0.4880808	
0.276	-3.2948	-6.176888	0.0006709964	0.4900627	
0.277	-3.307034	-6.170351	0.0006734878	0.4920445	
0.278	-3.319254	-6.16379	0.0006759765	0.4940262	
0.279	-3.33146	-6.157205	0.0006784624	0.4960079	
0.28	-3.343653	-6.150597	0.0006809455	0.4979894	
0.281	-3.355833	-6.143964	0.0006834259	0.499971	
0.282	-3.367999	-6.137308	0.0006859035	0.5019524	
0.283	-3.380151	-6.130627	0.0006883783	0.5039338	
0.284	-3.392289	-6.123923	0.0006908504	0.505915	
0.285	-3.404414	-6.117195	0.0006933196	0.5078963	
0.286	-3.416525	-6.110444	0.000695786	0.5098774	
0.287	-3.428622	-6.103668	0.0006982496	0.5118585	
0.288	-3.440705	-6.096869	0.0007007104	0.5138395	
0.289	-3.452774	-6.090046	0.0007031683	0.5158204	
0.29	-3.464829	-6.0832	0.0007056234	0.5178013	
0.291	-3.47687	-6.07633	0.0007080756	0.5197821	
0.292	-3.488897	-6.069436	0.0007105249	0.5217627	
0.293	-3.50091	-6.062519	0.0007129714	0.5237434	
0.294	-3.512909	-6.055578	0.0007154149	0.5257239	
0.295	-3.524893	-6.048614	0.0007178556	0.5277044	
0.296	-3.536864	-6.041626	0.0007202934	0.5296848	
0.297	-3.54882	-6.034616	0.0007227283	0.5316651	
0.298	-3.560761	-6.027581	0.0007251602	0.5336454	
0.299	-3.572688	-6.020523	0.0007275892	0.5356256	
0.3	-3.584601	-6.013442	0.0007300152	0.5376057	
0.301	-3.596499	-6.006337	0.0007324383	0.5395857	
0.302	-3.608382	-5.999209	0.0007348584	0.5415657	
0.303	-3.620251	-5.992058	0.0007372756	0.5435455	
0.304	-3.632106	-5.984884	0.0007396898	0.5455254	
0.305	-3.643945	-5.977686	0.000742101	0.5475051	
0.306	-3.655771	-5.970466	0.0007445092	0.5494847	
0.307	-3.667581	-5.963222	0.0007469144	0.5514643	
0.308	-3.679376	-5.955955	0.0007493165	0.5534438	
0.309	-3.691157	-5.948665	0.0007517157	0.5554233	
0.31	-3.702922	-5.941352	0.0007541117	0.5574027	
0.311	-3.714673	-5.934016	0.0007565048	0.559382	
0.312	-3.726408	-5.926657	0.0007588948	0.5613611	
0.313	-3.738129	-5.919275	0.0007612818	0.5633403	
0.314	-3.749835	-5.91187	0.0007636657	0.5653194	
0.315	-3.761525	-5.904443	0.0007660464	0.5672984	
0.316	-3.7732	-5.896992	0.0007684241	0.5692772	
0.317	-3.78486	-5.889519	0.0007707987	0.5712561	
0.318	-3.796505	-5.882023	0.0007731702	0.5732349	
0.319	-3.808135	-5.874504	0.0007755386	0.5752136	
0.32	-3.819749	-5.866962	0.0007779038	0.5771922	
0.321	-3.831347	-5.859398	0.000780266	0.5791707	
0.322	-3.842931	-5.851811	0.0007826249	0.5811492	
0.323	-3.854499	-5.844201	0.0007849808	0.5831276	
0.324	-3.866051	-5.836569	0.0007873334	0.5851059	
0.325	-3.877588	-5.828914	0.0007896829	0.5870841	
0.326	-3.889109	-5.821237	0.0007920293	0.5890623	
0.327	-3.900614	-5.813537	0.0007943723	0.5910404	
0.328	-3.912104	-5.805815	0.0007967123	0.5930184	
0.329	-3.923578	-5.79807	0.000799049	0.5949964	
0.33	-3.935036	-5.790303	0.0008013825	0.5969743	
0.331	-3.946479	-5.782514	0.0008037128	0.5989521	
0.332	-3.957905	-5.774702	0.0008060399	0.6009298	
0.333	-3.969316	-5.766868	0.0008083637	0.6029074	
0.334	-3.980711	-5.759011	0.0008106843	0.604885	
0.335	-3.99209	-5.751133	0.0008130016	0.6068625	
0.336	-4.003452	-5.743232	0.0008153156	0.6088399	
0.337	-4.014799	-5.735309	0.0008176264	0.6108173	
0.338	-4.026129	-5.727364	0.0008199339	0.6127946	
0.339	-4.037444	-5.719397	0.0008222382	0.6147718	
0.34	-4.048742	-5.711407	0.000824539	0.6167489	
0.341	-4.060024	-5.703396	0.0008268366	0.618726	
0.342	-4.07129	-5.695363	0.0008291309	0.620703	
0.343	-4.082539	-5.687307	0.0008314219	0.6226799	
0.344	-4.093771	-5.67923	0.0008337095	0.6246567	
0.345	-4.104988	-5.671131	0.0008359937	0.6266335	
0.346	-4.116188	-5.66301	0.0008382747	0.6286102	
0.347	-4.127372	-5.654867	0.0008405522	0.6305869	
0.348	-4.138538	-5.646702	0.0008428264	0.6325634	
0.349	-4.149689	-5.638516	0.0008450972	0.6345398	
0.35	-4.160823	-5.630308	0.0008473647	0.6365163	
0.351	-4.17194	-5.622078	0.0008496287	0.6384926	
0.352	-4.18304	-5.613826	0.0008518893	0.6404688	
0.353	-4.194124	-5.605553	0.0008541466	0.642445	
0.354	-4.205191	-5.597259	0.0008564004	0.6444212	
0.355	-4.216241	-5.588942	0.0008586508	0.6463972	
0.356	-4.227274	-5.580605	0.0008608977	0.6483731	
0.357	-4.23829	-5.572245	0.0008631412	0.650349	
0.358	-4.24929	-5.563864	0.0008653813	0.6523249	
0.359	-4.260272	-5.555462	0.0008676178	0.6543006	
0.36	-4.271237	-5.547039	0.000869851	0.6562763	
0.361	-4.282186	-5.538593	0.0008720806	0.6582519	
0.362	-4.293117	-5.530127	0.0008743068	0.6602274	
0.363	-4.304031	-5.521639	0.0008765294	0.6622029	
0.364	-4.314928	-5.513131	0.0008787486	0.6641783	
0.365	-4.325807	-5.504601	0.0008809642	0.6661536	
0.366	-4.336669	-5.496049	0.0008831763	0.6681288	
0.367	-4.347514	-5.487477	0.000885385	0.670104	
0.368	-4.358342	-5.478884	0.0008875901	0.6720791	
0.369	-4.369152	-5.470269	0.0008897916	0.6740541	
0.37	-4.379945	-5.461633	0.0008919896	0.6760291	
0.371	-4.39072	-5.452977	0.000894184	0.678004	
0.372	-4.401478	-5.444299	0.0008963749	0.6799788	
0.373	-4.412218	-5.435601	0.0008985621	0.6819535	
0.374	-4.422941	-5.426881	0.0009007458	0.6839282	
0.375	-4.433646	-5.418141	0.0009029259	0.6859028	
0.376	-4.444333	-5.40938	0.0009051024	0.6878773	
0.377	-4.455003	-5.400598	0.0009072754	0.6898518	
0.378	-4.465654	-5.391796	0.0009094446	0.6918261	
0.379	-4.476289	-5.382972	0.0009116103	0.6938004	
0.38	-4.486905	-5.374128	0.0009137723	0.6957747	
0.381	-4.497503	-5.365263	0.0009159307	0.6977488	
0.382	-4.508084	-5.356378	0.0009180855	0.6997229	
0.383	-4.518646	-5.347472	0.0009202365	0.701697	
0.384	-4.529191	-5.338546	0.000922384	0.7036709	
0.385	-4.539717	-5.329599	0.0009245277	0.7056448	
0.386	-4.550226	-5.320632	0.0009266678	0.7076187	
0.387	-4.560716	-5.311644	0.0009288042	0.7095924	
0.388	-4.571188	-5.302636	0.0009309369	0.7115661	
0.389	-4.581642	-5.293607	0.0009330659	0.7135397	
0.39	-4.592078	-5.284558	0.0009351912	0.7155132	
0.391	-4.602496	-5.275489	0.0009373127	0.7174867	
0.392	-4.612895	-5.2664	0.0009394306	0.7194601	
0.393	-4.623276	-5.25729	0.0009415447	0.7214334	
0.394	-4.633638	-5.248161	0.000943655	0.7234067	
0.395	-4.643982	-5.239011	0.0009457617	0.7253798	
0.396	-4.654308	-5.229841	0.0009478646	0.7273529	
0.397	-4.664616	-5.220651	0.0009499636	0.729326	
0.398	-4.674904	-5.211441	0.0009520589	0.731299	
0.399	-4.685174	-5.202211	0.0009541505	0.7332719	
0.4	-4.695426	-5.192961	0.0009562382	0.7352447	
0.401	-4.705659	-5.183692	0.0009583222	0.7372175	
0.402	-4.715873	-5.174402	0.0009604024	0.7391902	
0.403	-4.726068	-5.165092	0.0009624787	0.7411628	
0.404	-4.736245	-5.155763	0.0009645513	0.7431354	
0.405	-4.746403	-5.146414	0.00096662	0.7451078	
0.406	-4.756542	-5.137045	0.0009686848	0.7470803	
0.407	-4.766663	-5.127656	0.0009707459	0.7490526	
0.408	-4.776764	-5.118248	0.000972803	0.7510249	
0.409	-4.786847	-5.10882	0.0009748564	0.7529971	
0.41	-4.79691	-5.099373	0.0009769058	0.7549693	
0.411	-4.806955	-5.089907	0.0009789515	0.7569414	
0.412	-4.81698	-5.08042	0.0009809932	0.7589133	
0.413	-4.826986	-5.070915	0.000983031	0.7608853	
0.414	-4.836974	-5.061389	0.000985065	0.7628572	
0.415	-4.846942	-5.051845	0.0009870949	0.764829	
0.416	-4.856891	-5.042281	0.0009891212	0.7668007	
0.417	-4.866821	-5.032698	0.0009911433	0.7687724	
0.418	-4.876731	-5.023096	0.0009931616	0.770744	
0.419	-4.886622	-5.013474	0.000995176	0.7727155	
0.42	-4.896494	-5.003833	0.0009971864	0.774687	
0.421	-4.906346	-4.994173	0.0009991929	0.7766584	
0.422	-4.91618	-4.984494	0.001001195	0.7786297	
0.423	-4.925993	-4.974796	0.001003194	0.780601	
0.424	-4.935787	-4.965079	0.001005189	0.7825722	
0.425	-4.945562	-4.955343	0.001007179	0.7845433	
0.426	-4.955317	-4.945588	0.001009166	0.7865144	
0.427	-4.965053	-4.935814	0.001011149	0.7884853	
0.428	-4.974768	-4.926021	0.001013127	0.7904563	
