Time	PendulumX	PendulumY	PendulumZ	Rotation	
0.327	0.524055	-6.98036	-0.0001067249	-0.07493508	
0.328	0.5272226	-6.980121	-0.0001073681	-0.07538889	
0.329	0.5303993	-6.97988	-0.0001080151	-0.075844	
0.33	0.5335851	-6.979638	-0.0001086641	-0.07630041	
0.331	0.5367799	-6.979393	-0.0001093149	-0.07675815	
0.332	0.5399837	-6.979146	-0.0001099675	-0.07721721	
0.333	0.5431966	-6.978896	-0.000110622	-0.07767758	
0.334	0.5464185	-6.978645	-0.0001112784	-0.07813925	
0.335	0.5496495	-6.978391	-0.0001119366	-0.07860224	
0.336	0.5528895	-6.978135	-0.0001125966	-0.07906653	
0.337	0.5561385	-6.977877	-0.0001132584	-0.07953214	
0.338	0.5593964	-6.977617	-0.000113922	-0.07999904	
0.339	0.5626634	-6.977354	-0.0001145874	-0.08046727	
0.34	0.5659394	-6.977089	-0.0001152547	-0.08093679	
0.341	0.5692244	-6.976822	-0.0001159238	-0.08140763	
0.342	0.5725183	-6.976553	-0.0001165947	-0.08187976	
0.343	0.5758213	-6.976281	-0.0001172674	-0.0823532	
0.344	0.5791332	-6.976007	-0.000117942	-0.08282796	
0.345	0.582454	-6.97573	-0.0001186183	-0.08330401	
0.346	0.5857838	-6.975451	-0.0001192965	-0.08378136	
0.347	0.5891226	-6.97517	-0.0001199745	-0.08426001	
0.348	0.5924703	-6.974887	-0.0001206563	-0.08473996	
0.349	0.5958269	-6.974601	-0.00012134	-0.08522122	
0.35	0.5991925	-6.974313	-0.0001220255	-0.08570376	
0.351	0.602567	-6.974022	-0.0001227129	-0.08618762	
0.352	0.6059504	-6.973729	-0.0001234021	-0.08667277	
0.353	0.6093426	-6.973433	-0.0001240932	-0.08715921	
0.354	0.6127439	-6.973135	-0.000124786	-0.08764695	
0.355	0.616154	-6.972835	-0.0001254806	-0.08813599	
0.356	0.6195729	-6.972532	-0.0001261771	-0.08862633	
0.357	0.6230008	-6.972227	-0.0001268753	-0.08911796	
0.358	0.6264375	-6.971919	-0.0001275753	-0.08961088	
0.359	0.6298831	-6.971609	-0.0001282771	-0.09010511	
0.36	0.6333376	-6.971296	-0.0001289807	-0.09060064	
0.361	0.6368008	-6.97098	-0.0001296861	-0.09109744	
0.362	0.640273	-6.970662	-0.0001303913	-0.09159555	
0.363	0.6437539	-6.970342	-0.0001311002	-0.09209493	
0.364	0.6472437	-6.970018	-0.0001318111	-0.09259558	
0.365	0.6507424	-6.969693	-0.0001325237	-0.09309755	
0.366	0.6542498	-6.969365	-0.0001332382	-0.09360079	
0.367	0.657766	-6.969034	-0.0001339545	-0.09410532	
0.368	0.661291	-6.9687	-0.0001346726	-0.09461115	
0.369	0.6648248	-6.968364	-0.0001353924	-0.09511825	
0.37	0.6683674	-6.968025	-0.000136114	-0.09562665	
0.371	0.6719187	-6.967684	-0.0001368374	-0.09613632	
0.372	0.6754789	-6.96734	-0.0001375626	-0.09664728	
0.373	0.6790478	-6.966993	-0.0001382895	-0.09715953	
0.374	0.6826254	-6.966644	-0.0001390182	-0.09767304	
0.375	0.6862118	-6.966291	-0.0001397487	-0.09818786	
0.376	0.6898069	-6.965937	-0.0001404809	-0.09870394	
0.377	0.6934107	-6.965579	-0.0001412149	-0.09922131	
0.378	0.6970232	-6.965219	-0.0001419507	-0.09973997	
0.379	0.7006445	-6.964855	-0.0001426862	-0.1002599	
0.38	0.7042745	-6.964489	-0.0001434255	-0.1007811	
0.381	0.7079131	-6.96412	-0.0001441667	-0.1013035	
0.382	0.7115604	-6.963748	-0.0001449096	-0.1018273	
0.383	0.7152165	-6.963374	-0.0001456543	-0.1023523	
0.384	0.7188811	-6.962997	-0.0001464008	-0.1028786	
0.385	0.7225545	-6.962617	-0.0001471491	-0.1034062	
0.386	0.7262365	-6.962234	-0.0001478991	-0.103935	
0.387	0.7299272	-6.961848	-0.0001486509	-0.1044651	
0.388	0.7336265	-6.96146	-0.0001494044	-0.1049965	
0.389	0.7373344	-6.961068	-0.0001501597	-0.1055292	
0.39	0.741051	-6.960673	-0.0001509167	-0.1060631	
0.391	0.7447761	-6.960276	-0.0001516754	-0.1065983	
0.392	0.7485099	-6.959875	-0.0001524359	-0.1071347	
0.393	0.7522523	-6.959472	-0.0001531981	-0.1076725	
0.394	0.7560033	-6.959065	-0.0001539621	-0.1082114	
0.395	0.7597628	-6.958656	-0.0001547258	-0.1087517	
0.396	0.7635309	-6.958244	-0.0001554932	-0.1092932	
0.397	0.7673076	-6.957829	-0.0001562625	-0.109836	
0.398	0.7710928	-6.95741	-0.0001570335	-0.11038	
0.399	0.7748866	-6.956989	-0.0001578063	-0.1109253	
0.4	0.7786889	-6.956564	-0.0001585809	-0.1114719	
0.401	0.7824997	-6.956137	-0.0001593571	-0.1120197	
0.402	0.7863191	-6.955707	-0.0001601351	-0.1125688	
0.403	0.7901469	-6.955273	-0.0001609148	-0.1131191	
0.404	0.7939833	-6.954836	-0.0001616963	-0.1136707	
0.405	0.7978282	-6.954397	-0.0001624794	-0.1142236	
0.406	0.8016815	-6.953954	-0.0001632643	-0.1147777	
0.407	0.8055434	-6.953507	-0.0001640508	-0.115333	
0.408	0.8094137	-6.953058	-0.0001648391	-0.1158896	
0.409	0.8132924	-6.952606	-0.0001656291	-0.1164475	
0.41	0.8171797	-6.95215	-0.0001664189	-0.1170067	
0.411	0.8210753	-6.951692	-0.0001672123	-0.117567	
0.412	0.8249794	-6.95123	-0.0001680075	-0.1181287	
0.413	0.8288919	-6.950764	-0.0001688044	-0.1186915	
0.414	0.8328128	-6.950295	-0.0001696031	-0.1192557	
0.415	0.8367421	-6.949824	-0.0001704035	-0.119821	
0.416	0.8406798	-6.949349	-0.0001712057	-0.1203876	
0.417	0.8446259	-6.948871	-0.0001720095	-0.1209555	
0.418	0.8485804	-6.948389	-0.000172815	-0.1215246	
0.419	0.8525432	-6.947904	-0.0001736222	-0.122095	
0.42	0.8565144	-6.947416	-0.000174431	-0.1226665	
0.421	0.860494	-6.946924	-0.0001752416	-0.1232394	
0.422	0.8644819	-6.946429	-0.0001760538	-0.1238134	
0.423	0.8684781	-6.945931	-0.0001768678	-0.1243887	
