Time	Length	Ia	II	
3.226	0.50998	56.59912	165.0695	
3.227	0.50998	56.59821	165.0697	
3.228	0.50998	56.59731	165.0701	
3.229	0.50998	56.59641	165.0704	
3.23	0.50998	56.59551	165.0706	
3.231	0.50998	56.59462	165.0709	
3.232	0.50998	56.59373	165.0712	
3.233	0.50998	56.59284	165.0715	
3.234	0.50998	56.59196	165.0718	
3.235	0.50998	56.59108	165.0721	
3.236	0.50998	56.59021	165.0724	
3.237	0.50998	56.58933	165.0727	
3.238	0.50998	56.58846	165.073	
3.239	0.50998	56.5876	165.0732	
3.24	0.50998	56.58674	165.0735	
3.241	0.50998	56.58588	165.0738	
3.242	0.50998	56.58503	165.0741	
3.243	0.50998	56.58418	165.0744	
3.244	0.50998	56.58333	165.0746	
3.245	0.50998	56.58249	165.0749	
3.246	0.50998	56.58165	165.0752	
3.247	0.50998	56.5808	165.0755	
3.248	0.50998	56.57997	165.0757	
3.249	0.50998	56.57914	165.076	
3.25	0.50998	56.57831	165.0763	
3.251	0.50998	56.57749	165.0765	
3.252	0.50998	56.57666	165.0768	
3.253	0.50998	56.57585	165.0771	
3.254	0.50998	56.57504	165.0773	
3.255	0.50998	56.57422	165.0776	
3.256	0.50998	56.57342	165.0779	
3.257	0.50998	56.57261	165.0781	
3.258	0.50998	56.57181	165.0784	
3.259	0.50998	56.57101	165.0787	
3.26	0.50998	56.57022	165.0789	
3.261	0.50998	56.56942	165.0792	
3.262	0.50998	56.56864	165.0794	
3.263	0.50998	56.56785	165.0797	
3.264	0.50998	56.56707	165.0799	
3.265	0.50998	56.56629	165.0802	
3.266	0.50998	56.56551	165.0805	
3.267	0.50998	56.56474	165.0807	
3.268	0.50998	56.56397	165.081	
3.269	0.50998	56.56321	165.0812	
3.27	0.50998	56.56244	165.0815	
3.271	0.50998	56.56168	165.0817	
3.272	0.50998	56.56092	165.082	
3.273	0.50998	56.56017	165.0822	
3.274	0.50998	56.55942	165.0825	
3.275	0.50998	56.55867	165.0827	
3.276	0.50998	56.55792	165.0829	
3.277	0.50998	56.55718	165.0832	
3.278	0.50998	56.55644	165.0834	
3.279	0.50998	56.5557	165.0837	
3.28	0.50998	56.55497	165.0839	
3.281	0.50998	56.55424	165.0842	
3.282	0.50998	56.55351	165.0844	
3.283	0.50998	56.55278	165.0846	
3.284	0.50998	56.55206	165.0849	
3.285	0.50998	56.55135	165.0851	
3.286	0.50998	56.55063	165.0853	
3.287	0.50998	56.54992	165.0856	
3.288	0.50998	56.5492	165.0858	
3.289	0.50998	56.5485	165.086	
3.29	0.50998	56.54779	165.0863	
3.291	0.50998	56.54709	165.0865	
3.292	0.50998	56.54639	165.0867	
3.293	0.50998	56.54569	165.0869	
3.294	0.50998	56.545	165.0872	
3.295	0.50998	56.54431	165.0874	
3.296	0.50998	56.54362	165.0876	
3.297	0.50998	56.54294	165.0878	
3.298	0.50998	56.54225	165.0881	
3.299	0.50998	56.54157	165.0883	
3.3	0.50998	56.5409	165.0885	
3.301	0.50998	56.54022	165.0887	
3.302	0.50998	56.53955	165.089	
3.303	0.50998	56.53888	165.0892	
3.304	0.50998	56.53821	165.0894	
3.305	0.50998	56.53755	165.0896	
3.306	0.50998	56.53689	165.0898	
3.307	0.50998	56.53623	165.09	
3.308	0.50998	56.53557	165.0903	
3.309	0.50998	56.53492	165.0905	
3.31	0.50998	56.53427	165.0907	
3.311	0.50998	56.53362	165.0909	
3.312	0.50998	56.53298	165.0911	
3.313	0.50998	56.53233	165.0913	
3.314	0.50998	56.53169	165.0915	
3.315	0.50998	56.53106	165.0917	
3.316	0.50998	56.53042	165.0919	
3.317	0.50998	56.52979	165.0921	
3.318	0.50998	56.52916	165.0924	
3.319	0.50998	56.52853	165.0926	
3.32	0.50998	56.5279	165.0928	
3.321	0.50998	56.52728	165.093	
3.322	0.50998	56.52666	165.0932	
3.323	0.50998	56.52605	165.0934	
3.324	0.50998	56.52543	165.0936	
3.325	0.50998	56.52481	165.0938	
3.326	0.50998	56.5242	165.094	
3.327	0.50998	56.5236	165.0942	
3.328	0.50998	56.52299	165.0944	
3.329	0.50998	56.52239	165.0946	
3.33	0.50998	56.52179	165.0948	
3.331	0.50998	56.52119	165.095	
3.332	0.50998	56.5206	165.0952	
3.333	0.50998	56.52	165.0954	
3.334	0.50998	56.51941	165.0956	
3.335	0.50998	56.51883	165.0957	
3.336	0.50998	56.51824	165.0959	
3.337	0.50998	56.51765	165.0961	
3.338	0.50998	56.51707	165.0963	
3.339	0.50998	56.51649	165.0965	
3.34	0.50998	56.51591	165.0967	
3.341	0.50998	56.51534	165.0969	
3.342	0.50998	56.51477	165.0971	
3.343	0.50998	56.5142	165.0972	
3.344	0.50998	56.51363	165.0974	
3.345	0.50998	56.51307	165.0976	
3.346	0.50998	56.5125	165.0978	
3.347	0.50998	56.51194	165.098	
3.348	0.50998	56.51138	165.0982	
3.349	0.50998	56.51083	165.0984	
3.35	0.50998	56.51027	165.0985	
3.351	0.50998	56.50972	165.0987	
3.352	0.50998	56.50917	165.0989	
3.353	0.50998	56.50862	165.0991	
3.354	0.50998	56.50808	165.0993	
3.355	0.50998	56.50753	165.0994	
3.356	0.50998	56.507	165.0996	
3.357	0.50998	56.50645	165.0998	
3.358	0.50998	56.50592	165.1	
3.359	0.50998	56.50538	165.1001	
3.36	0.50998	56.50485	165.1003	
3.361	0.50998	56.50432	165.1005	
3.362	0.50998	56.50379	165.1007	
3.363	0.50998	56.50327	165.1008	
3.364	0.50998	56.50274	165.101	
3.365	0.50998	56.50222	165.1012	
3.366	0.50998	56.5017	165.1013	
3.367	0.50998	56.50118	165.1015	
3.368	0.50998	56.50067	165.1017	
3.369	0.50998	56.50015	165.1019	
3.37	0.50998	56.49964	165.102	
3.371	0.50998	56.49913	165.1022	
3.372	0.50998	56.49863	165.1023	
3.373	0.50998	56.49812	165.1025	
3.374	0.50998	56.49762	165.1027	
3.375	0.50998	56.49712	165.1028	
3.376	0.50998	56.49662	165.103	
3.377	0.50998	56.49612	165.1032	
3.378	0.50998	56.49562	165.1033	
3.379	0.50998	56.49513	165.1035	
3.38	0.50998	56.49464	165.1037	
3.381	0.50998	56.49415	165.1038	
3.382	0.50998	56.49366	165.104	
3.383	0.50998	56.49318	165.1041	
3.384	0.50998	56.49269	165.1043	
3.385	0.50998	56.49221	165.1044	
3.386	0.50998	56.49173	165.1046	
3.387	0.50998	56.49125	165.1048	
3.388	0.50998	56.49078	165.1049	
3.389	0.50998	56.4903	165.1051	
3.39	0.50998	56.48983	165.1052	
3.391	0.50998	56.48936	165.1054	
3.392	0.50998	56.48889	165.1055	
3.393	0.50998	56.48842	165.1057	
3.394	0.50998	56.48796	165.1059	
3.395	0.50998	56.4875	165.106	
3.396	0.50998	56.48704	165.1061	
3.397	0.50998	56.48658	165.1063	
3.398	0.50998	56.48612	165.1064	
3.399	0.50998	56.48566	165.1066	
3.4	0.50998	56.48521	165.1068	
3.401	0.50998	56.48476	165.1069	
3.402	0.50998	56.48431	165.107	
3.403	0.50998	56.48386	165.1072	
3.404	0.50998	56.48341	165.1073	
3.405	0.50998	56.48297	165.1075	
3.406	0.50998	56.48252	165.1076	
3.407	0.50998	56.48209	165.1078	
3.408	0.50998	56.48164	165.1079	
3.409	0.50998	56.48121	165.108	
3.41	0.50998	56.48077	165.1082	
3.411	0.50998	56.48034	165.1083	
3.412	0.50998	56.47991	165.1085	
3.413	0.50998	56.47948	165.1086	
3.414	0.50998	56.47905	165.1088	
3.415	0.50998	56.47862	165.1089	
3.416	0.50998	56.4782	165.109	
3.417	0.50998	56.47777	165.1092	
3.418	0.50998	56.47735	165.1093	
3.419	0.50998	56.47693	165.1095	
3.42	0.50998	56.47651	165.1096	
3.421	0.50998	56.47609	165.1097	
3.422	0.50998	56.47568	165.1099	
3.423	0.50998	56.47527	165.11	
3.424	0.50998	56.47485	165.1101	
3.425	0.50998	56.47444	165.1103	
3.426	0.50998	56.47403	165.1104	
3.427	0.50998	56.47363	165.1105	
3.428	0.50998	56.47322	165.1107	
3.429	0.50998	56.47282	165.1108	
3.43	0.50998	56.47242	165.1109	
3.431	0.50998	56.47202	165.1111	
3.432	0.50998	56.47161	165.1112	
3.433	0.50998	56.47122	165.1113	
3.434	0.50998	56.47082	165.1115	
3.435	0.50998	56.47043	165.1116	
3.436	0.50998	56.47004	165.1117	
3.437	0.50998	56.46964	165.1118	
3.438	0.50998	56.46925	165.112	
3.439	0.50998	56.46887	165.1121	
3.44	0.50998	56.46848	165.1122	
3.441	0.50998	56.46809	165.1124	
3.442	0.50998	56.46771	165.1125	
3.443	0.50998	56.46733	165.1126	
3.444	0.50998	56.46695	165.1127	
3.445	0.50998	56.46657	165.1128	
3.446	0.50998	56.46619	165.113	
3.447	0.50998	56.46582	165.1131	
3.448	0.50998	56.46544	165.1132	
3.449	0.50998	56.46507	165.1133	
3.45	0.50998	56.4647	165.1134	
3.451	0.50998	56.46433	165.1136	
3.452	0.50998	56.46396	165.1137	
