Time	Child_Y	Joint_Y	Root_Y	
0.4859973	1.915875	1.99141	0.1022186	
0.4869973	1.91269	1.988435	0.1022618	
0.4879973	1.909499	1.985454	0.1023137	
0.4889973	1.906301	1.982464	0.1023658	
0.4899972	1.903093	1.979465	0.1024171	
0.4909972	1.899878	1.976457	0.1024677	
0.4919972	1.896654	1.97344	0.1025177	
0.4929972	1.89342	1.970412	0.1025584	
0.4939972	1.89018	1.967377	0.1026077	
0.4949972	1.886932	1.964332	0.1026571	
0.4959972	1.883675	1.961279	0.1027059	
0.4969971	1.88041	1.958216	0.1027539	
0.4979971	1.877136	1.955144	0.1028012	
0.4989971	1.873855	1.952062	0.102848	
0.4999971	1.870562	1.94897	0.1028855	
0.5009971	1.867263	1.945869	0.1029317	
0.5019971	1.863956	1.94276	0.102978	
0.5029971	1.86064	1.939641	0.1030237	
0.5039971	1.857316	1.936513	0.1030687	
0.5049971	1.853984	1.933375	0.1031131	
0.5059971	1.85064	1.930225	0.1031482	
0.506997	1.84729	1.927068	0.103192	
0.507997	1.843932	1.923901	0.103236	
0.508997	1.840565	1.920725	0.1032793	
0.509997	1.837189	1.917539	0.1033219	
0.510997	1.833805	1.914343	0.1033639	
0.511997	1.830412	1.911137	0.1034053	
0.512997	1.827008	1.907921	0.1034374	
0.513997	1.823598	1.904696	0.1034784	
0.5149969	1.820178	1.901461	0.1035195	
0.5159969	1.816751	1.898216	0.1035599	
0.5169969	1.813314	1.894961	0.1035997	
0.5179969	1.809868	1.891696	0.1036389	
0.5189969	1.806412	1.888421	0.103669	
0.5199969	1.802948	1.885136	0.1037077	
0.5209969	1.799476	1.881842	0.1037466	
0.5219969	1.795995	1.878537	0.1037848	
0.5229968	1.792505	1.875223	0.1038224	
0.5239968	1.789006	1.871898	0.1038594	
0.5249968	1.785498	1.868564	0.1038958	
0.5259968	1.781979	1.865218	0.1039231	
0.5269968	1.778453	1.861863	0.1039591	
0.5279968	1.774918	1.858498	0.1039953	
0.5289968	1.771374	1.855123	0.104031	
0.5299968	1.767821	1.851738	0.1040659	
0.5309967	1.764259	1.848342	0.1041004	
0.5319967	1.760686	1.844936	0.1041256	
0.5329967	1.757105	1.84152	0.1041596	
0.5339967	1.753516	1.838094	0.1041938	
0.5349967	1.749917	1.834657	0.1042273	
0.5359967	1.746309	1.83121	0.1042602	
0.5369967	1.742692	1.827754	0.1042926	
0.5379966	1.739065	1.824286	0.1043244	
0.5389966	1.735428	1.820808	0.1043471	
0.5399966	1.731783	1.81732	0.1043786	
0.5409966	1.728129	1.813822	0.1044102	
0.5419966	1.724465	1.810313	0.1044413	
0.5429966	1.720792	1.806794	0.1044718	
0.5439966	1.71711	1.803265	0.1045017	
0.5449966	1.713417	1.799724	0.1045225	
0.5459965	1.709716	1.796174	0.1045521	
0.5469965	1.706006	1.792613	0.1045818	
0.5479965	1.702286	1.789042	0.104611	
0.5489965	1.698557	1.78546	0.1046395	
0.5499965	1.694818	1.781868	0.1046675	
0.5509965	1.69107	1.778265	0.104695	
0.5519965	1.687311	1.774652	0.1047133	
0.5529965	1.683543	1.771028	0.1047405	
0.5539964	1.679767	1.767394	0.1047679	
0.5549964	1.675981	1.763749	0.1047947	
0.5559964	1.672185	1.760094	0.104821	
0.5569964	1.66838	1.756428	0.1048467	
0.5579964	1.664563	1.752751	0.1048633	
0.5589964	1.660739	1.749064	0.1048887	
0.5599964	1.656905	1.745366	0.1049142	
0.5609964	1.653061	1.741658	0.1049392	
0.5619963	1.649208	1.737939	0.1049637	
0.5629963	1.645345	1.734209	0.1049875	
0.5639963	1.641472	1.730469	0.1050109	
0.5649963	1.637589	1.726718	0.1050251	
0.5659963	1.633697	1.722956	0.1050483	
0.5669963	1.629795	1.719184	0.1050716	
0.5679963	1.625883	1.715401	0.1050944	
0.5689963	1.621962	1.711607	0.1051166	
0.5699962	1.618031	1.707803	0.1051383	
0.5709962	1.61409	1.703987	0.1051509	
0.5719962	1.610139	1.700161	0.1051723	
0.5729962	1.606179	1.696325	0.1051939	
0.5739962	1.602209	1.692477	0.105215	
0.5749962	1.598229	1.688619	0.1052354	
0.5759962	1.594239	1.68475	0.1052554	
0.5769961	1.59024	1.68087	0.1052748	
0.5779961	1.58623	1.676979	0.1052851	
0.5789961	1.58221	1.673077	0.1053044	
0.5799961	1.578181	1.669165	0.1053238	
0.5809961	1.574142	1.665241	0.1053427	
0.5819961	1.570094	1.661307	0.1053611	
0.5829961	1.566035	1.657362	0.1053789	
0.5839961	1.561965	1.653406	0.1053876	
0.584996	1.557887	1.649439	0.1054052	
0.585996	1.553799	1.645461	0.105423	
0.586996	1.5497	1.641472	0.1054403	
0.587996	1.545592	1.637472	0.1054569	
0.588996	1.541474	1.633462	0.1054731	
0.589996	1.537344	1.62944	0.1054801	
0.590996	1.533206	1.625407	0.105496	
0.591996	1.529058	1.621363	0.1055121	
0.5929959	1.5249	1.617308	0.1055276	
0.5939959	1.520732	1.613242	0.1055426	
0.5949959	1.516553	1.609165	0.105557	
0.5959959	1.512365	1.605077	0.105571	
0.5969959	1.508166	1.600978	0.1055758	
0.5979959	1.503958	1.596867	0.1055896	
0.5989959	1.49974	1.592746	0.1056036	
0.5999959	1.495511	1.588613	0.105617	
0.6009958	1.491273	1.584469	0.1056299	
0.6019958	1.487024	1.580314	0.1056423	
0.6029958	1.482765	1.576148	0.1056456	
0.6039958	1.478496	1.57197	0.1056577	
0.6049958	1.474218	1.567782	0.1056701	
0.6059958	1.469929	1.563582	0.1056819	
0.6069958	1.46563	1.55937	0.1056932	
0.6079957	1.461321	1.555148	0.1057039	
0.6089957	1.457001	1.550914	0.1057055	
0.6099957	1.452672	1.546668	0.105716	
0.6109957	1.448332	1.542412	0.1057268	
0.6119957	1.443983	1.538144	0.1057369	
