Time	BoxContact	BoxSensor	BoxSensorX	BoxSensorY	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0.06439999	-0.07	0	-0.03273132	-0.3520348	-0.07	0	0.06714775	-0.3471182	
0.0648	-0.07	0	-0.03251275	-0.3520551	-0.07	0	0.06736323	-0.3470764	
0.0652	-0.07	0	-0.03229284	-0.3520753	-0.07	0	0.06758002	-0.3470343	
0.0656	-0.07	0	-0.03207158	-0.3520955	-0.07	0	0.06779809	-0.3469917	
0.066	-0.07	0	-0.03184898	-0.3521157	-0.07	0	0.06801745	-0.3469488	
0.0664	-0.07	0	-0.03162503	-0.3521359	-0.07	0	0.06823809	-0.3469055	
0.0668	-0.07	0	-0.03139973	-0.3521561	-0.07	0	0.06846002	-0.3468617	
0.0672	-0.07	0	-0.0311731	-0.3521762	-0.07	0	0.06868323	-0.3468176	
0.0676	-0.07	0	-0.03094511	-0.3521963	-0.07	0	0.06890772	-0.3467731	
0.068	-0.07	0	-0.03071579	-0.3522164	-0.07	0	0.06913349	-0.3467281	
0.0684	-0.07	0	-0.03048513	-0.3522364	-0.07	0	0.06936054	-0.3466828	
0.06879999	-0.07	0	-0.03025313	-0.3522564	-0.07	1	0.06958886	-0.346637	
0.0692	-0.07	0	-0.03001978	-0.3522764	-0.07	1	0.06981846	-0.3465908	
0.0696	-0.07	0	-0.0297851	-0.3522963	-0.07	1	0.07004934	-0.3465443	
0.07	-0.07	0	-0.02954908	-0.3523162	-0.07	1	0.07028148	-0.3464973	
0.0704	-0.07	0	-0.02931173	-0.352336	-0.07	1	0.07051489	-0.3464498	
0.0708	-0.07	0	-0.02907303	-0.3523558	-0.07	2	0.07074957	-0.346402	
0.0712	-0.07	0	-0.02883301	-0.3523755	-0.07	2	0.07098552	-0.3463537	
0.0716	-0.07	0	-0.02859165	-0.3523951	-0.05	2	0.07122274	-0.346305	
0.072	-0.07	0	-0.02834895	-0.3524148	-0.05	2	0.07146122	-0.3462559	
0.0724	-0.07	0	-0.02810492	-0.3524343	-0.05	2	0.07170095	-0.3462063	
0.0728	-0.07	0	-0.02785956	-0.3524538	-0.05	2	0.07194195	-0.3461563	
0.07319999	-0.07	0	-0.02761287	-0.3524732	-0.05	2	0.07218421	-0.3461058	
0.0736	-0.07	0	-0.02736486	-0.3524925	-0.01400001	2	0.07242772	-0.346055	
0.074	-0.07	0	-0.02711551	-0.3525118	-0.01400001	2	0.07267249	-0.3460037	
0.0744	-0.07	0	-0.02686483	-0.352531	-0.01400001	2	0.07291851	-0.3459519	
0.0748	-0.07	0	-0.02661283	-0.3525501	-0.01400001	2	0.07316579	-0.3458997	
0.0752	-0.07	0	-0.0263595	-0.3525691	-0.01400001	1	0.07341432	-0.345847	
0.0756	-0.07	0	-0.02610484	-0.3525881	0.01479999	1	0.07366409	-0.3457939	
0.076	-0.07	0	-0.02584887	-0.3526069	0.01479999	1	0.07391511	-0.3457403	
0.0764	-0.07	0	-0.02559157	-0.3526257	0.01479999	1	0.07416737	-0.3456863	
0.0768	-0.07	0	-0.02533294	-0.3526444	0.01479999	1	0.07442088	-0.3456318	
0.0772	-0.07	0	-0.025073	-0.3526629	0.01479999	1	0.07467563	-0.3455769	
0.07759999	-0.07	0	-0.02481173	-0.3526814	0.01783999	1	0.07493161	-0.3455214	
0.078	-0.07	0	-0.02454915	-0.3526998	0.01783999	1	0.07518884	-0.3454655	
0.0784	-0.07	0	-0.02428524	-0.352718	0.01783999	1	0.07544731	-0.3454092	
0.0788	-0.07	0	-0.02402002	-0.3527362	0.01783999	1	0.075707	-0.3453524	
