Time	BoxContact	CylinderContact	CylinderSensor	CylinderSensorX	CylinderSensorY	
0.3144	-0.07	-0.06999838	0	0.319959	-0.1504235	
0.3148	-0.07	-0.06999838	0	0.3202568	-0.1497886	
0.3152	-0.07	-0.06999838	0	0.3205532	-0.1491532	
0.3156	-0.07	-0.06999871	0	0.3208484	-0.1485171	
0.316	-0.07	-0.06999871	0	0.3211423	-0.1478805	
0.3164	-0.07	-0.06999871	0	0.321435	-0.1472432	
0.3168	-0.07	-0.06999871	0	0.3217264	-0.1466055	
0.3172	-0.07	-0.06999871	0	0.3220165	-0.1459671	
0.3176	-0.07	-0.06999896	0	0.3223054	-0.1453282	
0.318	-0.07	-0.06999896	0	0.3225929	-0.1446888	
0.3184	-0.07	-0.06999896	0	0.3228792	-0.1440488	
0.3188	-0.07	-0.06999896	0	0.3231642	-0.1434083	
0.3192	-0.07	-0.06999896	0	0.3234479	-0.1427672	
0.3196	-0.07	-0.06999917	0	0.3237304	-0.1421256	
0.32	-0.07	-0.06999917	0	0.3240115	-0.1414835	
0.3204	-0.07	-0.06999917	0	0.3242914	-0.1408408	
0.3208	-0.07	-0.06999917	0	0.32457	-0.1401977	
0.3212	-0.07	-0.06999917	0	0.3248473	-0.139554	
0.3216	-0.07	-0.06999934	0	0.3251233	-0.1389098	
0.322	-0.07	-0.06999934	0	0.3253979	-0.1382651	
0.3224	-0.07	-0.06999934	0	0.3256713	-0.13762	
0.3228	-0.07	-0.06999934	0	0.3259434	-0.1369743	
0.3232	-0.07	-0.06999934	0	0.3262142	-0.1363282	
0.3236	-0.07	-0.06999947	0	0.3264837	-0.1356816	
0.324	-0.07	-0.06999947	0	0.3267519	-0.1350344	
0.3244	-0.07	-0.06999947	0	0.3270187	-0.1343869	
0.3248	-0.07	-0.06999947	0	0.3272843	-0.1337389	
0.3252	-0.07	-0.06999947	0	0.3275485	-0.1330904	
0.3256	-0.07	-0.06999958	0	0.3278114	-0.1324414	
0.326	-0.07	-0.06999958	0	0.3280731	-0.131792	
0.3264	-0.07	-0.06999958	0	0.3283333	-0.1311422	
0.3268	-0.07	-0.06999958	0	0.3285924	-0.1304919	
0.3272	-0.07	-0.06999958	0	0.32885	-0.1298412	
0.3276	-0.07	-0.06999967	0	0.3291064	-0.1291901	
0.328	-0.07	-0.06999967	0	0.3293614	-0.1285386	
0.3284	-0.07	-0.06999967	0	0.3296151	-0.1278866	
0.3288	-0.07	-0.06999967	0	0.3298675	-0.1272342	
0.3292	-0.07	-0.06999967	0	0.3301185	-0.1265815	
0.3296	-0.07	-0.06999973	0	0.3303682	-0.1259283	
0.33	-0.07	-0.06999973	0	0.3306166	-0.1252747	
0.3304	-0.07	-0.06999973	0	0.3308637	-0.1246208	
0.3308	-0.07	-0.06999973	0	0.3311094	-0.1239664	
0.3312	-0.07	-0.06999973	0	0.3313538	-0.1233117	
0.3316	-0.07	-0.06999978	0	0.3315968	-0.1226566	
0.332	-0.07	-0.06999978	0	0.3318385	-0.1220011	
0.3324	-0.07	-0.06999978	0	0.3320789	-0.1213453	
0.3328	-0.07	-0.06999978	0	0.3323179	-0.1206891	
0.3332	-0.07	-0.06999978	0	0.3325557	-0.1200326	
0.3336	-0.07	-0.06999983	0	0.332792	-0.1193757	
0.334	-0.07	-0.06999983	0	0.3330271	-0.1187185	
0.3344	-0.07	-0.06999983	0	0.3332607	-0.1180609	
0.3348	-0.07	-0.06999983	0	0.3334931	-0.1174031	
0.3352	-0.07	-0.06999983	0	0.3337241	-0.1167449	
0.3356	-0.07	-0.06999986	0	0.3339537	-0.1160863	
0.336	-0.07	-0.06999986	0	0.334182	-0.1154275	
0.3364	-0.07	-0.06999986	0	0.3344089	-0.1147684	
0.3368	-0.07	-0.06999986	0	0.3346345	-0.1141089	
0.3372	-0.07	-0.06999986	0	0.3348587	-0.1134492	
0.3376	-0.07	-0.06999989	0	0.3350817	-0.1127891	
0.338	-0.07	-0.06999989	0	0.3353032	-0.1121288	
0.3384	-0.07	-0.06999989	0	0.3355234	-0.1114682	
0.3388	-0.07	-0.06999989	0	0.3357422	-0.1108074	
0.3392	-0.07	-0.06999989	0	0.3359597	-0.1101462	
0.3396	-0.07	-0.06999991	0	0.3361758	-0.1094848	
0.34	-0.07	-0.06999991	0	0.3363906	-0.1088231	
0.3404	-0.07	-0.06999991	0	0.336604	-0.1081612	
0.3408	-0.07	-0.06999991	0	0.3368161	-0.107499	
0.3412	-0.07	-0.06999991	0	0.3370268	-0.1068366	
0.3416	-0.07	-0.06999993	0	0.3372361	-0.106174	
0.342	-0.07	-0.06999993	0	0.3374441	-0.1055111	
0.3424	-0.07	-0.06999993	0	0.3376507	-0.104848	
0.3428	-0.07	-0.06999993	0	0.337856	-0.1041847	
0.3432	-0.07	-0.06999993	0	0.3380599	-0.1035212	
0.3436	-0.07	-0.06999994	0	0.3382624	-0.1028574	
0.344	-0.07	-0.06999994	0	0.3384636	-0.1021935	
0.3444	-0.07	-0.06999994	0	0.3386634	-0.1015293	
0.3448	-0.07	-0.06999994	0	0.3388619	-0.100865	
0.3452	-0.07	-0.06999994	0	0.339059	-0.1002005	
0.3456	-0.07	-0.06999996	0	0.3392547	-0.09953575	
0.346	-0.07	-0.06999996	0	0.339449	-0.09887087	
0.3464	-0.07	-0.06999996	0	0.3396421	-0.0982058	
0.3468	-0.07	-0.06999996	0	0.3398337	-0.09754059	
0.3472	-0.07	-0.06999996	0	0.340024	-0.09687521	
0.3476	-0.07	-0.06999996	0	0.3402129	-0.09620968	
0.348	-0.07	-0.06999996	0	0.3404004	-0.095544	
0.3484	-0.07	-0.06999996	0	0.3405866	-0.09487818	
0.3488	-0.07	-0.06999996	0	0.3407714	-0.09421223	
0.3492	-0.07	-0.06999996	0	0.3409549	-0.09354613	
0.3496	-0.07	-0.06999997	0	0.341137	-0.09287991	
0.35	-0.07	-0.06999997	0	0.3413177	-0.09221357	
0.3504	-0.07	-0.06999997	0	0.3414971	-0.09154712	
0.3508	-0.07	-0.06999997	0	0.341675	-0.09088056	
0.3512	-0.07	-0.06999997	0	0.3418517	-0.09021389	
0.3516	-0.07	-0.06999998	0	0.3420269	-0.08954713	
0.352	-0.07	-0.06999998	0	0.3422008	-0.08888026	
0.3524	-0.07	-0.06999998	0	0.3423734	-0.08821332	
0.3528	-0.07	-0.06999998	0	0.3425446	-0.0875463	
0.3532	-0.07	-0.06999998	0	0.3427144	-0.08687919	
0.3536	-0.07	-0.06999999	0	0.3428828	-0.08621202	
0.354	-0.07	-0.06999999	0	0.3430499	-0.08554477	
0.3544	-0.07	-0.06999999	0	0.3432156	-0.08487748	
0.3548	-0.07	-0.06999999	0	0.3433799	-0.08421012	
0.3552	-0.07	-0.06999999	0	0.3435429	-0.08354271	
0.3556	-0.07	-0.06999999	0	0.3437046	-0.08287527	
0.356	-0.07	-0.06999999	0	0.3438648	-0.08220778	
0.3564	-0.07	-0.06999999	0	0.3440237	-0.08154026	
0.3568	-0.07	-0.06999999	0	0.3441813	-0.08087271	
