Time	LO	LOS	LeftOdor	OS	RO	ROS	RightOdor	
0.31	0.8281949	306.0613	306.0613	0	0.8893863	291.8342	291.8342	
0.311	0.8299749	306.3918	306.3918	0	0.8891246	291.5682	291.5682	
0.312	0.8299749	306.7224	306.7224	0	0.8891246	291.3022	291.3022	
0.313	0.8317589	307.0538	307.0538	0	0.8888363	291.0371	291.0371	
0.314	0.8317589	307.3853	307.3853	0	0.8888363	290.7721	290.7721	
0.315	0.833547	307.7174	307.7174	0	0.8885217	290.5083	290.5083	
0.316	0.833547	308.0497	308.0497	0	0.8885217	290.2444	290.2444	
0.317	0.8353391	308.3825	308.3825	0	0.8881818	289.9816	289.9816	
0.318	0.8353391	308.7154	308.7154	0	0.8881818	289.7189	289.7189	
0.319	0.8371353	309.0486	309.0486	0	0.8878171	289.4574	289.4574	
0.32	0.8371353	309.3821	309.3821	0	0.8878171	289.196	289.196	
0.321	0.8389354	309.7156	309.7156	0	0.8874282	288.936	288.936	
0.322	0.8389354	310.0493	310.0493	0	0.8874282	288.6759	288.6759	
0.323	0.8407397	310.3832	310.3832	0	0.8870158	288.4172	288.4172	
0.324	0.8407397	310.7172	310.7172	0	0.8870158	288.1586	288.1586	
0.325	0.8425479	311.0511	311.0511	0	0.8865805	287.9014	287.9014	
0.326	0.8425479	311.3851	311.3851	0	0.8865805	287.6444	287.6444	
0.327	0.84436	311.719	311.719	0	0.8861229	287.389	287.389	
0.328	0.84436	312.0529	312.0529	0	0.8861229	287.1336	287.1336	
0.329	0.8461759	312.3866	312.3866	0	0.8856438	286.8799	286.8799	
0.33	0.8461759	312.7203	312.7203	0	0.8856438	286.6262	286.6262	
0.331	0.8479956	313.0536	313.0536	0	0.8851438	286.3743	286.3743	
0.332	0.8479956	313.387	313.387	0	0.8851438	286.1223	286.1223	
0.333	0.8498189	313.7199	313.7199	0	0.8846233	285.8723	285.8723	
0.334	0.8498189	314.0529	314.0529	0	0.8846233	285.6223	285.6223	
0.335	0.8516457	314.385	314.385	0	0.8840832	285.3743	285.3743	
0.336	0.8516457	314.7173	314.7173	0	0.8840832	285.1263	285.1263	
0.337	0.8534759	315.0488	315.0488	0	0.8835239	284.8803	284.8803	
0.338	0.8534759	315.3804	315.3804	0	0.8835239	284.6344	284.6344	
0.339	0.8553093	315.711	315.711	0	0.8829463	284.3906	284.3906	
0.34	0.8553093	316.0416	316.0416	0	0.8829463	284.1468	284.1468	
0.341	0.8571458	316.3712	316.3712	0	0.8823508	283.9052	283.9052	
0.342	0.8571458	316.7009	316.7009	0	0.8823508	283.6637	283.6637	
0.343	0.8589851	317.0293	317.0293	0	0.8817381	283.4244	283.4244	
0.344	0.8589851	317.3578	317.3578	0	0.8817381	283.1852	283.1852	
0.345	0.8608272	317.6849	317.6849	0	0.8811088	282.9484	282.9484	
0.346	0.8608272	318.0121	318.0121	0	0.8811088	282.7116	282.7116	
0.347	0.8626717	318.3379	318.3379	0	0.8804635	282.4773	282.4773	
0.348	0.8626717	318.6637	318.6637	0	0.8804635	282.2429	282.2429	
0.349	0.8645186	318.9879	318.9879	0	0.8798028	282.0111	282.0111	
0.35	0.8645186	319.3121	319.3121	0	0.8798028	281.7794	281.7794	
0.351	0.8663675	319.6346	319.6346	0	0.8791274	281.5502	281.5502	
0.352	0.8663675	319.9572	319.9572	0	0.8791274	281.3212	281.3212	
0.353	0.8682182	320.278	320.278	0	0.8784379	281.0947	281.0947	
0.354	0.8682182	320.5987	320.5987	0	0.8784379	280.8683	280.8683	
0.355	0.8700705	320.9176	320.9176	0	0.8777348	280.6447	280.6447	
0.356	0.8700705	321.2364	321.2364	0	0.8777348	280.4211	280.4211	
0.357	0.8719242	321.5531	321.5531	0	0.8770188	280.2004	280.2004	
0.358	0.8719242	321.8699	321.8699	0	0.8770188	279.9797	279.9797	
0.359	0.8737788	322.1845	322.1845	0	0.8762904	279.762	279.762	
