Time	A4	A4Ia	
0.836	0.07252856	1.435264E-08	
0.8380001	0.07254852	1.435264E-08	
0.84	0.07256807	1.435264E-08	
0.8420001	0.07258723	1.435264E-08	
0.844	0.07260602	1.435264E-08	
0.846	0.07262442	1.435264E-08	
0.848	0.07264247	1.435264E-08	
0.85	0.07266014	1.435264E-08	
0.8520001	0.07267747	1.435264E-08	
0.854	0.07269444	1.435264E-08	
0.8560001	0.07271109	1.435264E-08	
0.858	0.07272739	1.435264E-08	
0.86	0.07274336	1.435264E-08	
0.862	0.07275902	1.435264E-08	
0.864	0.07277437	1.435264E-08	
0.8660001	0.07278941	1.435264E-08	
0.868	0.07280415	1.435264E-08	
0.8700001	0.07281858	1.435264E-08	
0.872	0.07283274	1.435264E-08	
0.874	0.07284661	1.435264E-08	
0.876	0.0728602	1.435264E-08	
0.878	0.07287353	1.435264E-08	
0.8800001	0.07288658	1.435264E-08	
0.882	0.07289938	1.435264E-08	
0.8840001	0.07291193	1.435264E-08	
0.886	0.07292422	1.435264E-08	
0.8880001	0.07293626	1.435264E-08	
0.89	0.07294806	1.435264E-08	
0.892	0.07295962	1.435264E-08	
0.8940001	0.07297096	1.435264E-08	
0.896	0.07298208	1.435264E-08	
0.8980001	0.07299297	1.435264E-08	
0.9	0.07300364	1.435264E-08	
0.9020001	0.0730141	1.435264E-08	
0.904	0.07302435	1.435264E-08	
0.906	0.0730344	1.435264E-08	
0.9080001	0.07304423	1.435264E-08	
0.91	0.07305387	1.435264E-08	
0.9120001	0.07306332	1.435264E-08	
0.914	0.07307259	1.435264E-08	
0.9160001	0.07308166	1.435264E-08	
0.918	0.07309056	1.435264E-08	
0.92	0.07309928	1.435264E-08	
0.9220001	0.07310782	1.435264E-08	
0.924	0.07311619	1.435264E-08	
0.9260001	0.0731244	1.435264E-08	
0.928	0.07313245	1.435264E-08	
0.9300001	0.07314033	1.435264E-08	
0.932	0.07314805	1.435264E-08	
0.934	0.07315562	1.435264E-08	
0.936	0.07316304	1.435264E-08	
0.938	0.07317031	1.435264E-08	
0.9400001	0.07317743	1.435264E-08	
0.942	0.07318441	1.435264E-08	
0.9440001	0.07319125	1.435264E-08	
0.946	0.07319795	1.435264E-08	
0.9480001	0.07320452	1.435264E-08	
0.95	0.07321096	1.435264E-08	
0.952	0.07321727	1.435264E-08	
0.9540001	0.07322345	1.435264E-08	
0.956	0.07322951	1.435264E-08	
0.9580001	0.07323546	1.435264E-08	
0.96	0.07324129	1.435264E-08	
0.9620001	0.07324699	1.435264E-08	
0.964	0.07325258	1.435264E-08	
0.966	0.07325806	1.435264E-08	
0.9680001	0.07326343	1.435264E-08	
0.97	0.07326869	1.435264E-08	
0.9720001	0.07327385	1.435264E-08	
0.974	0.0732789	1.435264E-08	
0.9760001	0.07328384	1.435264E-08	
0.978	0.0732887	1.435264E-08	
0.98	0.07329345	1.435264E-08	
0.9820001	0.07329812	1.435264E-08	
0.984	0.07330268	1.435264E-08	
0.9860001	0.07330715	1.435264E-08	
0.988	0.07331153	1.435264E-08	
0.9900001	0.07331582	1.435264E-08	
0.992	0.07332004	1.435264E-08	
0.994	0.07332417	1.435264E-08	
0.9960001	0.0733282	1.435264E-08	
0.998	0.07333217	1.435264E-08	
1	0.07333606	1.435264E-08	
1.002	0.07333987	4.198417E-09	
1.004	0.07131276	3.523321E-27	
1.006	0.0684865	3.522904E-27	
1.008	0.06571678	3.52307E-27	
1.01	0.06300244	3.523108E-27	
1.012	0.06034239	3.523116E-27	
1.014	0.05773554	3.523118E-27	
1.016	0.05518083	3.523119E-27	
1.018	0.05267721	3.52312E-27	
1.02	0.05022366	3.52312E-27	
1.022	0.04781919	3.523121E-27	
1.024	0.04546281	3.523121E-27	
1.026	0.04315355	3.523121E-27	
1.028	0.04089049	3.523122E-27	
1.03	0.03867268	3.523122E-27	
1.032	0.03649922	3.523122E-27	
1.034	0.03436924	3.523122E-27	
1.036	0.03228185	3.523122E-27	
1.038	0.03023621	3.523121E-27	
1.04	0.02823149	3.523121E-27	
1.042	0.02626686	3.523122E-27	
1.044	0.02434152	3.523122E-27	
1.046	0.02245469	3.523122E-27	
1.048	0.0206056	3.523122E-27	
1.05	0.01879349	3.523122E-27	
1.052	0.01701762	3.523122E-27	
1.054	0.01527727	3.523122E-27	
1.056	0.01357172	3.523122E-27	
1.058	0.01190029	3.523122E-27	
1.06	0.01026229	3.523122E-27	
1.062	0.008657046	3.523122E-27	
1.064	0.007083908	3.523122E-27	
1.066	0.005542226	3.523122E-27	
1.068	0.004031383	3.523122E-27	
1.07	0.002550758	3.523122E-27	
1.072	0.001099743	3.523122E-27	
1.074	-0.0003222525	3.523122E-27	
1.076	-0.001715809	3.523122E-27	
1.078	-0.003081493	3.523122E-27	
1.08	-0.004419863	3.523122E-27	
1.082	-0.005731463	3.523122E-27	
1.084	-0.007016838	3.523122E-27	
1.086	-0.0082765	3.523122E-27	
1.088	-0.009510972	3.523122E-27	
1.09	-0.01072075	3.523122E-27	
1.092	-0.01190634	3.523122E-27	
1.094	-0.01306821	3.523122E-27	
1.096	-0.01420685	3.523122E-27	
1.098	-0.01532271	3.523122E-27	
1.1	-0.01641625	3.523122E-27	
1.102	-0.01748793	3.523122E-27	
1.104	-0.01853817	3.523122E-27	
1.106	-0.01956741	3.523122E-27	
1.108	-0.02057606	3.523122E-27	
1.11	-0.02156454	3.523122E-27	
1.112	-0.02253325	3.523122E-27	
1.114	-0.02348258	3.523122E-27	
1.116	-0.02441293	3.523122E-27	
1.118	-0.02532467	3.523122E-27	
1.12	-0.02621818	3.523122E-27	
1.122	-0.02709382	3.523122E-27	
1.124	-0.02795194	3.523122E-27	
1.126	-0.0287929	3.523122E-27	
1.128	-0.02961705	3.523122E-27	
1.13	-0.0304247	3.523122E-27	
1.132	-0.03121621	3.523122E-27	
1.134	-0.03199188	3.523122E-27	
1.136	-0.03275205	3.523122E-27	
1.138	-0.03349701	3.523122E-27	
1.14	-0.03422707	3.523122E-27	
1.142	-0.03494252	3.523122E-27	
1.144	-0.03564367	3.523122E-27	
1.146	-0.0363308	3.523122E-27	
1.148	-0.03700418	3.523122E-27	
