Time	FF_1	FF_2	Vm_2	Vm_1	Ie_1	Ii_2	
0.6020001	0.4799931	0	-0.03998586	0.03199954	0	5E-09	
0.604	0.3839945	0	-0.03638848	0.02559963	0	5E-09	
0.606	0.3071955	0	-0.03063062	0.0204797	0	5E-09	
0.608	0.2457564	0	-0.02372036	0.01638376	0	5E-09	
0.61	0.1966051	0	-0.01634898	0.01310701	0	5E-09	
0.612	0.1572841	0	-0.008977338	0.01048561	0	5E-09	
0.614	0.1258273	0	-0.001900393	0.008388486	0	5E-09	
0.6160001	0.1006618	0.04704867	0.004704867	0.006710788	0	5E-09	
0.618	0.08052946	0.1074404	0.01074404	0.00536863	0	5E-09	
0.62	0.06442356	0.1617935	0.01617935	0.004294904	0	5E-09	
0.622	0.05153885	0.2101077	0.02101077	0.003435923	0	5E-09	
0.624	0.04123108	0.2526245	0.02526245	0.002748739	0	5E-09	
0.626	0.03298486	0.2897303	0.02897303	0.002198991	0	5E-09	
0.628	0.02638789	0.3218888	0.03218888	0.001759193	0	5E-09	
0.6300001	0.02111031	0.3495947	0.03495947	0.001407354	0	5E-09	
0.632	0.01688825	0.3733426	0.03733426	0.001125883	0	5E-09	
0.634	0.0135106	0.3936076	0.03936076	0.0009007066	0	5E-09	
0.636	0.01080848	0.4108329	0.04108329	0.0007205653	0	5E-09	
0.638	0.008646783	0.4254238	0.04254238	0.0005764522	0	5E-09	
0.64	0.006917427	0.437745	0.0437745	0.0004611618	0	5E-09	
0.642	0.005533941	0.4481208	0.04481208	0.0003689294	0	5E-09	
0.6440001	0.004427153	0.4568364	0.04568364	0.0002951435	0	5E-09	
0.646	0.003541722	0.464141	0.0464141	0.0002361148	0	5E-09	
0.648	0.002833378	0.4702502	0.04702502	0.0001888918	0	5E-09	
0.65	0.002266702	0.4753502	0.04753502	0.0001511135	0	5E-09	
0.652	0.001813361	0.4796001	0.04796001	0.0001208908	0	5E-09	
0.654	0.001450689	0.4831361	0.04831361	9.671261E-05	0	5E-09	
0.656	0.001160551	0.4860737	0.04860737	7.737009E-05	0	5E-09	
0.6580001	0.0009284411	0.4885108	0.04885108	6.189607E-05	0	5E-09	
0.66	0.0007427528	0.4905301	0.04905301	4.951685E-05	0	5E-09	
0.6620001	0.0005942023	0.4922012	0.04922012	3.961348E-05	0	5E-09	
0.664	0.0004753618	0.4935827	0.04935827	3.169079E-05	0	5E-09	
0.666	0.0003802894	0.4947236	0.04947235	2.535263E-05	0	5E-09	
0.668	0.0003042315	0.4956647	0.04956647	2.02821E-05	0	5E-09	
0.67	0.0002433852	0.4964405	0.04964405	1.622568E-05	0	5E-09	
0.6720001	0.0001947082	0.4970794	0.04970794	1.298054E-05	0	5E-09	
0.674	0.0001557665	0.4976051	0.04976051	1.038444E-05	0	5E-09	
0.6760001	0.0001246132	0.4980374	0.04980374	8.307548E-06	0	5E-09	
0.678	9.969057E-05	0.4983925	0.04983925	6.646038E-06	0	5E-09	
0.68	7.975246E-05	0.4986841	0.04986841	5.316831E-06	0	5E-09	
0.682	6.380196E-05	0.4989234	0.04989234	4.253464E-06	0	5E-09	
0.684	5.104157E-05	0.4991195	0.04991195	3.402771E-06	0	5E-09	
0.686	4.083326E-05	0.4992803	0.04992803	2.722217E-06	0	5E-09	
0.688	3.26666E-05	0.499412	0.0499412	2.177774E-06	0	5E-09	
0.6900001	2.613328E-05	0.4995198	0.04995198	1.742219E-06	0	5E-09	
0.692	2.090663E-05	0.499608	0.0499608	1.393775E-06	0	5E-09	
0.694	1.67253E-05	0.4996801	0.04996801	1.11502E-06	0	5E-09	
0.696	1.338024E-05	0.4997391	0.04997391	8.92016E-07	0	5E-09	
0.698	1.070419E-05	0.4997873	0.04997873	7.136128E-07	0	5E-09	
0.7	8.563355E-06	0.4998266	0.04998266	5.708903E-07	6E-09	5E-09	
0.702	0.1800069	0.4998587	0.04998587	0.01200046	6E-09	5E-09	
0.7040001	0.3240055	0.4458849	0.04458849	0.02160037	6E-09	5E-09	
0.706	0.4392044	0.3595063	0.03595063	0.02928029	6E-09	5E-09	
0.708	0.5313635	0.2558437	0.02558437	0.03542424	6E-09	5E-09	
0.71	0.6050908	0.1452659	0.01452659	0.04033939	6E-09	5E-09	
0.712	0.6640726	0.03468548	0.003468548	0.04427151	6E-09	5E-09	
0.714	0.7112581	0	-0.00714734	0.04741721	6E-09	5E-09	
0.716	0.7490065	0	-0.01705562	0.04993377	6E-09	5E-09	
0.7180001	0.7792053	0	-0.02611469	0.05194702	6E-09	5E-09	
0.72	0.8033642	0	-0.03426791	0.05355761	6E-09	5E-09	
0.7220001	0.8226913	0	-0.04151525	0.05484609	6E-09	5E-09	
0.724	0.8381531	0	-0.04789294	0.05587687	6E-09	5E-09	
