Time	Eat	Energy	Food_Near	Mouth	OdorSensor	
0.1492	0.4370904	10109.7	0.7757515	0.002185452	6058.37	
0.1496	0.4370904	10109.5	0.7757515	0.002185452	6057.026	
0.15	0.4438636	10109.3	0.7802365	0.002185452	6055.673	
0.1504	0.4438636	10109.1	0.7802365	0.002219318	6054.311	
0.1508	0.4438636	10108.9	0.7802365	0.002219318	6052.937	
0.1512	0.4438636	10108.7	0.7802365	0.002219318	6051.555	
0.1516	0.4438636	10108.5	0.7802365	0.002219318	6050.161	
0.152	0.4505911	10108.3	0.7846317	0.002219318	6048.758	
0.1524	0.4505911	10108.1	0.7846317	0.002252955	6047.345	
0.1528	0.4505911	10107.9	0.7846317	0.002252955	6045.921	
0.1532	0.4505911	10107.7	0.7846317	0.002252955	6044.487	
0.1536	0.4505911	10107.5	0.7846317	0.002252955	6043.045	
0.154	0.4572719	10107.3	0.7889391	0.002252955	6041.59	
0.1544	0.4572719	10107.1	0.7889391	0.00228636	6040.125	
0.1548	0.4572719	10106.9	0.7889391	0.00228636	6038.649	
0.1552	0.4572719	10106.7	0.7889391	0.00228636	6037.164	
0.1556	0.4572719	10106.5	0.7889391	0.00228636	6035.667	
0.156	0.4639053	10106.3	0.7931603	0.00228636	6034.161	
0.1564	0.4639053	10106.1	0.7931603	0.002319526	6032.645	
0.1568	0.4639053	10105.9	0.7931603	0.002319526	6031.118	
0.1572	0.4639053	10105.7	0.7931603	0.002319526	6029.579	
0.1576	0.4639053	10105.5	0.7931603	0.002319526	6028.03	
0.158	0.4704903	10105.3	0.7972971	0.002319526	6026.471	
0.1584	0.4704903	10105.1	0.7972971	0.002352452	6024.901	
0.1588	0.4704903	10104.9	0.7972971	0.002352452	6023.32	
0.1592	0.4704903	10104.7	0.7972971	0.002352452	6021.729	
0.1596	0.4704903	10104.5	0.7972971	0.002352452	6020.126	
0.16	0.4770265	10104.3	0.8013511	0.002352452	6018.512	
0.1604	0.4770265	10104.1	0.8013511	0.002385132	6016.889	
0.1608	0.4770265	10103.9	0.8013511	0.002385132	6015.254	
0.1612	0.4770265	10103.7	0.8013511	0.002385132	6013.608	
0.1616	0.4770265	10103.5	0.8013511	0.002385132	6011.951	
0.162	0.4835129	10103.3	0.8053241	0.002385132	6010.284	
0.1624	0.4835129	10103.1	0.8053241	0.002417565	6008.604	
