Time	A	B	BVth	AVth	
1.0056	0.3519734	0.3638988	0.1621382	0.1635146	
1.008	0.3501974	0.3619987	0.1623575	0.1637179	
1.0104	0.3493165	0.361056	0.1624662	0.1638186	
1.0128	0.3484402	0.3601183	0.1625743	0.1639187	
1.0152	0.3475688	0.3591856	0.1626817	0.1640182	
1.0176	0.3467017	0.3582577	0.1627885	0.1641172	
1.02	0.3449818	0.3564163	0.1630002	0.1643133	
1.0224	0.3441288	0.355503	0.1631051	0.1644105	
1.0248	0.3432802	0.3545945	0.1632094	0.1645071	
1.0272	0.3424363	0.3536907	0.1633131	0.1646032	
1.0296	0.3415967	0.3527917	0.1634161	0.1646987	
1.032	0.3399312	0.3510082	0.1636205	0.1648879	
1.0344	0.3391052	0.3501233	0.1637217	0.1649817	
1.0368	0.3382837	0.3492433	0.1638224	0.1650749	
1.0392	0.3374666	0.3483678	0.1639225	0.1651676	
1.0416	0.3366541	0.3474971	0.164022	0.1652597	
1.044	0.3350418	0.3457694	0.1642192	0.1654423	
1.0464	0.3342422	0.3449125	0.1643169	0.1655328	
1.0488	0.333447	0.3440603	0.164414	0.1656228	
1.0512	0.332656	0.3432126	0.1645106	0.1657122	
1.0536	0.3318694	0.3423693	0.1646066	0.1658011	
1.056	0.3303088	0.3406963	0.1647969	0.1659773	
1.0584	0.329535	0.3398669	0.1648912	0.1660646	
1.0608	0.3287653	0.3390417	0.164985	0.1661514	
1.0632	0.3279998	0.3382207	0.1650781	0.1662376	
1.0656	0.3272388	0.3374043	0.1651708	0.1663234	
1.068	0.3257287	0.3357847	0.1653544	0.1664933	
1.0704	0.3249799	0.3349813	0.1654454	0.1665776	
1.0728	0.3242352	0.3341825	0.1655359	0.1666613	
1.0752	0.3234947	0.333388	0.1656258	0.1667445	
1.0776	0.3227581	0.3325979	0.1657152	0.1668272	
1.08	0.3212974	0.3310302	0.1658923	0.1669911	
1.0824	0.320573	0.3302526	0.1659801	0.1670723	
1.0848	0.3198525	0.3294793	0.1660674	0.1671531	
1.0872	0.3191361	0.3287102	0.1661541	0.1672333	
1.0896	0.3184235	0.3279456	0.1662404	0.1673131	
1.092	0.3170104	0.3264284	0.1664113	0.1674712	
1.0944	0.3163096	0.3256761	0.166496	0.1675496	
1.0968	0.3156129	0.3249277	0.1665802	0.1676275	
1.0992	0.3149199	0.3241837	0.1666638	0.1677049	
1.1016	0.3142308	0.3234437	0.166747	0.1677818	
1.104	0.3128642	0.3219759	0.1669119	0.1679343	
1.1064	0.3121866	0.3212482	0.1669936	0.1680098	
1.1088	0.3115127	0.3205243	0.1670748	0.1680849	
1.1112	0.3108429	0.3198045	0.1671555	0.1681596	
1.1136	0.3101765	0.3190887	0.1672357	0.1682338	
1.116	0.3088548	0.3176687	0.1673947	0.1683808	
1.1184	0.3081996	0.3169646	0.1674735	0.1684537	
1.1208	0.307548	0.3162644	0.1675518	0.1685261	
1.1232	0.3069003	0.3155681	0.1676297	0.1685981	
1.1256	0.3062559	0.3148757	0.1677071	0.1686696	
