Time	Rotation	
0.9848	-1.927815E-11	
0.9852	-1.927815E-11	
0.9856	-1.927815E-11	
0.986	-1.927815E-11	
0.9863999	-1.927825E-11	
0.9868	-1.927835E-11	
0.9872	-1.927835E-11	
0.9876	-1.927835E-11	
0.988	-1.927845E-11	
0.9884	-1.927845E-11	
0.9888	-1.927854E-11	
0.9892	-1.927854E-11	
0.9896	-1.927854E-11	
0.9899999	-1.927864E-11	
0.9904	-1.927864E-11	
0.9908	-1.927854E-11	
0.9912	-1.927854E-11	
0.9916	-1.927864E-11	
0.992	-1.927864E-11	
0.9924	-1.927864E-11	
0.9928	-1.927864E-11	
0.9932	-1.927874E-11	
0.9936	-1.927874E-11	
0.994	-1.927874E-11	
0.9944	-1.927874E-11	
0.9948	-1.927884E-11	
0.9952	-1.927874E-11	
0.9956	-1.927874E-11	
0.996	-1.927874E-11	
0.9964	-1.927874E-11	
0.9967999	-1.927874E-11	
0.9972	-1.927874E-11	
0.9976	-1.927874E-11	
0.998	-1.927874E-11	
0.9984	-1.927874E-11	
0.9988	-1.927874E-11	
0.9992	-1.927884E-11	
0.9996	-1.927874E-11	
1	-1.927884E-11	
1.0004	-1.927884E-11	
1.0008	4.568415E-07	
1.0012	1.223121E-06	
1.0016	2.262663E-06	
1.002	3.566116E-06	
1.0024	5.130406E-06	
1.0028	6.953868E-06	
1.0032	9.035078E-06	
1.0036	1.13725E-05	
1.004	1.396445E-05	
1.0044	1.680912E-05	
1.0048	1.990456E-05	
1.0052	2.324867E-05	
1.0056	2.683921E-05	
1.006	3.067375E-05	
1.0064	3.47497E-05	
1.0068	3.906438E-05	
1.0072	4.361494E-05	
1.0076	4.839837E-05	
1.008	5.341159E-05	
1.0084	5.865133E-05	
1.0088	6.411417E-05	
1.0092	6.979662E-05	
1.0096	7.569503E-05	
1.01	8.180559E-05	
1.0104	8.81244E-05	
1.0108	9.46474E-05	
1.0112	0.0001013705	
1.0116	0.0001082895	
1.012	0.0001153999	
1.0124	0.0001226973	
1.0128	0.0001301771	
1.0132	0.0001378345	
1.0136	0.0001456649	
1.014	0.0001536632	
1.0144	0.0001618246	
1.0148	0.0001701439	
1.0152	0.000178616	
1.0156	0.0001872357	
1.016	0.0001959975	
1.0164	0.0002048962	
1.0168	0.0002139262	
1.0172	0.000223082	
1.0176	0.0002323579	
1.018	0.0002417483	
1.0184	0.0002512475	
1.0188	0.0002608495	
1.0192	0.0002705486	
1.0196	0.0002803389	
1.02	0.0002902143	
1.0204	0.0003001689	
1.0208	0.0003101967	
1.0212	0.0003202917	
1.0216	0.0003304477	
1.022	0.0003406586	
1.0224	0.0003509182	
1.0228	0.0003612204	
1.0232	0.0003715591	
1.0236	0.0003819281	
1.024	0.000392321	
1.0244	0.0004027318	
1.0248	0.0004131541	
1.0252	0.0004235819	
1.0256	0.0004340089	
1.026	0.0004444289	
1.0264	0.0004548358	
1.0268	0.0004652234	
1.0272	0.0004755857	
1.0276	0.0004859164	
1.028	0.0004962096	
1.0284	0.0005064592	
1.0288	0.0005166591	
1.0292	0.0005268034	
1.0296	0.0005368862	
1.03	0.0005469017	
1.0304	0.0005568439	
1.0308	0.0005667072	
1.0312	0.0005764858	
1.0316	0.0005861741	
1.032	0.0005957665	
1.0324	0.0006052576	
1.0328	0.0006146416	
1.0332	0.0006239135	
1.0336	0.0006330678	
1.034	0.0006420994	
1.0344	0.000651003	
1.0348	0.0006597737	
1.0352	0.0006684064	
1.0356	0.0006768963	
1.036	0.0006852387	
1.0364	0.0006934288	
1.0368	0.000701462	
1.0372	0.0007093339	
1.0376	0.0007170401	
1.038	0.0007245764	
1.0384	0.0007319385	
1.0388	0.0007391223	
1.0392	0.0007461241	
1.0396	0.0007529398	
1.04	0.000759566	
1.0404	0.0007659989	
1.0408	0.0007722352	
1.0412	0.0007782714	
1.0416	0.0007841043	
1.042	0.0007897309	
1.0424	0.000795148	
1.0428	0.000800353	
1.0432	0.0008053431	
1.0436	0.0008101159	
1.044	0.0008146688	
1.0444	0.0008189997	
1.0448	0.0008231062	
1.0452	0.0008269864	
1.0456	0.0008306385	
1.046	0.0008340605	
1.0464	0.000837251	
1.0468	0.0008402085	
1.0472	0.0008429316	
1.0476	0.0008454192	
1.048	0.0008476704	
1.0484	0.000849684	
1.0488	0.0008514594	
1.0492	0.000852996	
1.0496	0.0008542932	
1.05	0.0008553509	
1.0504	0.0008561688	
