Time	Length	Velocity	
5.76	0.3361166	-0.0002384186	
5.761	0.3361164	-0.0001788139	
5.762	0.3361162	-0.0002086163	
5.763	0.336116	-0.0002086163	
5.764	0.3361157	-0.0002086163	
5.765	0.3361155	-0.0002086163	
5.766	0.3361153	-0.0002086163	
5.767	0.3361151	-0.0002384186	
5.768	0.3361149	-0.0002086163	
5.769	0.3361147	-0.0002086163	
5.77	0.3361145	-0.0001788139	
5.771	0.3361143	-0.0002384186	
5.772	0.3361141	-0.0001490116	
5.773	0.3361138	-0.0002682209	
5.774	0.3361137	-0.0001788139	
5.775	0.3361134	-0.0002384186	
5.776	0.3361132	-0.0001788139	
5.777	0.3361131	-0.0001788139	
5.778	0.3361128	-0.0002682209	
5.779	0.3361126	-0.0001788139	
