Time	1	2	3	
0.107	-0.03732212	-0.06	-0.0227562	
0.1075	-0.0368451	-0.06	0	
0.108	-0.03638239	-0.06	-0.02485477	
0.1085	-0.03593692	-0.06	-0.02530245	
0.109	-0.03551075	-0.06	-0.02501534	
0.1095	-0.03510525	-0.06	-0.02450192	
0.11	-0.03472123	-0.06	0	
0.1105	-0.03435904	-0.06	-0.02656074	
0.111	-0.03401867	-0.06	-0.02710682	
0.1115	-0.03369984	-0.06	-0.02688084	
0.112	-0.03340206	-0.06	-0.02638339	
0.1125	-0.03312463	-0.06	0	
0.113	0	-0.06	-0.02838813	
0.1135	-0.03600301	-0.06	-0.02054023	
0.114	-0.03810672	-0.06	-0.01861712	
0.1145	-0.03948116	-0.06	-0.01787717	
0.115	-0.04033131	-0.06	0	
0.1155	-0.04079944	-0.06	-0.0198419	
0.116	-0.04098679	-0.06	-0.01988461	
0.1165	-0.04096697	-0.06	-0.01947028	
0.117	-0.04079454	-0.06	-0.01900526	
0.1175	-0.04051059	-0.06	0	
0.118	-0.04014654	-0.06	-0.02110534	
0.1185	-0.03972659	-0.06	-0.02126482	
0.119	-0.03926959	-0.06	-0.02086793	
0.1195	-0.03879023	-0.06	-0.0203736	
0.12	-0.03829999	-0.06	0	
0.1205	-0.03780782	-0.06	-0.02249314	
0.121	-0.03732065	-0.06	-0.02276976	
0.1215	-0.03684378	-0.06	-0.02240602	
0.122	-0.0363812	-0.06	-0.0218938	
0.1225	-0.03593585	-0.06	0	
0.123	-0.03550978	-0.06	-0.02400563	
0.1235	-0.03510437	-0.06	-0.02439636	
0.124	-0.03472043	-0.06	-0.02407986	
0.1245	-0.03435832	-0.06	-0.0235632	
0.125	-0.03401802	-0.06	0	
0.1255	-0.03369925	-0.06	-0.025645	
0.126	-0.03340152	-0.06	-0.02614078	
0.1265	-0.03312415	-0.06	-0.02588179	
0.127	0	-0.06	-0.02537434	
0.1275	-0.03600265	-0.06	0	
0.128	-0.03810642	-0.06	-0.01860821	
0.1285	-0.03948091	-0.06	-0.01830587	
0.129	-0.04033109	-0.06	-0.01785695	
0.1295	-0.04079926	-0.06	-0.0174357	
0.13	-0.04098663	-0.06	0	
0.1305	-0.04096683	-0.06	-0.01946247	
0.131	-0.04079442	-0.06	-0.01947538	
0.1315	-0.04051049	-0.06	-0.01906028	
0.132	-0.04014645	-0.06	-0.01860668	
0.1325	-0.03972651	-0.06	0	
0.133	-0.03926951	-0.06	-0.02069461	
0.1335	-0.03879016	-0.06	-0.02081781	
0.134	-0.03829993	-0.06	-0.02041388	
0.1345	-0.03780777	-0.06	-0.01992768	
0.135	-0.0373206	-0.06	0	
0.1355	-0.03684374	-0.06	-0.02204425	
0.136	-0.03638116	-0.06	-0.0222841	
0.1365	-0.03593581	-0.06	-0.02190829	
0.137	-0.03550974	-0.06	-0.02140029	
0.1375	-0.03510434	-0.06	0	
0.138	-0.03472041	-0.06	-0.02351719	
0.1385	-0.03435829	-0.06	-0.02387282	
0.139	-0.034018	-0.06	-0.02354018	
0.1395	-0.03369923	-0.06	-0.02302342	
0.14	-0.0334015	-0.06	0	
0.1405	-0.03597715	-0.06	-0.02511673	
0.141	-0.03829825	-0.06	-0.02558081	
0.1415	-0.04039111	-0.06	-0.02530292	
0.142	-0.04227904	-0.06	-0.02479116	
0.1425	-0.04398279	-0.06	0	
0.143	-0.04552084	-0.06	-0.02684219	
0.1435	-0.04690974	-0.06	-0.0274025	
0.144	-0.04816425	-0.06	-0.02718662	
0.1445	-0.04929764	-0.06	-0.02669278	
0.145	-0.05032178	-0.06	0	
0.1455	-0.05124735	-0.06	-0.02868791	
0.146	-0.05208397	-0.06	-0.02932909	
0.1465	-0.05284027	-0.06	-0.02917812	
