Time	Ax	Fx	Px	Vx	
0.2505	-0.9810001	0	0.2709211	1.759295	
0.251	-0.9810001	0	0.2718005	1.758805	
0.2515	-0.9810001	0	0.2726797	1.758314	
0.252	-0.9810001	0	0.2735586	1.757824	
0.2525	-0.9810001	0	0.2744372	1.757334	
0.253	-0.9810001	0	0.2753156	1.756843	
0.2535	-0.9810001	0	0.2761938	1.756353	
0.254	-0.9810001	0	0.2770718	1.755862	
0.2545	-0.9810001	0	0.2779495	1.755371	
0.255	-0.9810001	0	0.2788269	1.754881	
0.2555	-0.9810001	0	0.2797041	1.75439	
0.256	-0.9810001	0	0.280581	1.7539	
0.2565	-0.9810001	0	0.2814578	1.75341	
0.257	-0.9810001	0	0.2823342	1.752919	
0.2575	-0.9810001	0	0.2832104	1.752429	
0.258	-0.9810001	0	0.2840864	1.751938	
0.2585	-0.9810001	0	0.2849621	1.751447	
0.259	-0.9810001	0	0.2858376	1.750957	
0.2595	-0.9810001	0	0.2867128	1.750466	
0.26	-0.9810001	0	0.2875878	1.749976	
0.2605	-0.9810001	0	0.2884625	1.749485	
0.261	-0.9810001	0	0.289337	1.748995	
0.2615	-0.9810001	0	0.2902113	1.748505	
0.262	-0.9810001	0	0.2910853	1.748014	
0.2625	-0.9810001	0	0.2919591	1.747524	
0.263	-0.9810001	0	0.2928326	1.747033	
0.2635	-0.9810001	0	0.2937059	1.746542	
0.264	-0.9810001	0	0.2945789	1.746052	
0.2645	-0.9810001	0	0.2954517	1.745561	
0.265	-0.9810001	0	0.2963242	1.745071	
0.2655	-0.9810001	0	0.2971965	1.744581	
0.266	-0.9810001	0	0.2980685	1.74409	
0.2665	-0.9810001	0	0.2989403	1.7436	
0.267	-0.9810001	0	0.2998119	1.743109	
0.2675	-0.9810001	0	0.3006832	1.742618	
0.268	-0.9810001	0	0.3015543	1.742128	
0.2685	-0.9810001	0	0.3024251	1.741637	
0.269	-0.9810001	0	0.3032956	1.741147	
0.2695	-0.9810001	0	0.304166	1.740656	
0.27	-0.9810001	0	0.3050361	1.740166	
0.2705	-0.9810001	0	0.3059059	1.739676	
0.271	-0.9810001	0	0.3067755	1.739185	
0.2715	-0.9810001	0	0.3076448	1.738695	
0.272	-0.9810001	0	0.3085139	1.738204	
0.2725	-0.9810001	0	0.3093828	1.737713	
0.273	-0.9810001	0	0.3102514	1.737223	
0.2735	-0.9810001	0	0.3111198	1.736732	
0.274	-0.9810001	0	0.3119879	1.736242	
0.2745	-0.9810001	0	0.3128558	1.735752	
0.275	-0.9810001	0	0.3137234	1.735261	
0.2755	-0.9810001	0	0.3145908	1.734771	
0.276	-0.9810001	0	0.3154579	1.73428	
0.2765	-0.9810001	0	0.3163248	1.733789	
0.277	-0.9810001	0	0.3171915	1.733299	
0.2775	-0.9810001	0	0.3180579	1.732808	
0.278	-0.9810001	0	0.318924	1.732318	
0.2785	-0.9810001	0	0.3197899	1.731827	
0.279	-0.9810001	0	0.3206556	1.731337	
0.2795	-0.9810001	0	0.321521	1.730847	
0.28	-0.9810001	0	0.3223862	1.730356	
0.2805	-0.9810001	0	0.3232512	1.729866	
0.281	-0.9810001	0	0.3241158	1.729375	
0.2815	-0.9810001	0	0.3249803	1.728884	
0.282	-0.9810001	0	0.3258445	1.728394	
0.2825	-0.9810001	0	0.3267084	1.727903	
0.283	-0.9810001	0	0.3275721	1.727413	
0.2835	-0.9810001	0	0.3284356	1.726923	
0.284	-0.9810001	0	0.3292988	1.726432	
0.2845	-0.9810001	0	0.3301618	1.725942	
0.285	-0.9810001	0	0.3310245	1.725451	
0.2855	-0.9810001	0	0.331887	1.72496	
0.286	-0.9810001	0	0.3327492	1.72447	
0.2865	-0.9810001	0	0.3336112	1.723979	
0.287	-0.9810001	0	0.334473	1.723489	
0.2875	-0.9810001	0	0.3353345	1.722998	
0.288	-0.9810001	0	0.3361957	1.722508	
0.2885	-0.9810001	0	0.3370567	1.722018	
0.289	-0.9810001	0	0.3379175	1.721527	
0.2895	-0.9810001	0	0.338778	1.721037	
0.29	-0.9810001	0	0.3396383	1.720546	
0.2905	-0.9810001	0	0.3404983	1.720055	
0.291	-0.9810001	0	0.3413581	1.719565	
0.2915	-0.9810001	0	0.3422176	1.719074	
0.292	-0.9810001	0	0.3430769	1.718584	
0.2925	-0.9810001	0	0.343936	1.718094	
