Time	MV	Muscle2	Len	
0.07979999	-0.07427122	4.726586	-0.04534632	
0.08	-0.07434463	4.726586	-0.04534346	
0.0802	-0.07441781	4.726586	-0.04534071	
0.0804	-0.0744908	4.726586	-0.04533807	
0.0806	-0.07456358	4.726586	-0.04533554	
0.0808	-0.07463615	4.725781	-0.0453331	
0.081	-0.07470851	4.725781	-0.04533079	
0.0812	-0.07478067	4.725781	-0.04532858	
0.0814	-0.07485262	4.725781	-0.04532644	
0.0816	-0.07492437	4.725781	-0.04532439	
0.0818	-0.07499591	4.723418	-0.04532243	
0.08199999	-0.07506724	4.723418	-0.04532063	
0.0822	-0.07513838	4.723418	-0.0453189	
0.0824	-0.07520931	4.723418	-0.04531724	
0.0826	-0.07528005	4.723418	-0.04531565	
0.0828	-0.07535057	4.71961	-0.04531412	
0.083	-0.0754209	4.71961	-0.04531279	
0.0832	-0.07549102	4.71961	-0.04531152	
0.0834	-0.07556094	4.71961	-0.0453103	
0.0836	-0.07563067	4.71961	-0.04530913	
0.0838	-0.07570019	4.714477	-0.045308	
0.084	-0.07576952	4.714477	-0.04530712	
0.08419999	-0.07583866	4.714477	-0.04530627	
0.0844	-0.07590759	4.714477	-0.04530546	
0.0846	-0.07597632	4.714477	-0.04530468	
0.0848	-0.07604486	4.708098	-0.04530393	
0.085	-0.0761132	4.708098	-0.04530346	
0.0852	-0.07618136	4.708098	-0.045303	
0.0854	-0.07624932	4.708098	-0.04530257	
0.0856	-0.07631708	4.708098	-0.04530215	
0.0858	-0.07638464	4.700565	-0.04530175	
0.086	-0.07645202	4.700565	-0.04530165	
0.0862	-0.07651921	4.700565	-0.04530157	
0.08639999	-0.07658619	4.700565	-0.04530148	
0.0866	-0.076653	4.700565	-0.0453014	
0.08679999	-0.07671961	4.69196	-0.04530133	
0.087	-0.07678603	4.69196	-0.04530159	
0.0872	-0.07685226	4.69196	-0.04530184	
0.0874	-0.0769183	4.69196	-0.04530209	
0.0876	-0.07698416	4.69196	-0.04530232	
0.0878	-0.07704983	4.682374	-0.04530254	
0.088	-0.07711531	4.682374	-0.04530314	
0.0882	-0.0771806	4.682374	-0.0453037	
0.0884	-0.07724571	4.682374	-0.04530425	
0.08859999	-0.07731063	4.682374	-0.04530477	
0.0888	-0.07737537	4.671849	-0.04530527	
0.08899999	-0.07743992	4.671849	-0.04530617	
0.0892	-0.07750428	4.671849	-0.04530703	
0.0894	-0.07756846	4.671849	-0.04530786	
0.0896	-0.07763246	4.671849	-0.04530866	
0.0898	-0.07769627	4.660465	-0.04530942	
0.09	-0.07775991	4.660465	-0.04531061	
0.0902	-0.07782336	4.660465	-0.04531174	
0.0904	-0.07788663	4.660465	-0.04531283	
0.0906	-0.07794973	4.660465	-0.04531387	
0.09079999	-0.07801264	4.648284	-0.04531488	
0.091	-0.07807536	4.648284	-0.04531633	
0.09119999	-0.07813792	4.648284	-0.04531771	
0.0914	-0.07820029	4.648284	-0.04531905	
0.0916	-0.07826248	4.648284	-0.04532033	
0.0918	-0.0783245	4.635364	-0.04532156	
0.092	-0.07674516	4.635364	-0.04532325	
0.0922	-0.07531042	4.635364	-0.04532487	
0.0924	-0.07400572	4.635364	-0.04532643	
0.0926	-0.0728182	4.635364	-0.04532794	
0.0928	-0.07173656	4.621757	-0.04532937	
0.09299999	-0.07075076	4.621757	-0.04533129	
0.0932	-0.06985189	4.621757	-0.04533313	
0.09339999	-0.06903204	4.621757	-0.0453349	
0.0936	-0.06828412	4.621757	-0.0453366	
0.0938	-0.0676018	4.628335	-0.04533824	
0.094	-0.06697941	4.628335	-0.04533955	
0.0942	-0.06641184	4.628335	-0.04534081	
0.0944	-0.06589448	4.628335	-0.04534201	
0.0946	-0.06542321	4.628335	-0.04534318	
0.0948	-0.06499424	4.669571	-0.0453443	
0.095	-0.06460419	4.669571	-0.04534375	
0.09519999	-0.06424996	4.669571	-0.04534323	
0.0954	-0.06392873	4.669571	-0.04534273	
0.09559999	-0.06363796	4.669571	-0.04534225	
0.0958	-0.06337531	4.747691	-0.04534178	
0.096	-0.06313863	4.747691	-0.04533827	
0.0962	-0.06292599	4.747691	-0.0453349	
0.0964	-0.06273557	4.747691	-0.04533166	
0.0966	-0.06256574	4.747691	-0.04532855	
0.0968	-0.062415	4.857533	-0.04532556	
0.097	-0.06228194	4.857533	-0.04531838	
0.0972	-0.0621653	4.857533	-0.04531148	
0.09739999	-0.06206389	4.857533	-0.04530486	
0.0976	-0.06197662	4.857533	-0.04529849	
0.09779999	-0.0619025	4.990364	-0.04529237	
0.098	-0.06184059	4.990364	-0.04528128	
0.0982	-0.06179003	4.990364	-0.04527063	
0.0984	-0.06175004	4.990364	-0.0452604	
0.0986	-0.06171985	4.990364	-0.04525056	
0.0988	-0.06169881	5.136949	-0.04524112	
0.099	-0.06168626	5.136949	-0.04522629	
0.0992	-0.06168162	5.136949	-0.04521205	
0.0994	-0.06168435	5.136949	-0.04519837	
0.09959999	-0.06169394	5.136949	-0.04518522	
0.0998	-0.0617099	5.289366	-0.04517258	
0.09999999	-0.06173181	5.289366	-0.04515447	
0.1002	-0.06175925	5.289366	-0.04513707	
0.1004	-0.06179184	5.289366	-0.04512035	
0.1006	-0.06182922	5.289366	-0.04510429	
0.1008	-0.06187106	5.441525	-0.04508885	
0.101	-0.06191705	5.441525	-0.04506806	
0.1012	-0.06196691	5.441525	-0.04504807	
0.1014	-0.06202036	5.441525	-0.04502888	
0.1016	-0.06207716	5.441525	-0.04501043	
0.1018	-0.06213707	5.589104	-0.04499272	
0.102	-0.06219986	5.589104	-0.0449699	
0.1022	-0.06226534	5.589104	-0.04494798	
0.1024	-0.06233332	5.589104	-0.04492692	
0.1026	-0.06240362	5.589104	-0.04490669	
0.1028	-0.06247605	5.729355	-0.04488725	
0.103	-0.06255049	5.729355	-0.04486307	
0.1032	-0.06262678	5.729355	-0.04483984	
0.1034	-0.06270477	5.729355	-0.04481752	
0.1036	-0.06278436	5.729355	-0.04479608	
0.1038	-0.0628654	5.860606	-0.04477548	
0.104	-0.06294779	5.860606	-0.04475054	
0.1042	-0.06303144	5.860606	-0.04472657	
0.1044	-0.06311624	5.860606	-0.04470355	
0.1046	-0.06320211	5.860606	-0.04468143	
0.1048	-0.06328894	5.982019	-0.04466018	
0.105	-0.06337667	5.982019	-0.044635	
0.1052	-0.06346522	5.982019	-0.04461081	
0.1054	-0.06355452	5.982019	-0.04458756	
0.1056	-0.0636445	5.982019	-0.04456523	
0.1058	-0.06373511	6.093291	-0.04454377	
0.106	-0.06382629	6.093291	-0.04451879	
0.1062	-0.06391798	6.093291	-0.04449479	
0.1064	-0.06401013	6.093291	-0.04447173	
0.1066	-0.0641027	6.093291	-0.04444958	
0.1068	-0.06419564	6.194559	-0.04442829	
0.107	-0.06428891	6.194559	-0.04440387	
0.1072	-0.06438248	6.194559	-0.0443804	
0.1074	-0.0644763	6.194559	-0.04435786	
0.1076	-0.06457034	6.194559	-0.0443362	
0.1078	-0.06466457	6.286134	-0.04431539	
0.108	-0.06475896	6.286134	-0.0442918	
0.1082	-0.06485348	6.286134	-0.04426914	
0.1084	-0.06494812	6.286134	-0.04424737	
0.1086	-0.06504285	6.286134	-0.04422645	
0.1088	-0.06513763	6.368479	-0.04420635	
0.109	-0.06523246	6.368479	-0.04418381	
0.1092	-0.0653273	6.368479	-0.04416215	
0.1094	-0.06542215	6.368479	-0.04414134	
0.1096	-0.06551699	6.368479	-0.04412136	
0.1098	-0.06561179	6.44213	-0.04410215	
0.11	-0.06570654	6.44213	-0.04408081	
0.1102	-0.06580124	6.44213	-0.0440603	
0.1104	-0.06589586	6.44213	-0.04404061	
0.1106	-0.0659904	6.44213	-0.04402167	
0.1108	-0.06608485	6.507664	-0.04400349	
0.111	-0.06617919	6.507664	-0.04398345	
0.1112	-0.06627341	6.507664	-0.04396419	
0.1114	-0.06636751	6.507664	-0.04394569	
0.1116	-0.06646147	6.507664	-0.04392792	
