Time	MV	Muscle2	
5.645	-0.06745982	12.48356	
5.6452	-0.06682277	12.48356	
5.6454	-0.06624188	12.48356	
5.6456	-0.06571241	12.48356	
5.6458	-0.06523012	12.47288	
5.646	-0.06479111	12.47288	
5.6462	-0.0643919	12.47288	
5.6464	-0.06402933	12.47288	
5.6466	-0.06370048	12.47288	
5.6468	-0.06340275	12.50116	
5.647	-0.06313373	12.50116	
5.6472	-0.06289124	12.50116	
5.6474	-0.06267329	12.50116	
5.6476	-0.06247802	12.50116	
5.6478	-0.06230376	12.56459	
5.648	-0.06214897	12.56459	
5.6482	-0.06201223	12.56459	
5.6484	-0.06189222	12.56459	
5.6486	-0.06178774	12.56459	
5.6488	-0.06169769	12.65453	
5.649	-0.06162103	12.65453	
5.6492	-0.06155682	12.65453	
5.6494	-0.06150419	12.65453	
5.6496	-0.0614623	12.65453	
5.6498	-0.06143043	12.76128	
5.65	-0.06140786	12.76128	
5.6502	-0.06139395	12.76128	
5.6504	-0.06138811	12.76128	
5.6506	-0.06138976	12.76128	
5.6508	-0.0613984	12.87615	
5.651	-0.06141354	12.87615	
5.6512	-0.06143473	12.87615	
5.6514	-0.06146155	12.87615	
5.6516	-0.06149362	12.87615	
5.6518	-0.06153058	12.99232	
5.652	-0.06157207	12.99232	
5.6522	-0.0616178	12.99232	
5.6524	-0.06166746	12.99232	
5.6526	-0.06172078	12.99232	
5.6528	-0.06177751	13.10492	
5.653	-0.06183741	13.10492	
5.6532	-0.06190026	13.10492	
5.6534	-0.06196583	13.10492	
5.6536	-0.06203396	13.10492	
5.6538	-0.06210444	13.2106	
5.654	-0.06217712	13.2106	
5.6542	-0.06225182	13.2106	
5.6544	-0.06232841	13.2106	
5.6546	-0.06240674	13.2106	
5.6548	-0.06248669	13.30748	
5.655	-0.06256813	13.30748	
5.6552	-0.06265095	13.30748	
5.6554	-0.06273504	13.30748	
5.6556	-0.06282032	13.30748	
5.6558	-0.06290668	13.39446	
5.656	-0.06299403	13.39446	
5.6562	-0.06308229	13.39446	
5.6564	-0.06317139	13.39446	
5.6566	-0.06326126	13.39446	
5.6568	-0.06335182	13.47114	
5.657	-0.06344303	13.47114	
5.6572	-0.06353481	13.47114	
5.6574	-0.06362712	13.47114	
5.6576	-0.06371991	13.47114	
5.6578	-0.06381312	13.53759	
5.658	-0.06390671	13.53759	
5.6582	-0.06400064	13.53759	
5.6584	-0.06409487	13.53759	
5.6586	-0.06418937	13.53759	
5.6588	-0.06428409	13.59409	
5.659	-0.06437902	13.59409	
5.6592	-0.06447411	13.59409	
5.6594	-0.06456935	13.59409	
5.6596	-0.06466469	13.59409	
5.6598	-0.06476012	13.64109	
5.66	-0.06485561	13.64109	
5.6602	-0.06495116	13.64109	
5.6604	-0.06504672	13.64109	
5.6606	-0.0651423	13.64109	
5.6608	-0.06523786	13.67917	
5.661	-0.0653334	13.67917	
5.6612	-0.06542888	13.67917	
5.6614	-0.06552432	13.67917	
5.6616	-0.06561969	13.67917	
5.6618	-0.06571496	13.70886	
5.662	-0.06581015	13.70886	
5.6622	-0.06590523	13.70886	
5.6624	-0.06600019	13.70886	
5.6626	-0.06609503	13.70886	
5.6628	-0.06618973	13.73081	
5.663	-0.06628428	13.73081	
5.6632	-0.06637869	13.73081	
5.6634	-0.06647295	13.73081	
5.6636	-0.06656703	13.73081	
5.6638	-0.06666095	13.74551	
5.664	-0.06675469	13.74551	
5.6642	-0.06684825	13.74551	
5.6644	-0.06694163	13.74551	
5.6646	-0.06703482	13.74551	
5.6648	-0.06712782	13.75363	
5.665	-0.06722061	13.75363	
5.6652	-0.0673132	13.75363	
5.6654	-0.06740559	13.75363	
5.6656	-0.06749776	13.75363	
5.6658	-0.06758972	13.75562	
5.666	-0.06768148	13.75562	
5.6662	-0.06777301	13.75562	
5.6664	-0.06786433	13.75562	
5.6666	-0.06795541	13.75562	
5.6668	-0.06804629	13.75199	
5.667	-0.06813693	13.75199	
5.6672	-0.06822736	13.75199	
5.6674	-0.06831755	13.75199	
5.6676	-0.06840751	13.75199	
5.6678	-0.06849726	13.74318	
5.668	-0.06858676	13.74318	
5.6682	-0.06867603	13.74318	
5.6684	-0.06876507	13.74318	
5.6686	-0.06885388	13.74318	
5.6688	-0.06894246	13.72966	
5.669	-0.0690308	13.72966	
5.6692	-0.0691189	13.72966	
5.6694	-0.06920677	13.72966	
5.6696	-0.0692944	13.72966	
5.6698	-0.0693818	13.71182	
5.67	-0.06946895	13.71182	
5.6702	-0.06955588	13.71182	
5.6704	-0.06964257	13.71182	
5.6706	-0.06972902	13.71182	
5.6708	-0.06981523	13.69	
5.671	-0.06990121	13.69	
5.6712	-0.06998695	13.69	
5.6714	-0.07007245	13.69	
5.6716	-0.07015771	13.69	
5.6718	-0.07024276	13.66452	
5.672	-0.07032754	13.66452	
5.6722	-0.07041211	13.66452	
5.6724	-0.07049644	13.66452	
5.6726	-0.07058053	13.66452	
5.6728	-0.07066438	13.63569	
5.673	-0.07074801	13.63569	
5.6732	-0.0708314	13.63569	
5.6734	-0.07091455	13.63569	
5.6736	-0.07099748	13.63569	
5.6738	-0.07108016	13.60379	
5.674	-0.07116262	13.60379	
5.6742	-0.07124484	13.60379	
5.6744	-0.07132684	13.60379	
5.6746	-0.0714086	13.60379	
5.6748	-0.07149014	13.56907	
5.675	-0.07157144	13.56907	
5.6752	-0.07165251	13.56907	
5.6754	-0.07173336	13.56907	
5.6756	-0.07181396	13.56907	
5.6758	-0.07189435	13.53177	
5.676	-0.07197451	13.53177	
5.6762	-0.07205445	13.53177	
5.6764	-0.07213414	13.53177	
5.6766	-0.07221363	13.53177	
5.6768	-0.07229289	13.49211	
5.677	-0.07237191	13.49211	
5.6772	-0.07245072	13.49211	
5.6774	-0.0725293	13.49211	
5.6776	-0.07260767	13.49211	
5.6778	-0.07268581	13.45031	
5.678	-0.07276372	13.45031	
5.6782	-0.07284141	13.45031	
5.6784	-0.07291889	13.45031	
5.6786	-0.07299615	13.45031	
5.6788	-0.07307318	13.40647	
5.679	-0.07314999	13.40647	
5.6792	-0.07322659	13.40647	
5.6794	-0.07330297	13.40647	
5.6796	-0.07337914	13.40647	
5.6798	-0.07345508	13.36084	
5.68	-0.07353081	13.36084	
5.6802	-0.07360632	13.36084	
5.6804	-0.07368162	13.36084	
5.6806	-0.0737567	13.36084	
5.6808	-0.07383157	13.31353	
5.681	-0.07390622	13.31353	
5.6812	-0.07398066	13.31353	
5.6814	-0.0740549	13.31353	
5.6816	-0.07412891	13.31353	
5.6818	-0.07420272	13.26473	
5.682	-0.07427632	13.26473	
5.6822	-0.07434971	13.26473	
5.6824	-0.07442289	13.26473	
5.6826	-0.07449586	13.26473	
5.6828	-0.07456862	13.21454	
5.683	-0.07464118	13.21454	
5.6832	-0.07471352	13.21454	
5.6834	-0.07478566	13.21454	
5.6836	-0.07485761	13.21454	
5.6838	-0.07492933	13.16309	
5.684	-0.07500086	13.16309	
5.6842	-0.07507219	13.16309	
5.6844	-0.07514331	13.16309	
5.6846	-0.07521422	13.16309	
5.6848	-0.07528494	13.11061	
5.685	-0.07535546	13.11061	
5.6852	-0.07542577	13.11061	
5.6854	-0.07549588	13.11061	
5.6856	-0.07556579	13.11061	
5.6858	-0.0756355	13.05696	
5.686	-0.07570501	13.05696	
5.6862	-0.07577432	13.05696	
5.6864	-0.07584344	13.05696	
5.6866	-0.07591236	13.05696	
