TimeSlice	Time	BD30FD2B-9C21-4F8A-9254-2AD6E017A678
780	0.39	9.25299
781	0.3905	9.25108
782	0.391	9.24916
783	0.3915	9.24724
784	0.392	9.24532
785	0.3925	9.24339
786	0.393	9.24146
787	0.3935	9.23953
788	0.394	9.2376
789	0.3945	9.23567
790	0.395	9.23373
791	0.3955	9.23179
792	0.396	9.22985
793	0.3965	9.2279
794	0.397	9.22595
795	0.3975	9.224
796	0.398	9.22205
797	0.3985	9.2201
798	0.399	9.21814
799	0.3995	9.21618
800	0.4	9.21422
801	0.4005	9.21225
802	0.401	9.21029
803	0.4015	9.20832
804	0.402	9.20635
805	0.4025	9.20437
806	0.403	9.2024
807	0.4035	9.20042
808	0.404	9.19843
809	0.4045	9.19645
810	0.405	9.19446
811	0.4055	9.19248
812	0.406	9.19048
813	0.4065	9.18849
814	0.407	9.18649
815	0.4075	9.18449
816	0.408	9.18249
817	0.4085	9.18049
818	0.409	9.17848
819	0.4095	9.17647
820	0.41	9.17446
821	0.4105	9.17245
822	0.411	9.17043
823	0.4115	9.16842
824	0.412	9.1664
825	0.4125	9.16437
826	0.413	9.16235
827	0.4135	9.16032
828	0.414	9.15829
829	0.4145	9.15625
830	0.415	9.15422
831	0.4155	9.15218
832	0.416	9.15014
833	0.4165	9.1481
834	0.417	9.14605
835	0.4175	9.144
836	0.418	9.14195
837	0.4185	9.1399
838	0.419	9.13785
839	0.4195	9.13579
840	0.42	9.13373
841	0.4205	9.13167
842	0.421	9.1296
843	0.4215	9.12753
844	0.422	9.12546
845	0.4225	9.12339
846	0.423	9.12132
847	0.4235	9.11924
848	0.424	9.11716
849	0.4245	9.11508
850	0.425	9.11299
851	0.4255	9.1109
852	0.426	9.10882
853	0.4265	9.10672
854	0.427	9.10463
855	0.4275	9.10253
856	0.428	9.10043
857	0.4285	9.09833
858	0.429	9.09623
859	0.4295	9.09412
860	0.43	9.09201
861	0.4305	9.0899
862	0.431	9.08778
863	0.4315	9.08567
864	0.432	9.08355
865	0.4325	9.08143
866	0.433	9.0793
867	0.4335	9.07718
868	0.434	9.07505
869	0.4345	9.07292
870	0.435	9.07078
871	0.4355	9.06865
872	0.436	9.06651
873	0.4365	9.06437
874	0.437	9.06223
875	0.4375	9.06008
876	0.438	9.05793
877	0.4385	9.05578
878	0.439	9.05363
