Time	Length	Position	Length2	2	
0.347	4.620464	0.3795364	4.620464	0	
0.348	4.616403	0.3835974	4.616403	0	
0.349	4.612339	0.3876614	4.612339	0	
0.35	4.608272	0.3917284	4.608272	0	
0.351	4.604202	0.3957983	4.604202	0	
0.352	4.60013	0.3998711	4.60013	0	
0.353	4.596055	0.4039466	4.596055	0	
0.354	4.591976	0.4080249	4.591976	0	
0.355	4.587895	0.412106	4.587895	0	
0.356	4.583811	0.4161897	4.583811	0	
0.357	4.579725	0.420276	4.579725	0	
0.358	4.575636	0.424365	4.575636	0	
0.359	4.571545	0.4284564	4.571545	0	
0.36	4.567451	0.4325503	4.567451	0	
0.361	4.563354	0.4366467	4.563354	0	
0.362	4.559256	0.4407455	4.559256	0	
0.363	4.555155	0.4448466	4.555155	0	
0.364	4.551052	0.4489501	4.551052	0	
0.365	4.546946	0.4530557	4.546946	0	
0.366	4.542838	0.4571636	4.542838	0	
0.367	4.538728	0.4612737	4.538728	0	
0.368	4.534616	0.4653859	4.534616	0	
0.369	4.530502	0.4695002	4.530502	0	
0.37	4.526386	0.4736165	4.526386	0	
0.371	4.522268	0.4777347	4.522268	0	
0.372	4.518147	0.481855	4.518147	0	
0.373	4.514025	0.4859771	4.514025	0	
0.374	4.509902	0.490101	4.509902	0	
0.375	4.505776	0.4942268	4.505776	0	
0.376	4.501648	0.4983543	4.501648	0	
0.377	4.497519	0.5024836	4.497519	0	
0.378	4.493389	0.5066145	4.493389	0	
0.379	4.489256	0.5107471	4.489256	0	
0.38	4.485122	0.5148812	4.485122	0	
0.381	4.480987	0.5190169	4.480987	0	
0.382	4.47685	0.523154	4.47685	0	
0.383	4.472711	0.5272927	4.472711	0	
0.384	4.468571	0.5314327	4.468571	0	
0.385	4.46443	0.5355741	4.46443	0	
0.386	4.460288	0.5397168	4.460288	0	
0.387	4.456143	0.5438608	4.456143	0	
0.388	4.451998	0.548006	4.451998	0	
0.389	4.447852	0.5521524	4.447852	0	
0.39	4.443705	0.5562999	4.443705	0	
0.391	4.439556	0.5604486	4.439556	0	
0.392	4.435406	0.5645983	4.435406	0	
0.393	4.431255	0.568749	4.431255	0	
0.394	4.427104	0.5729007	4.427104	0	
0.395	4.422952	0.5770532	4.422952	0	
0.396	4.418798	0.5812067	4.418798	0	
0.397	4.414644	0.5853611	4.414644	0	
0.398	4.410489	0.5895162	4.410489	0	
0.399	4.406333	0.593672	4.406333	0	
0.4	4.402177	0.5978286	4.402177	0	
0.401	4.398019	0.6019859	4.398019	0	
0.402	4.393862	0.6061437	4.393862	0	
0.403	4.389703	0.6103022	4.389703	0	
0.404	4.385545	0.6144611	4.385545	0	
0.405	4.381385	0.6186206	4.381385	0	
0.406	4.377225	0.6227806	4.377225	0	
0.407	4.373065	0.6269409	4.373065	0	
0.408	4.368905	0.6311016	4.368905	0	
0.409	4.364744	0.6352627	4.364744	0	
0.41	4.360582	0.639424	4.360582	0	
0.411	4.356421	0.6435855	4.356421	0	
0.412	4.352259	0.6477473	4.352259	0	
0.413	4.348097	0.6519092	4.348097	0	
0.414	4.343935	0.6560712	4.343935	0	
0.415	4.339773	0.6602333	4.339773	0	
0.416	4.335611	0.6643955	4.335611	0	
0.417	4.331449	0.6685576	4.331449	0	
0.418	4.327287	0.6727197	4.327287	0	
0.419	4.323125	0.6768817	4.323125	0	
0.42	4.318964	0.6810435	4.318964	0	
0.421	4.314802	0.6852052	4.314802	0	
0.422	4.310641	0.6893666	4.310641	0	
0.423	4.30648	0.6935278	4.30648	0	
0.424	4.302319	0.6976887	4.302319	0	
0.425	4.298158	0.7018493	4.298158	0	
0.426	4.293998	0.7060094	4.293998	0	
0.427	4.289838	0.7101692	4.289838	0	
0.428	4.285679	0.7143285	4.285679	0	
0.429	4.28152	0.7184873	4.28152	0	
0.43	4.277362	0.7226456	4.277362	0	
0.431	4.273204	0.7268032	4.273204	0	
0.432	4.269048	0.7309603	4.269048	0	
0.433	4.264892	0.7351167	4.264892	0	
0.434	4.260736	0.7392724	4.260736	0	
0.435	4.256581	0.7434273	4.256581	0	
0.436	4.252427	0.7475815	4.252427	0	
0.437	4.248274	0.7517348	4.248274	0	
0.438	4.244122	0.7558873	4.244122	0	
0.439	4.23997	0.7600389	4.23997	0	
0.44	4.235819	0.7641895	4.235819	0	
0.441	4.23167	0.7683392	4.23167	0	
0.442	4.227521	0.7724878	4.227521	0	
0.443	4.223374	0.7766353	4.223374	0	
0.444	4.219227	0.7807818	4.219227	0	
0.445	4.215082	0.7849271	4.215082	0	
