Time	Vm	Activation	Inactivation	
5.0618	-0.04947747	0.3722431	0.06671264	
5.062	-0.04948028	0.3719207	0.06673437	
5.0622	-0.04948309	0.3715985	0.06675614	
5.0624	-0.0494859	0.3712766	0.06677794	
5.0626	-0.0494887	0.370955	0.06679977	
5.0628	-0.04949149	0.3706335	0.06682163	
5.063	-0.04949429	0.3703124	0.06684352	
5.0632	-0.04949708	0.3699915	0.06686545	
5.0634	-0.04949986	0.3696708	0.06688741	
5.0636	-0.04950264	0.3693504	0.0669094	
5.0638	-0.04950541	0.3690302	0.06693143	
5.064	-0.04950818	0.3687103	0.06695348	
5.0642	-0.04951095	0.3683906	0.06697557	
5.0644	-0.04951371	0.3680713	0.06699769	
5.0646	-0.04951647	0.3677521	0.06701984	
5.0648	-0.04951922	0.3674332	0.06704203	
5.065	-0.04952197	0.3671146	0.06706425	
5.0652	-0.04952472	0.3667963	0.0670865	
5.0654	-0.04952746	0.3664782	0.06710878	
5.0656	-0.04953019	0.3661603	0.06713109	
5.0658	-0.04953292	0.3658428	0.06715344	
5.066	-0.04953565	0.3655255	0.06717581	
5.0662	-0.04953838	0.3652084	0.06719822	
5.0664	-0.0495411	0.3648916	0.06722067	
5.0666	-0.04954381	0.3645751	0.06724314	
5.0668	-0.04954652	0.3642589	0.06726564	
5.067	-0.04954923	0.363943	0.06728818	
5.0672	-0.04955193	0.3636273	0.06731075	
5.0674	-0.04955462	0.3633118	0.06733335	
5.0676	-0.04955732	0.3629967	0.06735598	
5.0678	-0.04956001	0.3626818	0.06737865	
5.068	-0.04956269	0.3623672	0.06740134	
5.0682	-0.04956537	0.3620528	0.06742407	
5.0684	-0.04956805	0.3617387	0.06744683	
5.0686	-0.04957072	0.361425	0.06746962	
5.0688	-0.04957338	0.3611114	0.06749244	
5.069	-0.04957605	0.3607982	0.06751529	
5.0692	-0.0495787	0.3604853	0.06753818	
5.0694	-0.04958136	0.3601726	0.0675611	
5.0696	-0.04958401	0.3598602	0.06758405	
5.0698	-0.04958665	0.3595481	0.06760702	
5.07	-0.04958929	0.3592362	0.06763003	
5.0702	-0.04959192	0.3589247	0.06765307	
5.0704	-0.04959456	0.3586134	0.06767615	
5.0706	-0.04959719	0.3583024	0.06769925	
5.0708	-0.04959981	0.3579918	0.06772239	
5.071	-0.04960242	0.3576813	0.06774556	
5.0712	-0.04960504	0.3573712	0.06776876	
5.0714	-0.04960765	0.3570614	0.06779199	
5.0716	-0.04961026	0.3567519	0.06781525	
5.0718	-0.04961285	0.3564426	0.06783854	
5.072	-0.04961545	0.3561336	0.06786187	
5.0722	-0.04961804	0.355825	0.06788523	
5.0724	-0.04962063	0.3555166	0.06790861	
5.0726	-0.04962321	0.3552085	0.06793203	
5.0728	-0.04962579	0.3549008	0.06795548	
5.073	-0.04962837	0.3545933	0.06797896	
5.0732	-0.04963094	0.3542861	0.06800247	
5.0734	-0.0496335	0.3539792	0.06802601	
5.0736	-0.04963606	0.3536726	0.06804959	
5.0738	-0.04963862	0.3533663	0.06807319	
5.074	-0.04964117	0.3530603	0.06809682	
5.0742	-0.04964372	0.3527546	0.06812049	
5.0744	-0.04964626	0.3524492	0.06814418	
5.0746	-0.0496488	0.3521441	0.06816791	
5.0748	-0.04965133	0.3518393	0.06819167	
5.075	-0.04965386	0.3515348	0.06821546	
5.0752	-0.04965639	0.3512307	0.06823928	
5.0754	-0.04965891	0.3509268	0.06826313	
5.0756	-0.04966143	0.3506233	0.06828701	
5.0758	-0.04966393	0.35032	0.06831092	
5.076	-0.04966644	0.350017	0.06833486	
5.0762	-0.04966895	0.3497144	0.06835882	
5.0764	-0.04967145	0.3494121	0.06838282	
5.0766	-0.04967394	0.3491101	0.06840686	
5.0768	-0.04967643	0.3488084	0.06843092	
5.077	-0.04967891	0.348507	0.06845502	
5.0772	-0.0496814	0.3482059	0.06847914	
5.0774	-0.04968387	0.3479052	0.0685033	
5.0776	-0.04968634	0.3476047	0.06852748	
5.0778	-0.04968881	0.3473046	0.0685517	
5.078	-0.04969127	0.3470048	0.06857594	
5.0782	-0.04969373	0.3467053	0.06860022	
5.0784	-0.04969618	0.3464061	0.06862452	
5.0786	-0.04969863	0.3461072	0.06864885	
5.0788	-0.04970108	0.3458087	0.06867322	
5.079	-0.04970352	0.3455105	0.06869761	
5.0792	-0.04970596	0.3452126	0.06872203	
5.0794	-0.04970839	0.344915	0.06874648	
5.0796	-0.04971081	0.3446178	0.06877097	
5.0798	-0.04971324	0.3443208	0.06879548	
5.08	-0.04971565	0.3440242	0.06882002	
5.0802	-0.04971807	0.343728	0.06884459	
5.0804	-0.04972047	0.343432	0.0688692	
5.0806	-0.04972288	0.3431364	0.06889383	
5.0808	-0.04972528	0.3428411	0.06891849	
5.081	-0.04972767	0.3425461	0.06894318	
5.0812	-0.04973007	0.3422514	0.0689679	
5.0814	-0.04973245	0.3419571	0.06899265	
5.0816	-0.04973483	0.3416631	0.06901743	
5.0818	-0.04973721	0.3413695	0.06904224	
5.082	-0.04973958	0.3410762	0.06906708	
5.0822	-0.04974195	0.3407832	0.06909195	
5.0824	-0.04974432	0.3404905	0.06911685	
5.0826	-0.04974668	0.3401982	0.06914178	
5.0828	-0.04974903	0.3399062	0.06916674	
5.083	-0.04975138	0.3396146	0.06919173	
5.0832	-0.04975373	0.3393233	0.06921675	
5.0834	-0.04975607	0.3390323	0.06924179	
5.0836	-0.04975841	0.3387416	0.06926686	
5.0838	-0.04976074	0.3384513	0.06929196	
5.084	-0.04976306	0.3381613	0.06931709	
5.0842	-0.04976539	0.3378717	0.06934226	
5.0844	-0.04976771	0.3375824	0.06936745	
5.0846	-0.04977002	0.3372935	0.06939267	
5.0848	-0.04977233	0.3370049	0.06941792	
5.085	-0.04977464	0.3367167	0.0694432	
5.0852	-0.04977694	0.3364287	0.0694685	
5.0854	-0.04977924	0.3361412	0.06949383	
5.0856	-0.04978153	0.3358539	0.06951919	
5.0858	-0.04978381	0.3355671	0.06954458	
5.086	-0.0497861	0.3352805	0.06957	
5.0862	-0.04978837	0.3349943	0.06959546	
5.0864	-0.04979065	0.3347085	0.06962093	
5.0866	-0.04979292	0.334423	0.06964643	
5.0868	-0.04979518	0.3341378	0.06967197	
5.087	-0.04979745	0.333853	0.06969753	
5.0872	-0.0497997	0.3335686	0.06972312	
5.0874	-0.04980195	0.3332845	0.06974874	
5.0876	-0.0498042	0.3330007	0.06977439	
5.0878	-0.04980644	0.3327173	0.06980006	
5.088	-0.04980868	0.3324343	0.06982577	
5.0882	-0.04981091	0.3321516	0.0698515	
5.0884	-0.04981314	0.3318692	0.06987726	
5.0886	-0.04981536	0.3315872	0.06990305	
5.0888	-0.04981758	0.3313056	0.06992886	
5.089	-0.0498198	0.3310243	0.06995471	
5.0892	-0.04982201	0.3307434	0.06998058	
5.0894	-0.04982422	0.3304628	0.07000647	
5.0896	-0.04982642	0.3301826	0.0700324	
5.0898	-0.04982862	0.3299028	0.07005836	
5.09	-0.04983081	0.3296233	0.07008434	
5.0902	-0.049833	0.3293442	0.07011035	
5.0904	-0.04983518	0.3290654	0.07013639	
5.0906	-0.04983737	0.328787	0.07016245	
5.0908	-0.04983954	0.3285089	0.07018854	
5.091	-0.04984171	0.3282312	0.07021467	
5.0912	-0.04984388	0.3279539	0.07024082	
5.0914	-0.04984604	0.3276769	0.07026699	
5.0916	-0.0498482	0.3274003	0.0702932	
5.0918	-0.04985034	0.3271241	0.07031943	
5.092	-0.04985249	0.3268482	0.07034568	
5.0922	-0.04985464	0.3265727	0.07037197	
5.0924	-0.04985678	0.3262975	0.07039829	
5.0926	-0.04985891	0.3260227	0.07042462	
5.0928	-0.04986104	0.3257483	0.07045099	
5.093	-0.04986317	0.3254742	0.07047738	
5.0932	-0.04986529	0.3252005	0.0705038	
5.0934	-0.04986741	0.3249272	0.07053025	
5.0936	-0.04986952	0.3246542	0.07055672	
5.0938	-0.04987162	0.3243816	0.07058322	
5.094	-0.04987373	0.3241094	0.07060975	
5.0942	-0.04987583	0.3238375	0.0706363	
5.0944	-0.04987792	0.323566	0.07066289	
5.0946	-0.04988001	0.3232949	0.07068949	
5.0948	-0.0498821	0.3230242	0.07071613	
5.095	-0.04988418	0.3227538	0.07074279	
5.0952	-0.04988625	0.3224838	0.07076947	
5.0954	-0.04988833	0.3222142	0.07079618	
5.0956	-0.0498904	0.3219449	0.07082292	
5.0958	-0.04989246	0.321676	0.07084969	
5.096	-0.04989452	0.3214075	0.07087649	
5.0962	-0.04989657	0.3211394	0.07090331	
5.0964	-0.04989862	0.3208716	0.07093015	
5.0966	-0.04990067	0.3206042	0.07095703	
5.0968	-0.04990271	0.3203372	0.07098392	
5.097	-0.04990474	0.3200706	0.07101085	
5.0972	-0.04990678	0.3198043	0.0710378	
5.0974	-0.0499088	0.3195384	0.07106478	
5.0976	-0.04991083	0.3192729	0.07109178	
5.0978	-0.04991284	0.3190078	0.07111881	
5.098	-0.04991486	0.318743	0.07114586	
5.0982	-0.04991687	0.3184786	0.07117294	
5.0984	-0.04991888	0.3182147	0.07120004	
5.0986	-0.04992088	0.317951	0.07122717	
5.0988	-0.04992287	0.3176878	0.07125433	
5.099	-0.04992487	0.3174249	0.07128151	
