Time	10FF	11FF	12FF	13FF	14FF	15FF	16FF	17FF	18FF	19FF	1FF	20FF	21FF	22FF	23FF	24FF	25FF	2FF	3FF	4FF	5FF	6FF	7FF	8FF	9FF	
0.132	0.05358597	0.05292784	0.05359032	0.05302443	0.0535706	0.05395907	0.0533044	0.05386745	0.05347794	0.05339559	0.05311998	0.05364046	0.05330639	0.05335793	0.05359498	0.05353909	0.0533442	0.05295943	0.05297171	0.05327059	0.05332642	0.05400965	0.05312014	0.05308574	0.05327214	
0.134	0.0535817	0.05291406	0.05351901	0.05299447	0.05366079	0.05391233	0.05327403	0.05392237	0.05343994	0.05336149	0.05307285	0.05366957	0.05332048	0.05342294	0.05369175	0.05350517	0.05330223	0.05302958	0.05292149	0.05338698	0.05332709	0.05408596	0.05319427	0.05317717	0.05326856	
0.136	0.05359385	0.05289773	0.05363256	0.05299978	0.05377144	0.05398229	0.05320714	0.05385416	0.05339269	0.05336249	0.05315866	0.05368189	0.05341816	0.05352875	0.05374312	0.05345099	0.05335357	0.05313265	0.05288891	0.05348228	0.05333705	0.05410542	0.05314294	0.05318493	0.05325647	
0.138	0.05366264	0.05294059	0.05373595	0.0529342	0.05372442	0.05395328	0.05317988	0.0538338	0.05350421	0.05347282	0.05320191	0.05360938	0.05351919	0.05354566	0.05381029	0.05351082	0.05330564	0.05306405	0.05299365	0.05348993	0.05335957	0.05414417	0.05325557	0.05320714	0.05318995	
0.14	0.05359676	0.05290556	0.05381616	0.05294851	0.05381504	0.05405521	0.05318793	0.05380968	0.05359469	0.05354667	0.05312692	0.05372607	0.05361616	0.05364985	0.05382933	0.05348905	0.05326517	0.05305769	0.05308796	0.05358328	0.05340458	0.05414737	0.05318036	0.05318884	0.0531989	
0.142	0.05354882	0.05289927	0.05392654	0.05301942	0.05385702	0.05399793	0.05319384	0.05385103	0.05366261	0.05359557	0.0531394	0.05376542	0.05353908	0.05367184	0.05394093	0.05355522	0.05336396	0.05300306	0.05310734	0.05355934	0.05342143	0.05406709	0.05314644	0.05326418	0.0531589	
0.144	0.05358732	0.05298033	0.05389874	0.05307616	0.05388424	0.05398608	0.05313225	0.0539167	0.05374755	0.05352398	0.05308285	0.05388182	0.05363121	0.05370299	0.05399151	0.05366333	0.05331386	0.05299001	0.05312708	0.053622	0.05336303	0.05414891	0.05321513	0.05327077	0.05325191	
0.146	0.05358503	0.05299839	0.05394716	0.05318076	0.05395226	0.05393088	0.05309865	0.05386915	0.05377119	0.05351194	0.05302933	0.05390106	0.05358674	0.05380601	0.05401528	0.05364889	0.05328001	0.05305511	0.05307527	0.05370587	0.05341481	0.05420741	0.05324486	0.05335052	0.05320799	
0.148	0.0535368	0.05309934	0.05399619	0.05325518	0.05388783	0.05397419	0.05311631	0.05387707	0.05373958	0.05344501	0.05304974	0.05393597	0.0536013	0.05389861	0.05395841	0.05366504	0.05325246	0.05310876	0.05317208	0.05378007	0.05337147	0.05425009	0.05323203	0.05337035	0.05314954	
0.15	0.05348692	0.05319137	0.05398183	0.05318958	0.05398307	0.05394042	0.0532064	0.05392274	0.05370828	0.05346563	0.05314239	0.05404593	0.05362008	0.05391469	0.05406196	0.05370626	0.05319764	0.05311866	0.05317083	0.05386818	0.05336856	0.05415583	0.05334746	0.05347582	0.05325319	
0.152	0.05339864	0.05329544	0.05395966	0.05321595	0.05389828	0.05403821	0.0531896	0.05385689	0.05374084	0.0534757	0.05309381	0.05398356	0.05372922	0.05389259	0.0541636	0.0537194	0.05322351	0.0530671	0.05310542	0.05377024	0.05342036	0.05415086	0.05331671	0.05344343	0.05332749	
0.154	0.05335356	0.05325846	0.05400995	0.05324826	0.05397138	0.05408319	0.05321378	0.05380137	0.05383537	0.05352139	0.05315254	0.05408492	0.05381376	0.0538281	0.05408398	0.05381455	0.05324224	0.05312002	0.05315898	0.05370105	0.05345439	0.05418425	0.05338871	0.05349757	0.05327154	
0.156	0.05334143	0.0532062	0.0540998	0.05333317	0.05405736	0.05407955	0.05314763	0.05384359	0.05387542	0.05354045	0.0531131	0.05415809	0.05380645	0.05377451	0.05401816	0.05372981	0.05333622	0.05306024	0.05324723	0.05365567	0.05344148	0.05426842	0.05346607	0.05355723	0.05329558	
0.158	0.05343387	0.05323351	0.05401208	0.05330086	0.05398614	0.05408763	0.05318452	0.05385325	0.05385421	0.05351693	0.05310464	0.05421782	0.05382171	0.05370578	0.05394379	0.05368753	0.05330824	0.05299595	0.0533277	0.0537127	0.05351618	0.05431427	0.05355437	0.05350675	0.05323464	
0.16	0.05350102	0.05330448	0.05408634	0.05325952	0.0539139	0.05408776	0.05316939	0.05394102	0.05384216	0.05363037	0.05304211	0.05418077	0.05374732	0.05361686	0.05400336	0.05370476	0.05336971	0.05307838	0.05340017	0.05369224	0.05355797	0.05424099	0.053544	0.05348202	0.05330404	
0.162	0.05351328	0.05337819	0.05405536	0.05329783	0.05401216	0.05404397	0.05311641	0.05400724	0.05379015	0.05372351	0.05313246	0.05422711	0.05376771	0.05362721	0.05401808	0.05371974	0.053306	0.05302073	0.05342084	0.05372599	0.05365393	0.05421228	0.05363713	0.05347949	0.05340568	
0.164	0.05344495	0.05333728	0.05413595	0.05340081	0.0540299	0.05412733	0.05320441	0.05399316	0.0537087	0.05375784	0.05312303	0.05428562	0.05375274	0.05370416	0.05408062	0.05380175	0.0533042	0.05304436	0.05338037	0.05364615	0.05365187	0.0542757	0.05369107	0.05351742	0.05348155	
0.166	0.05347367	0.05333824	0.05407188	0.05337434	0.05405799	0.0542044	0.05326225	0.05406927	0.05371228	0.05371278	0.05310823	0.05423207	0.05372587	0.05365247	0.05409778	0.05387877	0.05325519	0.05303738	0.05345976	0.05372909	0.05356442	0.05429479	0.05364745	0.05354811	0.05355618	
0.168	0.05345808	0.05330366	0.05410323	0.05343274	0.05403683	0.05424249	0.0533381	0.05410709	0.05381057	0.05362854	0.05305271	0.05419485	0.05377258	0.05371732	0.05415397	0.05393775	0.05320528	0.05308392	0.05344841	0.05373032	0.05363116	0.05435888	0.05358389	0.05354166	0.05356394	
0.17	0.05352537	0.05330899	0.05404094	0.05352365	0.05402699	0.05426882	0.0533402	0.05410844	0.05374106	0.05368197	0.05313478	0.05429071	0.05372748	0.05372386	0.05416477	0.05384965	0.05322829	0.05305834	0.05334996	0.05362976	0.05365888	0.0542938	0.0536171	0.05361076	0.0534756	
0.172	0.05360422	0.05331337	0.05397625	0.05358565	0.05403645	0.0543317	0.05339145	0.0541847	0.05371835	0.05370169	0.05318914	0.0541921	0.05371564	0.05366935	0.05415245	0.05378232	0.05327833	0.05316013	0.0532672	0.05369917	0.05363988	0.05437502	0.05366516	0.05367939	0.05356104	
